# File:UCD_ctry.csv
# ----------
# Column types: ccc
# Description: Maps iso codes to GCAM regions (including composites as necessary)
# Source: Mishra et al. 2013
# Title:Mapping iso code to country to GCAM3 region
# Units: NA
iso,country_name,UCD_region
abw,Aruba,Latin America
afg,Afghanistan,Southeast Asia
ago,Angola,Africa
alb,Albania,Eastern Europe
ant,Netherlands Antilles,Latin America
are,United Arab Emirates,Middle East
arg,Argentina,Latin America
arm,Armenia,Former Soviet Union
atg,Antigua & Barbuda,Latin America
aus,Australia,Australia_NZ
aut,Austria,Western Europe
aze,Azerbaijan,Former Soviet Union
bdi,Burundi,Africa
bel,Belgium,Western Europe
ben,Benin,Africa
bfa,Burkina Faso,Africa
bgd,Bangladesh,Southeast Asia
bgr,Bulgaria,Eastern Europe
bhr,Bahrain,Middle East
bhs,Bahamas,Latin America
bih,Bosnia and Herzegovina,Eastern Europe
blr,Belarus,Former Soviet Union
blz,Belize,Latin America
bmu,Bermuda,Western Europe
bol,Bolivia,Latin America
bra,Brazil,Brazil
brb,Barbados,Latin America
brn,Brunei Darussalam,Southeast Asia
btn,Bhutan,Southeast Asia
bwa,Botswana,Africa
caf,Central African Republic,Africa
can,Canada,Canada
che,Switzerland,Western Europe
chl,Chile,Latin America
chn,China,China
civ,Cote dIvoire,Africa
cmr,Cameroon,Africa
cod,"Congo, the Democratic Republic of the",Africa
cog,Congo,Africa
col,Colombia,Latin America
com,Comoros,Africa
cpv,Cape Verde,Africa
cri,Costa Rica,Latin America
cub,Cuba,Latin America
cym,Cayman Islands,Latin America
cyp,Cyprus,Western Europe
cze,Czech Republic,Eastern Europe
deu,Germany,Western Europe
dji,Djibouti,Africa
dma,Dominica,Latin America
dnk,Denmark,Western Europe
dom,Dominican Republic,Latin America
dza,Algeria,Africa
ecu,Ecuador,Latin America
egy,Egypt,Africa
eri,Eritrea,Africa
esh,Western Sahara,Africa
esp,Spain,Western Europe
est,Estonia,Former Soviet Union
eth,Ethiopia,Africa
fin,Finland,Western Europe
fji,Fiji,Southeast Asia
flk,Falkland Islands (Malvinas),Latin America
fra,France,Western Europe
gab,Gabon,Africa
gbr,United Kingdom,Western Europe
geo,Georgia,Former Soviet Union
gha,Ghana,Africa
gib,Gibraltar,Western Europe
gin,Guinea,Africa
glp,Guadeloupe,Latin America
gmb,Gambia,Africa
gnb,Guinea-Bissau,Africa
gnq,Equatorial Guinea,Africa
grc,Greece,Western Europe
grd,Grenada,Latin America
gtm,Guatemala,Latin America
guf,French Guiana,Latin America
guy,Guyana,Latin America
hkg,Hong Kong,Southeast Asia
hnd,Honduras,Latin America
hrv,Croatia,Eastern Europe
hti,Haiti,Latin America
hun,Hungary,Eastern Europe
idn,Indonesia,Southeast Asia
ind,India,India
irl,Ireland,Western Europe
irn,"Iran, Islamic Republic of",Middle East
irq,Iraq,Middle East
isl,Iceland,Western Europe
isr,Israel,Middle East
ita,Italy,Western Europe
jam,Jamaica,Latin America
jor,Jordan,Middle East
jpn,Japan,Japan
kaz,Kazakhstan,Former Soviet Union
ken,Kenya,Africa
kgz,Kyrgyzstan,Former Soviet Union
khm,Cambodia,China
kir,Kiribati,Southeast Asia
kna,Saint Kitts and Nevis,Latin America
kor,"Korea, Republic of",Korea
kwt,Kuwait,Middle East
