# File: cement_regions.csv
# Title: Region Mappings for Cement Databases
# Units: N/A
# Description: Mapping between iso codes and regions in various cement databases
iso,Worrell_region,IEA_fuelshare_region,IEA_intensity_region
abw,Rest-of-Latin-America,Latin America,Average
afg,Rest-of-other-Asia,Southeast Asia,Average
ago,Rest-of-Africa,Africa,Average
aia,Rest-of-Latin-America,Latin America,Average
alb,Rest-of-EE/FSU,Europe,Average
and,Rest-of-Europe,Europe,Average
ant,Rest-of-Latin-America,Latin America,Average
are,Rest-of-Middle-East,Middle East,Average
arg,Argentina,Latin America,Average
arm,Rest-of-EE/FSU,Former Soviet Union,Average
atg,Rest-of-Latin-America,Latin America,Average
aus,Rest-of-OECD-Pacific,Australia and New Zealand,Average
aut,Rest-of-Europe,Europe,Average
aze,Rest-of-EE/FSU,Former Soviet Union,Average
bdi,Rest-of-Africa,Africa,Average
bel,Rest-of-Europe,Europe,Average
ben,Rest-of-Africa,Africa,Average
bfa,Rest-of-Africa,Africa,Average
bgd,Rest-of-other-Asia,Southeast Asia,Average
bgr,Rest-of-EE/FSU,Europe,Average
bhr,Rest-of-Middle-East,Middle East,Average
bhs,Rest-of-Latin-America,Latin America,Average
bih,Rest-of-EE/FSU,Europe,Average
blr,Rest-of-EE/FSU,Former Soviet Union,Average
blz,Rest-of-Latin-America,Latin America,Average
bmu,Rest-of-Europe,Europe,Average
bol,Rest-of-Latin-America,Latin America,Average
bra,Brazil,Brazil,Brazil
brb,Rest-of-Latin-America,Latin America,Average
brn,Rest-of-other-Asia,Southeast Asia,Average
btn,Rest-of-other-Asia,Southeast Asia,Average
bwa,Rest-of-Africa,Africa,Average
caf,Rest-of-Africa,Africa,Average
can,Canada,Canada,Canada
che,Rest-of-Europe,Europe,Average
chl,Rest-of-Latin-America,Latin America,Average
chn,China,China,China
civ,Rest-of-Africa,Africa,Average
cmr,Rest-of-Africa,Africa,Average
cod,Rest-of-Africa,Africa,Average
cog,Rest-of-Africa,Africa,Average
cok,Rest-of-OECD-Pacific,Southeast Asia,Average
col,Colombia,Latin America,Average
com,Rest-of-Africa,Africa,Average
cpv,Rest-of-Africa,Africa,Average
cri,Rest-of-Latin-America,Latin America,Average
cub,Rest-of-Latin-America,Latin America,Average
cym,Rest-of-Latin-America,Latin America,Average
cyp,Rest-of-Europe,Europe,Average
cxr,Rest-of-other-Asia,Southeast Asia,Average
cze,Rest-of-EE/FSU,Europe,Average
deu,Germany,Europe,Germany
