# File: fuel_energy_input.csv
# Title: Mapping between intermediate fuel names and minicam-energy-input names
# Units: NA
# Source: NA
# Column types: cc 
# ----------
minicam.energy.input,fuel
regional biomass,biomass
delivered biomass,biomass
regional biomassOil,biomass oil
regional coal,coal
delivered coal,coal
regional corn for ethanol,corn
elect_td_ind,electricity
elect_td_bld,electricity
elect_td_trn,electricity
regional natural gas,gas
wholesale gas,gas
delivered gas,gas
regional oil,oil
regional sugar for ethanol,sugar
regional sugarbeet for ethanol,sugarbeet
refined liquids enduse,refined liquids
refined liquids industrial,refined liquids

