# Assumed subsector share-weights,,,,,,,
# Source: Tables_ElecS_Data.xlsx,,,,,,,
supplysector,subsector,sw_2020,sw_2035,sw_2050,sw_2065,sw_2080,sw_2095
base load generation,hydro,0,0,0,0,0,0
intermediate generation,hydro,0,0,0,0,0,0
subpeak generation,hydro,0,0,0,0,0,0
peak generation,hydro,0,0,0,0,0,0
base load generation,coal,1,1,1,1,1,1
intermediate generation,coal,1,1,1,1,1,1
subpeak generation,coal,1,1,1,1,1,1
peak generation,coal,1,1,1,1,1,1
base load generation,gas,1,1,1,1,1,1
intermediate generation,gas,1,1,1,1,1,1
subpeak generation,gas,1,1,1,1,1,1
peak generation,gas,1,1,1,1,1,1
base load generation,oil,1,1,1,1,1,1
intermediate generation,oil,1,1,1,1,1,1
subpeak generation,oil,1,1,1,1,1,1
peak generation,oil,1,1,1,1,1,1
base load generation,biomass,0.333,0.333,0.333,0.5,0.5,0.5
intermediate generation,biomass,0.333,0.333,0.333,0.5,0.5,0.5
subpeak generation,biomass,0.333,0.333,0.333,0.333,0.333,0.333
peak generation,biomass,0.333,0.333,0.333,0.333,0.333,0.333
base load generation,geothermal,0.17,0.33,0.5,0.5,0.5,0.5
intermediate generation,geothermal,0.17,0.33,0.5,0.5,0.5,0.5
subpeak generation,geothermal,0.17,0.33,0.5,0.5,0.5,0.5
peak generation,geothermal,0.17,0.33,0.5,0.5,0.5,0.5
base load generation,nuclear,0.4,0.8,0.9,1,1,1
intermediate generation,nuclear,0.4,0.8,0.9,1,1,1
subpeak generation,nuclear,0.4,0.8,0.9,1,1,1
peak generation,nuclear,0.4,0.8,0.9,1,1,1
base load generation,wind,0.5,0.5,0.5,0.5,0.5,0.5
intermediate generation,wind,0.5,0.5,0.5,0.5,0.5,0.5
subpeak generation,wind,0.5,0.5,0.5,0.5,0.5,0.5
peak generation,wind,0.5,0.5,0.5,0.5,0.5,0.5
base load generation,solar,0.25,0.5,0.5,0.5,0.5,0.5
intermediate generation,solar,0.25,0.5,0.5,0.5,0.5,0.5
subpeak generation,solar,0.25,0.5,0.5,0.5,0.5,0.5
peak generation,solar,1,1,1,1,1,1
peak generation,grid_storage,1,1,1,1,1,1
