# Assumed subsector share-weight interpolations,,,,,,,
# Source: Tables_ElecS_Data.xlsx,,,,,,,
supplysector,subsector,sw_1975,sw_1990,sw_2005,from_year,to_year,interpolation_function
base load generation,hydro,0,0,0,2005,9999,fixed
intermediate generation,hydro,0,0,0,2005,9999,fixed
subpeak generation,hydro,0,0,0,2005,9999,fixed
peak generation,hydro,0,0,0,2005,9999,fixed
base load generation,coal,1,1,1,2005,9999,fixed
intermediate generation,coal,1,1,1,2005,9999,fixed
subpeak generation,coal,1,1,1,2005,9999,fixed
peak generation,coal,1,1,1,2005,9999,fixed
base load generation,gas,1,1,1,2005,9999,fixed
intermediate generation,gas,1,1,1,2005,9999,fixed
subpeak generation,gas,1,1,1,2005,9999,fixed
peak generation,gas,1,1,1,2005,9999,fixed
base load generation,oil,1,1,1,2005,9999,fixed
intermediate generation,oil,1,1,1,2005,9999,fixed
subpeak generation,oil,1,1,1,2005,9999,fixed
peak generation,oil,1,1,1,2005,9999,fixed
base load generation,biomass,0.333,0.333,0.333,2005,2020,linear
base load generation,biomass,0.333,0.333,0.333,2035,9999,fixed
intermediate generation,biomass,0.333,0.333,0.333,2005,2020,linear
intermediate generation,biomass,0.333,0.333,0.333,2035,2095,linear
subpeak generation,biomass,0.333,0.333,0.333,2005,2020,linear
subpeak generation,biomass,0.333,0.333,0.333,2035,9999,fixed
peak generation,biomass,0.333,0.333,0.333,2005,2020,linear
peak generation,biomass,0.333,0.333,0.333,2035,9999,fixed
base load generation,geothermal,0.17,0.17,0.17,2005,2050,linear
intermediate generation,geothermal,0.17,0.17,0.17,2005,2050,linear
subpeak generation,geothermal,0.17,0.17,0.17,2005,2050,linear
peak generation,geothermal,0.17,0.17,0.17,2005,2050,linear
base load generation,nuclear,0,0,0.4,2005,2020,linear
intermediate generation,nuclear,0,0,0.4,2005,2020,linear
subpeak generation,nuclear,0,0,0.4,2005,2020,linear
peak generation,nuclear,0,0,0.4,2005,2020,linear
base load generation,wind,0.25,0.25,0.25,2005,2035,linear
intermediate generation,wind,0.25,0.25,0.25,2005,2035,linear
subpeak generation,wind,0.25,0.25,0.25,2005,2035,linear
peak generation,wind,0.25,0.25,0.25,2005,2035,linear
base load generation,solar,0.25,0.25,0.25,2005,2035,linear
intermediate generation,solar,0.25,0.25,0.25,2005,2035,linear
subpeak generation,solar,0.25,0.25,0.25,2005,2020,linear
peak generation,solar,1,1,1,2005,2035,linear
