# Additional technology charactoristics for CCS technologies,,,,,,,
# Source: Tables_ElecS_Data.xlsx,,,,,,,
supplysector,subsector,technology,period,remove_fraction,non_energy_penalty,storage_market,capture_energy
base load generation,coal,coal_base_IGCC_CCS,2020,0.91,0,carbon-storage,0
base load generation,coal,coal_base_IGCC_CCS,2035,0.92,0,carbon-storage,0
base load generation,coal,coal_base_IGCC_CCS,2050,0.93,0,carbon-storage,0
base load generation,coal,coal_base_IGCC_CCS,2065,0.94,0,carbon-storage,0
base load generation,coal,coal_base_IGCC_CCS,2080,0.94,0,carbon-storage,0
base load generation,coal,coal_base_IGCC_CCS,2095,0.94,0,carbon-storage,0
base load generation,biomass,bio_base_IGCC_CCS,2020,0.91,0,carbon-storage,0
base load generation,biomass,bio_base_IGCC_CCS,2035,0.92,0,carbon-storage,0
base load generation,biomass,bio_base_IGCC_CCS,2050,0.93,0,carbon-storage,0
base load generation,biomass,bio_base_IGCC_CCS,2065,0.94,0,carbon-storage,0
base load generation,biomass,bio_base_IGCC_CCS,2080,0.94,0,carbon-storage,0
base load generation,biomass,bio_base_IGCC_CCS,2095,0.94,0,carbon-storage,0
base load generation,gas,gas_base_CC_CCS,2020,0.91,0,carbon-storage,0
base load generation,gas,gas_base_CC_CCS,2035,0.92,0,carbon-storage,0
base load generation,gas,gas_base_CC_CCS,2050,0.93,0,carbon-storage,0
base load generation,gas,gas_base_CC_CCS,2065,0.94,0,carbon-storage,0
base load generation,gas,gas_base_CC_CCS,2080,0.94,0,carbon-storage,0
base load generation,gas,gas_base_CC_CCS,2095,0.94,0,carbon-storage,0
intermediate generation,gas,gas_int_CC_CCS,2020,0.91,0,carbon-storage,0
intermediate generation,gas,gas_int_CC_CCS,2035,0.92,0,carbon-storage,0
intermediate generation,gas,gas_int_CC_CCS,2050,0.93,0,carbon-storage,0
intermediate generation,gas,gas_int_CC_CCS,2065,0.94,0,carbon-storage,0
intermediate generation,gas,gas_int_CC_CCS,2080,0.94,0,carbon-storage,0
intermediate generation,gas,gas_int_CC_CCS,2095,0.94,0,carbon-storage,0
intermediate generation,biomass,bio_int_IGCC_CCS,2020,0.91,0,carbon-storage,0
intermediate generation,biomass,bio_int_IGCC_CCS,2035,0.92,0,carbon-storage,0
intermediate generation,biomass,bio_int_IGCC_CCS,2050,0.93,0,carbon-storage,0
intermediate generation,biomass,bio_int_IGCC_CCS,2065,0.94,0,carbon-storage,0
intermediate generation,biomass,bio_int_IGCC_CCS,2080,0.94,0,carbon-storage,0
intermediate generation,biomass,bio_int_IGCC_CCS,2095,0.94,0,carbon-storage,0
intermediate generation,oil,oil_int_IGCC_CCS,2020,0.91,0,carbon-storage,0
intermediate generation,oil,oil_int_IGCC_CCS,2035,0.92,0,carbon-storage,0
intermediate generation,oil,oil_int_IGCC_CCS,2050,0.93,0,carbon-storage,0
intermediate generation,oil,oil_int_IGCC_CCS,2065,0.94,0,carbon-storage,0
intermediate generation,oil,oil_int_IGCC_CCS,2080,0.94,0,carbon-storage,0
intermediate generation,oil,oil_int_IGCC_CCS,2095,0.94,0,carbon-storage,0
intermediate generation,coal,coal_int_IGCC_CCS,2020,0.91,0,carbon-storage,0
intermediate generation,coal,coal_int_IGCC_CCS,2035,0.92,0,carbon-storage,0
intermediate generation,coal,coal_int_IGCC_CCS,2050,0.93,0,carbon-storage,0
intermediate generation,coal,coal_int_IGCC_CCS,2065,0.94,0,carbon-storage,0
intermediate generation,coal,coal_int_IGCC_CCS,2080,0.94,0,carbon-storage,0
intermediate generation,coal,coal_int_IGCC_CCS,2095,0.94,0,carbon-storage,0
subpeak generation,gas,gas_subpeak_CC_CCS,2020,0.91,0,carbon-storage,0
subpeak generation,gas,gas_subpeak_CC_CCS,2035,0.92,0,carbon-storage,0
subpeak generation,gas,gas_subpeak_CC_CCS,2050,0.93,0,carbon-storage,0
subpeak generation,gas,gas_subpeak_CC_CCS,2065,0.94,0,carbon-storage,0
subpeak generation,gas,gas_subpeak_CC_CCS,2080,0.94,0,carbon-storage,0
subpeak generation,gas,gas_subpeak_CC_CCS,2095,0.94,0,carbon-storage,0
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2020,0.91,0,carbon-storage,0
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2035,0.92,0,carbon-storage,0
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2050,0.93,0,carbon-storage,0
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2065,0.94,0,carbon-storage,0
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2080,0.94,0,carbon-storage,0
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2095,0.94,0,carbon-storage,0
subpeak generation,oil,oil_subpeak_IGCC_CCS,2020,0.91,0,carbon-storage,0
subpeak generation,oil,oil_subpeak_IGCC_CCS,2035,0.92,0,carbon-storage,0
subpeak generation,oil,oil_subpeak_IGCC_CCS,2050,0.93,0,carbon-storage,0
subpeak generation,oil,oil_subpeak_IGCC_CCS,2065,0.94,0,carbon-storage,0
subpeak generation,oil,oil_subpeak_IGCC_CCS,2080,0.94,0,carbon-storage,0
subpeak generation,oil,oil_subpeak_IGCC_CCS,2095,0.94,0,carbon-storage,0
subpeak generation,coal,coal_subpeak_IGCC_CCS,2020,0.91,0,carbon-storage,0
subpeak generation,coal,coal_subpeak_IGCC_CCS,2035,0.92,0,carbon-storage,0
subpeak generation,coal,coal_subpeak_IGCC_CCS,2050,0.93,0,carbon-storage,0
subpeak generation,coal,coal_subpeak_IGCC_CCS,2065,0.94,0,carbon-storage,0
subpeak generation,coal,coal_subpeak_IGCC_CCS,2080,0.94,0,carbon-storage,0
subpeak generation,coal,coal_subpeak_IGCC_CCS,2095,0.94,0,carbon-storage,0
peak generation,gas,gas_peak_CC_CCS,2020,0.91,0,carbon-storage,0
peak generation,gas,gas_peak_CC_CCS,2035,0.92,0,carbon-storage,0
peak generation,gas,gas_peak_CC_CCS,2050,0.93,0,carbon-storage,0
peak generation,gas,gas_peak_CC_CCS,2065,0.94,0,carbon-storage,0
peak generation,gas,gas_peak_CC_CCS,2080,0.94,0,carbon-storage,0
peak generation,gas,gas_peak_CC_CCS,2095,0.94,0,carbon-storage,0
peak generation,oil,oil_peak_IGCC_CCS,2020,0.91,0,carbon-storage,0
peak generation,oil,oil_peak_IGCC_CCS,2035,0.92,0,carbon-storage,0
peak generation,oil,oil_peak_IGCC_CCS,2050,0.93,0,carbon-storage,0
peak generation,oil,oil_peak_IGCC_CCS,2065,0.94,0,carbon-storage,0
peak generation,oil,oil_peak_IGCC_CCS,2080,0.94,0,carbon-storage,0
peak generation,oil,oil_peak_IGCC_CCS,2095,0.94,0,carbon-storage,0
