# Assumed technology availability,,,,
# Source: Tables_ElecS_Data.xlsx,,,,
supplysector,subsector,technology,initial_available_year,final_available_year
base load generation,hydro,hydro_base,-1,-1
intermediate generation,hydro,hydro_int,-1,-1
subpeak generation,hydro,hydro_subpeak,-1,-1
peak generation,hydro,hydro_peak,-1,-1
base load generation,coal,coal_base_exist,-1,2005
intermediate generation,coal,coal_int_exist,-1,2005
subpeak generation,coal,coal_subpeak_exist,-1,2005
peak generation,coal,coal_peak_exist,-1,2005
base load generation,gas,gas_base_exist,-1,2005
intermediate generation,gas,gas_int_exist,-1,2005
subpeak generation,gas,gas_subpeak_exist,-1,2005
peak generation,gas,gas_peak_exist,-1,2005
base load generation,oil,oil_base_exist,-1,2005
intermediate generation,oil,oil_int_exist,-1,2005
subpeak generation,oil,oil_subpeak_exist,-1,2005
peak generation,oil,oil_peak_exist,-1,2005
base load generation,biomass,bio_base_exist,-1,2005
intermediate generation,biomass,bio_int_exist,-1,2005
subpeak generation,biomass,bio_subpeak_exist,-1,2005
peak generation,biomass,bio_peak_exist,-1,2005
base load generation,geothermal,geo_base,-1,-1
intermediate generation,geothermal,geo_int,-1,-1
subpeak generation,geothermal,geo_subpeak,-1,-1
peak generation,geothermal,geo_peak,-1,-1
base load generation,nuclear,nuc_base_gen2,-1,2005
intermediate generation,nuclear,nuc_int_gen2,-1,2005
subpeak generation,nuclear,nuc_subpeak_gen2,-1,2005
peak generation,nuclear,nuc_peak_gen2,-1,2005
base load generation,wind,wind_base,-1,-1
intermediate generation,wind,wind_int,-1,-1
subpeak generation,wind,wind_subpeak,-1,-1
peak generation,wind,wind_peak,-1,-1
base load generation,solar,pv_base,-1,-1
intermediate generation,solar,pv_int,-1,-1
subpeak generation,solar,pv_subpeak,-1,-1
peak generation,solar,pv_peak,-1,-1
base load generation,coal,coal_base_conv,2010,-1
base load generation,coal,coal_base_IGCC,2010,-1
base load generation,coal,coal_base_IGCC_CCS,2020,-1
base load generation,biomass,bio_base_conv,2010,-1
base load generation,biomass,bio_base_IGCC,2010,-1
base load generation,biomass,bio_base_IGCC_CCS,2020,-1
base load generation,gas,gas_base_CC,2010,-1
base load generation,gas,gas_base_CC_CCS,2020,-1
intermediate generation,gas,gas_int_CC,2010,-1
intermediate generation,gas,gas_int_CC_CCS,2020,-1
intermediate generation,biomass,bio_int_conv,2010,-1
intermediate generation,biomass,bio_int_IGCC,2010,-1
intermediate generation,biomass,bio_int_IGCC_CCS,2020,-1
intermediate generation,oil,oil_int_IGCC,2010,-1
intermediate generation,oil,oil_int_IGCC_CCS,2020,-1
intermediate generation,coal,coal_int_conv,2010,-1
intermediate generation,coal,coal_int_IGCC,2010,-1
intermediate generation,coal,coal_int_IGCC_CCS,2020,-1
subpeak generation,gas,gas_subpeak_turbine,2010,-1
subpeak generation,gas,gas_subpeak_CC,2010,-1
subpeak generation,gas,gas_subpeak_CC_CCS,2020,-1
subpeak generation,biomass,bio_subpeak_conv,2010,-1
subpeak generation,biomass,bio_subpeak_IGCC,2010,-1
subpeak generation,biomass,bio_subpeak_IGCC_CCS,2020,-1
subpeak generation,oil,oil_subpeak_turbine,2010,-1
subpeak generation,oil,oil_subpeak_IGCC,2010,-1
subpeak generation,oil,oil_subpeak_IGCC_CCS,2020,-1
subpeak generation,coal,coal_subpeak_IGCC,2010,-1
subpeak generation,coal,coal_subpeak_IGCC_CCS,2020,-1
peak generation,gas,gas_peak_turbine,2010,-1
peak generation,gas,gas_peak_CC,2010,-1
peak generation,gas,gas_peak_CC_CCS,2020,-1
peak generation,oil,oil_peak_turbine,2010,-1
peak generation,oil,oil_peak_IGCC,2010,-1
peak generation,oil,oil_peak_IGCC_CCS,2020,-1
base load generation,nuclear,nuc_base_gen3,2010,-1
base load generation,wind,wind_base_storage,2010,-1
base load generation,solar,pv_base_storage,2010,-1
base load generation,solar,csp_base_storage,2010,-1
intermediate generation,solar,csp_int,2010,-1
subpeak generation,solar,csp_subpeak,2010,-1
peak generation,solar,csp_peak,2010,-1
peak generation,grid_storage,battery,2020,-1
