# File: A_an_input_subsector.csv
# Title: Subsectors of inputs to animal production
# Units: Various
# Source: NA
# Column types: ccicicccccc
# ----------
supplysector,subsector,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,to.value,interpolation.function,logit.type
FodderHerb_Residue,FodderHerb,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FodderHerb_Residue,Residue,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
Pasture_FodderGrass,Pasture,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
Pasture_FodderGrass,FodderGrass,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,Corn,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,FiberCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,Fruits,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,Legumes,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,MiscCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,NutsSeeds,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,OilCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,OtherGrain,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,OilPalm,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,Rice,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,RootTuber,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,Soybean,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,SugarCrop,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,Vegetables,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,Wheat,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
FeedCrops,DDGS and feedcakes,-6,initial-future-year,1,share-weight,final-calibration-year,2150,1,s-curve,
Scavenging_Other,Scavenging_Other,-6,start-year,1,share-weight,final-calibration-year,end-year,,fixed,
