# File: A_agTradedTechnology.csv
# Title: Technology-level assumptions of traded agricultural markets
# Units: Various
# Comments: for traded crops, each subsector has only one technology; there is no technology-level competition
# Source: NA
# Column types: ccccnnni 
# ----------
supplysector,subsector,technology,minicam.energy.input,coefficient,input.cost,share.weight,traded
traded corn,traded corn,traded corn,Corn,1,0,1,1
traded fibercrop,traded fibercrop,traded fibercrop,FiberCrop,1,0,1,1
traded misccrop,traded misccrop,traded misccrop,MiscCrop,1,0,1,1
traded oilcrop,traded oilcrop,traded oilcrop,OilCrop,1,0,1,1
traded othergrain,traded othergrain,traded othergrain,OtherGrain,1,0,1,1
traded palmfruit,traded palmfruit,traded palmfruit,PalmFruit,1,0,1,1
traded rice,traded rice,traded rice,Rice,1,0,1,1
traded roottuber,traded roottuber,traded roottuber,RootTuber,1,0,1,1
traded sugarcrop,traded sugarcrop,traded sugarcrop,SugarCrop,1,0,1,1
traded wheat,traded wheat,traded wheat,Wheat,1,0,1,1
traded beef,traded beef,traded beef,Beef,1,0,1,1
traded dairy,traded dairy,traded dairy,Dairy,1,0,1,1
traded pork,traded pork,traded pork,Pork,1,0,1,1
traded poultry,traded poultry,traded poultry,Poultry,1,0,1,1
traded sheepgoat,traded sheepgoat,traded sheepgoat,SheepGoat,1,0,1,1
traded forest,traded forest,traded forest,Forest,1,0,1,1
