# File: GCAMLandLeaf_CdensityLT.csv
# Title: Maps GCAM land leaves to corresponding land types in carbon density databases
# Units: NA
# Source: Land_nesting_structure.xls
# Column types: cc 
# ----------
LandLeaf,Land_Type
Tundra,Tundra
RockIceDesert,RockIceDesert
UrbanLand,UrbanLand
UnmanagedPasture,Pasture
UnmanagedForest,Forest
Grassland,Grassland
Shrubland,Shrubland
OtherArableLand,Cropland
Pasture,Pasture
Forest,Forest
Corn,Cropland
FiberCrop,Cropland
FodderGrass,Cropland
FodderHerb,Cropland
MiscCrop,Cropland
OilCrop,Cropland
OtherGrain,Cropland
PalmFruit,Cropland
Rice,Cropland
RootTuber,Cropland
SugarCrop,Cropland
Wheat,Cropland
biomassGrass,Pasture
biomassTree,Pasture
