# File: Various_SoilC_tCha_LTsage_AEZ.csv
# Description: Assumed soil carbon content by land use type and AEZ
# Units MgC/ha
# Source: Listed in table
# Column types: ciiiiiiiiiiiiiiiiiic 
# ----------
LT_SAGE,AEZ01,AEZ02,AEZ03,AEZ04,AEZ05,AEZ06,AEZ07,AEZ08,AEZ09,AEZ10,AEZ11,AEZ12,AEZ13,AEZ14,AEZ15,AEZ16,AEZ17,AEZ18,Source
Tropical Evergreen Forest/Woodland,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,"Houghton 1999, tropical equatorial forest"
Tropical Deciduous Forest/Woodland,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,"Houghton 1999, tropical seasonal forest"
Temperate Broadleaf Evergreen Forest/Woodland,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,"King et al 1997, Table III, Temperate evergreen seasonal broadleaved forest"
Temperate Needleleaf Evergreen Forest/Woodland,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,"Houghton 1999, Table 1, temperate evergreen forest"
Temperate Deciduous Forest/Woodland,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,"Houghton 1999, Table 1, temperate deciduous forest"
Boreal Evergreen Forest/Woodland,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,"Houghton 1999, Table 1, boreal forest"
Boreal Deciduous Forest/Woodland,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,"Houghton 1999, Table 1, boreal forest"
Evergreen/Deciduous Mixed Forest/Woodland,111,111,111,111,111,111,111,111,111,111,111,111,206,206,206,206,206,206,"1-12: King et al 1997, cold deciduous forest with evergreens; 13-18: Houghton 1999, Table 1, boreal forest (chosen for consistency with IGBP)"
Savanna,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,"King et al 1997, Table III, tall/medium/short grassland with 10-40% woody cover"
Grassland/Steppe,60,75,90,105,120,135,85,100,115,130,145,160,110,125,140,155,170,185,all values interpolated for consistency with IGBP (data sources are all over the map)
Dense Shrubland,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,"Houghton 1999, Table 1, tropical woodland"
Open Shrubland,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,"Houghton 1999, Table 1, woodland"
Tundra,100,140,180,220,260,300,100,140,180,220,260,300,120,180,180,220,260,300,"range from Zinke et al 1984, Table 4.1; values chosen for consistency with IGBP"
Desert,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,"King et al 1997, Table III, Desert. Houghton desert is too high; see Schlesinger 1977"
Polar Desert/Rock/Ice,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,value set to match IGBP
Urbanland,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,previous assumption
Cropland,30,40,50,60,60,60,60,70,80,90,90,90,90,100,110,120,120,120,"Houghton 1999, Table 1, approximated from many land types"
