# Source: Table 4 in Worrell et al. 2001 Ann Rev Energ Env 26: 303-329,,,,,,,,
# global carbon emissions from cement production in 1994,,,,,,,,
Country,cement_prod_Mt,clinker_cement_ratio,primary_energy_intensity,primary_energy_PJ,process_emissions_MtC,energy_emissions_MtC,emissions_MtC,share
China,423,0.83,5,2117,47.7,53.7,101.4,0.33
Europe,181.9,,4.1,749,20,15.3,35.3,0.115
Italy,33.2,0.8,4.5,150,3.6,3.2,6.8,0.022
France,21.2,0.74,4.1,88,2.1,1.5,3.6,0.012
Germany,36.1,0.79,3.8,137,3.9,2.8,6.7,0.022
Spain,26.7,0.81,3.9,104,2.9,2.5,5.5,0.018
Rest-of-Europe,64.7,0.84,4.2,271,7.4,5.2,12.5,0.041
OECD-Pacific,151.3,,3.5,533,17.6,11,28.6,0.093
Japan,91.6,0.8,3.1,280,9.9,5.7,15.6,0.051
Korea,51.6,0.96,4.3,220,6.7,4.6,11.4,0.037
Rest-of-OECD-Pacific,8,0.84,4.2,34,0.9,0.7,1.6,0.005
Other Asia,123.8,,4.9,613,15.3,13.3,28.6,0.093
Thailand,31.1,0.9,4.8,148,3.8,3.4,7.2,0.024
Taiwan,23.2,0.95,4.9,114,3,2.5,5.5,0.018
Indonesia,21.9,0.96,5.3,115,2.9,2.4,5.3,0.017
Rest-of-other-Asia,47.6,0.87,4.9,235,5.6,4.9,10.5,0.034
Middle East,111.2,,5.1,563,13.8,12,25.8,0.084
Saudi Arabia,16,0.87,4.7,75,1.9,1.4,3.3,0.011
Egypt,16.1,0.99,5.8,93,2.2,1.9,4.1,0.013
Iran,15.9,0.97,5.3,84,2.1,1.6,3.7,0.012
Turkey,31.9,0.9,4.9,156,3.9,4.1,8,0.026
Rest-of-Middle-East,31.4,0.87,4.9,155,3.7,3,6.7,0.022
North America,88.4,,5.4,480,10.6,10.8,21.4,0.07
USA,77.9,0.88,5.5,427,9.3,9.6,18.9,0.062
Canada,10.5,0.88,5.1,53,1.3,1.2,2.5,0.008
EE/FSU,100.7,,5.5,558,11.4,10.3,21.7,0.071
Poland,14.9,0.82,5.6,83,1.7,2.1,3.8,0.012
Ukraine,11.4,0.8,6,68,1.3,1.3,2.6,0.008
Russia,37.2,0.8,6,223,4.1,3.8,7.8,0.025
Rest-of-EE/FSU,37.1,0.87,4.9,183,4.4,3.2,7.6,0.025
Latin America,97.4,,4.7,462,11.2,8.2,19.4,0.063
Brazil,25.2,0.77,4.1,102,2.6,1.7,4.4,0.014
Mexico,29.8,0.88,4.5,133,3.6,2.5,6,0.02
Colombia,8.3,0.82,6.1,51,0.9,1,2,0.006
Venezuela,7.5,0.87,5.7,43,0.9,0.6,1.5,0.005
Argentina,6.3,0.9,5.3,33,0.8,0.5,1.3,0.004
Rest-of-Latin-America,20.2,0.87,4.9,100,2.4,1.9,4.2,0.014
India,62.4,0.89,5,309,7.6,8.2,15.8,0.051
Africa,41,,4.9,201,4.9,4.2,9,0.029
Morocco,6.3,0.85,4.8,30,0.7,0.8,1.5,0.005
South Africa,7.9,0.9,4.9,39,1,1,1.9,0.006
Rest-of-Africa,26.8,0.87,4.9,132,3.2,2.4,5.6,0.018
World total,1380.9,0.85,4.8,6585,160,147,307,1
