Region: USA,,,,,,,,,,,,,,,,,,,,,,,
Final Demand,,,1975,1990,2005,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,population,215079,250181,296410,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,
,,1975 fillout,1975,1975,1990,2005,2020,2035,2050,2065,2080,2095,1975,1990,2005,2020,2035,2050,2065,2080,2095,,
energy-final-demand,perCapitaBased,base-scaler,base-service,price-elasticity,price-elasticity,price-elasticity,price-elasticity,price-elasticity,price-elasticity,price-elasticity,price-elasticity,price-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,,
food processing,1,1,0.591580375,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.09,-0.09,0.00,0.00,0.00,0.00,,food processing
pulp paper and wood,1,1,1.570750944,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,,pulp paper and wood
chemicals,0,1,4.915587743,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,0.20,0.10,0.02,0.02,0.02,0.02,,chemicals
petroleum,0,1,5.335124661,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,0.39,0.28,0.38,0.12,-0.09,0.05,,petroleum
aluminum,0,1,0.404331586,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,,aluminum
other primary metals,0,1,1.610364883,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.06,-0.06,-0.06,-0.06,-0.06,-0.06,,other primary metals
other nonmetallic minerals,0,1,0.507190862,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,0.18,0.18,0.18,0.18,0.18,0.18,,other nonmetallic minerals
other manufacturing,0,1,1.895743231,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,0.12,0.12,0.25,0.35,0.50,0.60,,other manufacturing
agriculture,1,1,0.653490323,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.07,0.00,0.10,0.10,0.10,0.10,,agriculture
mining,0,1,1.786256546,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,-0.02,0.10,0.10,0.10,0.10,0.10,,mining
construction,0,1,2.336054066,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,0,0,0,0.04,0.20,0.20,0.20,0.20,0.20,,construction


Benchmark growth to AEO energy demand,,,,,,,,,,,,,,,,,,,,,,,
,2005,2020,2035,,,,,,,,,,,,,,,,,,,,
population (CCTP),296410,335805,377765,,,,,,,,,,,,,,,,,,,,
GDP (from AEO),11048.625,17076.9082,25931.21394,,,,,,,,,,,,,,,,,,,,
per capita GDP (derived),37.27480517,50.85364483,68.64377043,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"AEO (assume ObjECTS equations, and assume similar population numbers)",,,,,,,,,,,,,,,,,,,,,,,
see AEO_Industry.xls for derivation of growth rates,,,,,,,,,,,,,,,,,,,,,,,
,2005-2030 annual growth,,2035 value indexed to 2005,,,,,,,,,,,,,,,,,,,,
Drivers,,,,,,,,,,,,,,,,,,,,,,,
Population,0.8%,,1.274467798,,,,,,,,,,,,,,,,,,,,
GDP,2.9%,,2.347008242,,,,,,,,,,,,,,,,,,,,
percap GDP,2.1%,,1.841559469,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Industries,2005-2030 annual growth in energy consumption,assumed process improvement,derived growth in output 2005-2030,per capita income elasticity,total income elasticity,,see AEO_Industry workbook(s) for 2005-2030 energy consumption trends,,,,,,,,,,,,
Food Processing,0.4%,0.35%,1.204557423,-0.092,0.218,,,,,,,,,,,,,,
Pulp Paper and Wood,0.19%,0.35%,1.143544466,-0.178,0.157,,,,,,,,,,,,,,
Chemicals,-0.28%,0.35%,1.01700819,-0.370,0.020,,,,,,,,,,,,,,
Petroleum,2.68%,0.35%,2.113247224,0.828,0.877,,,,,,,,,,,,,,
Aluminum,-1.19%,0.35%,0.80843718,-0.745,-0.249,,,,,,,,,,,,,,
Other Primary Metals ,-0.55%,0.35%,0.951655636,-0.478,-0.058,,,,,,,,,,,,,,
Other NonMetallic Mineral,0.26%,0.35%,1.16345163,-0.149,0.177,,,,,,,,,,,,,,
Other Manufacturing,0.07%,0.35%,1.110238957,-0.226,0.123,,,,,,,,,,,,,,
Agriculture,-0.59%,0.35%,0.941420604,-0.496,-0.071,,,,,,,,,,,,,,
Mining,-0.42%,0.35%,0.981966911,-0.427,-0.021,,,,,,,,,,,,,,
Construction,-0.23%,0.35%,1.031438342,-0.346,0.036,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
calculate petroleum income elasticity based on CCTP refined liquid fuel production,,,,,,,,,,,,
Run,Region,,,1990,2005,2020,2035,2050,2065,2080,2095,Units
CCTP,USA,General: GDP90$: GDP(90mer),,5725150,8916060,1.25E+07,1.66E+07,2.23E+07,2.92E+07,3.86E+07,5.05E+07,Million1990US$
"CCTP_Aggregate_REF,date=2008-12-5T21:5:59-00:00",USA,price,refined liquids enduse,2.62006,2.93858,3.21266,3.66476,3.86674,4.00941,4.13398,5.48074,1975$/GJ
"CCTP_Aggregate_REF,date=2008-12-5T21:5:59-00:00",USA,price,refined liquids industrial,1.52006,1.77661,1.93756,2.33749,2.58758,2.74783,2.89547,4.2167,1975$/GJ
"CCTP_Aggregate_REF,date=2008-12-5T21:5:59-00:00",USA,output,refined liquids enduse,23.58,29.310042,31.321835,32.977022,32.971898,31.115936,30.752338,26.10383,EJ
"CCTP_Aggregate_REF,date=2008-12-5T21:5:59-00:00",USA,output,refined liquids industrial,10.2866,10.9872,9.84279868,8.0593071,7.7683471,7.667818,7.6442953,6.081411,EJ
,,avg price,,2.285947334,2.621764353,2.90777322,3.404091544,3.62282986,3.759986857,3.887407961,5.241899261,
,,total output,,33.8666,40.297242,41.16463368,41.0363291,40.7402451,38.783754,38.3966333,32.185241,


price ratio,,,,,1.146904968,1.109090226,1.170686737,1.064257472,1.037859077,1.03388871,1.348430449,
GDP ratio,,,,,1.557349589,1.404095531,1.327989456,1.34171223,1.311287047,1.319063102,1.307742949,
price elasticity,,,,,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,
demand / (base*price ratio^p),,,,,1.189881535,1.098312045,1.113147558,1.037021663,0.977064148,1.013386134,1.033340865,
income elasticity,,,,,0.392459331,0.276300339,0.377879613,0.123671516,-0.085616933,0.048018378,0.122239212,

calculate mining income elasticity based on CCTP coal production,,,,,,,,,,,
Run,Region,,1990,2005,2020,2035,2050,2065,2080,2095,Units
CCTP,USA,General: GDP90$: GDP(90mer),5299629.527,8253374.395,11412933.82,15306163.89,20521008.31,26902586.28,35506176.88,46480444.02,Million1990US$
CCTP,USA,Price: by Sector: regional coal,0.585034041,0.587780625,0.595341001,0.599917142,0.595388426,0.593185869,0.60099129,0.61386076,1975$/GJ
CCTP,USA,Secondary Energy Prod: by Sector: regional coal,19.30398005,22.81238607,27.34047715,31.81616687,34.44345657,36.47574788,38.06299593,46.48143882,EJ

price ratio,,,,1.004694743,1.012862581,1.007686588,0.992451097,0.99630064,1.013158474,1.021413738,
GDP ratio,,,,1.557349312,1.382820319,1.341124389,1.340702246,1.310977797,1.319805335,1.309080507,
price elasticity,,,,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,
demand / (base*price ratio^p),,,,1.181745216,1.209262946,1.169956194,1.076850103,1.056259829,1.053108044,1.239417948,
income elasticity,,,,0.376970463,0.586227433,0.534793312,0.252530149,0.202140355,0.186482055,0.796962342,

calculate construction and nonmetallic minerals income elasticity based on CCTP floorspace,,,,,,,,,,,
Run,Region,,1990,2005,2020,2035,2050,2065,2080,2095,Units
CCTP_bld_ref,USA,End-Use Service: by Sector: commercial,6926626495,8206543900,10046236999,11948530254,14158694810,16391859090,18974420369,21741234750,m^2
CCTP_bld_ref,USA,End-Use Service: by Sector: residential,18160847300,21516648939,25990587852,30682482488,36133521327,41619501166,47695867032,54103146598,m^2
CCTP_bld_ref,USA,Price: by Sector: commercial,41.01751116,45.9545629,45.40385532,45.96991903,46.15540078,46.5824081,46.36043595,46.20132463,1975$/m^2
CCTP_bld_ref,USA,Price: by Sector: residential,27.51304507,29.78388256,29.61302339,29.89928614,29.82535474,29.85356363,29.69548271,29.56497087,1975$/m^2
CCTP,USA,General: GDP90$: GDP(90mer),5299629.527,8253374.395,11412933.82,15306163.89,20521008.31,26902586.28,35506176.88,46480444.02,Million1990US$
CCTP,USA,Price (average),31.24161469,34.24859128,34.01514374,34.4035292,34.42272896,34.5805147,34.43834254,34.33387881,1975$/m^2
,,Floorspace (total),25087473796,29723192840,36036824852,42631012742,50292216137,58011360255,66670287401,75844381348,m^2

price ratio,,,,1.096249077,0.993183733,1.011418016,1.000558075,1.004583766,0.995888663,0.996966645,
GDP ratio,,,,1.557349312,1.382820319,1.341124389,1.340702246,1.310977797,1.319805335,1.309080507,
price elasticity,,,,0,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,
demand / (base*price ratio^p),,,,1.184782218,1.209101887,1.188369249,1.17997293,1.155597884,1.147370273,1.136222375,
income elasticity,,,,0.38276441,0.58581649,0.587996843,0.564444553,0.53409208,0.495424889,0.474181972,


Calculate implied income elasticities of AEO industrial production forecast to 2030,,,,,,,,,,,
,2005,2020,2035,,,,,,,,
population (CCTP),296410,335805,377765,,,,,,,,
GDP (from AEO),11048.625,17076.9082,25931.21394,,,,,,,,
per capita GDP (derived),37.27480517,50.85364483,68.64377043,,,,,,,,

"AEO (assume ObjECTS equations, and assume similar population numbers)",,,,,,,,,,,
see AEO_Industry.xls for derivation of growth rates,,,,,,,,,,,
,2005-2030 annual growth in value of shipments,2035 value indexed to 2005,per capita income elasticity,total income elasticity,adjusted for realisticality,for model input,,,,,
Drivers,,,,,,,,,,,
Population,0.8%,1.274467798,,,,,,,,,
GDP,2.9%,2.347008242,,,,,,,,,
percap GDP,2.1%,1.841559469,,,,,,,,,
,,,,,,,,,,,
Industries,,,,,,,,Income elasticities by industry,,,
Food Processing,1.5%,1.585692043,0.357824585,0.54038043,0,percapita based,,,2020,2035,PC-based
Pulp Paper and Wood,1.16%,1.412969005,0.1689524,0.405200306,0.16,GDP based,,Food Processing,0.00,0.00,1
Chemicals,2.08%,1.852332451,0.612363484,0.722559717,0.47,GDP based,,Pulp Paper and Wood,0.00,0.16,0
Petroleum,1.16%,1.413544129,0.169618861,0.405677307,endogenous,na,,Chemicals,0.56,0.47,0
Aluminum,1.06%,1.37008267,0.118475094,0.369072548,0.12,GDP based,,Petroleum,endogenous,endogenous,0
Other Primary Metals ,1.57%,1.597503058,0.36997777,0.549078741,0.30,GDP based,,Aluminum,0.00,0.12,0
Other NonMetallic Mineral,1.76%,1.686424041,0.4586895,0.612571747,endogenous,na,,Other Primary Metals ,0.00,0.30,0
Other Manufacturing,2.65%,2.190952238,0.887317834,0.919350807,0.67,GDP based,,Other NonMetallic Mineral,endogenous,endogenous,0
Agriculture,0.75%,1.250354635,-0.031282444,0.261887668,0,percapita based,,Other Manufacturing,0.29,0.67,0
Mining,0.60%,1.1950532,-0.105366249,0.208864201,endogenous,na,,Agriculture,0.00,0.00,1
Construction,1.29%,1.466941645,0.230344095,0.44913974,endogenous,na,,Mining,endogenous,endogenous,0
Cement,1.13%,,,,endogenous,na,,Construction,endogenous,endogenous,0
,,,,,,,,Cement,endogenous,endogenous,0
,,,2004 value indexed to 1994,,,1987 to 2000 deflator,,,,,
Drivers,1994 (1987$),2004 (2000$),,,,1.3662,,,,,
Population,260341,293192,1.126184504,,,,,,,,
GDP,5343.9 ,10703.5 ,1.466061088,,,,,,,,
percap GDP,20.52659421,36.50679418,1.301794762,,,,,,,,
,,,,,,,,,,,
Industries,value of shipments,value of shipments,,pc based,total based,,,,,,,,,,,,,,,,,
Food Processing,406.1,553.8,1.00,-0.46,0.00,0,percapita based,,,,,,,,,,,,,,,
Pulp Paper and Wood,322.1,417.6,0.95,-0.65,-0.14,0.00,GDP based,,,,,,,,,,,,,,,
Chemicals,383.5,649.9,1.24,0.37,0.56,0.56,GDP based,,,,,,,,,,,,,,,
Petroleum,137.5,246.7,1.31,0.58,0.71,endogenous,na,,,,,,,,,,,,,,,
Aluminum,27.3,30.4,0.82,-1.23,-0.53,0.00,GDP based,,,,,,,,,,,,,,,
Other Primary Metals ,111,113.9,0.75,-1.54,-0.75,0.00,GDP based,,,,,,,,,,,,,,,
Other NonMetallic Mineral,60.33669985,83.9,1.02,-0.38,0.05,endogenous,na,,,,,,,,,,,,,,,
Other Manufacturing,1343.9,2053,1.12,-0.03,0.29,0.29,GDP based,,,,,,,,,,,,,,,
Agriculture,198.7512054,270.5 ,1.00,-0.47,-0.01,0,percapita based,,,,,,,,,,,,,,,
Mining,127.4893036,219.7 ,1.26,0.43,0.61,endogenous,na,,,,,,,,,,,,,,,
Construction,607.8695068,1003.7 ,1.21,0.27,0.50,endogenous,na,,,,,,,,,,,,,,,
Cement,4.122300148,7.6,1.35,0.69,0.78,endogenous,na,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
This section is no longer used,,,,,,,,,,,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,
,,,,,,,,,,,Income Elasticity 1975,Income Elasticity 1990,Income Elasticity 2005,Income Elasticity 2020,Income Elasticity 2035,Income Elasticity 2050,Income Elasticity 2065,Income Elasticity 2080,Income Elasticity 2095,,,saturation
Food Processing,,,,,,,From OLS regression done by Paramita June 2006,,,,,,,0,0,0,0,0,0,,,
