Japan,industry,energy-use,coal,1.9636,1.8949,delivered coal,,2.180987856,2.061538452,0.217414051,0.166615335
Japan,industry,energy-use,electricity,1.1820,1.2273,elect_td_ind,,1.218294604,1.258118873,0.036320566,0.030826331
Japan,industry,energy-use,gas,0.0668,0.0676,wholesale gas,,0.066844108,0.067563879,0,0
Japan,industry,energy-use,refined liquids,1.8406,1.6594,refined liquids industrial,,1.846088312,1.663571833,0.005504153,0.00421811
Korea,industry,energy-use,biomass,0.0010,0.0447,delivered biomass,,0.011890512,0.061693327,0.013017576,0.016984773
Korea,industry,energy-use,coal,0.3651,0.4716,delivered coal,,0.4909023,0.635807448,0.125836566,0.164186139
Korea,industry,energy-use,electricity,0.1848,0.6487,elect_td_ind,,0.198731412,0.670026603,0.013937545,0.021305729
Korea,industry,energy-use,gas,0.0037,0.1090,wholesale gas,,0.003684384,0.109016656,0,0
Korea,industry,energy-use,refined liquids,0.4289,0.3811,refined liquids industrial,,0.434688641,0.388676687,0.005785589,0.007548788
Latin America,industry,energy-use,biomass,1.7070,2.0556,delivered biomass,,1.7469423,2.10323898,0.039939307,0.047636598
Latin America,industry,energy-use,coal,0.5036,0.5977,delivered coal,,0.570200292,0.677089296,0.066565512,0.07939433
Latin America,industry,energy-use,electricity,0.8969,1.6491,elect_td_ind,,0.936970801,1.708266121,0.040038705,0.059174257
Latin America,industry,energy-use,gas,1.8687,2.9724,wholesale gas,,1.948557246,3.067646087,0.079878614,0.095273196
Latin America,industry,energy-use,refined liquids,2.0578,2.5705,refined liquids industrial,,2.177650398,2.713458635,0.119817922,0.142909794
Middle East,industry,energy-use,biomass,0.0010,0.0010,delivered biomass,,0.009462168,0.013858308,0.009578617,0.017453316
Middle East,industry,energy-use,coal,0.0278,0.0515,delivered coal,,0.027800352,0.05149764,0,0
Middle East,industry,energy-use,electricity,0.1550,0.4501,elect_td_ind,,0.178539759,0.491422125,0.023502497,0.041273079
Middle East,industry,energy-use,gas,1.3473,3.1398,wholesale gas,,1.419159865,3.270683213,0.071839627,0.130899873
Middle East,industry,energy-use,refined liquids,0.9326,1.6556,refined liquids industrial,,1.057078673,1.882541237,0.12452202,0.226893113
Southeast Asia,industry,energy-use,biomass,1.1694,1.2975,delivered biomass,,1.172650046,1.303853256,0.003298324,0.006311448
Southeast Asia,industry,energy-use,coal,0.1906,0.8449,delivered coal,,0.461092284,1.362468456,0.270462571,0.517538745
Southeast Asia,industry,energy-use,electricity,0.4577,1.1247,elect_td_ind,,0.492916494,1.189354245,0.035207963,0.064621153
Southeast Asia,industry,energy-use,gas,0.9807,2.0394,wholesale gas,,1.007127232,2.089855955,0.026386592,0.050491585
Southeast Asia,industry,energy-use,refined liquids,1.1652,2.2240,refined liquids industrial,,1.194871456,2.28083291,0.029684916,0.056803033
USA,industry,energy-use,biomass,0.2824,1.2112,delivered biomass,,0.37911474,1.347061032,0.096717209,0.135848505
USA,industry,energy-use,coal,2.3048,1.2433,delivered coal,,2.517564708,1.542165912,0.212777861,0.298866711
USA,industry,energy-use,electricity,3.2108,3.4296,elect_td_ind,,3.253814814,3.488558773,0.043042112,0.058994414
USA,industry,energy-use,gas,6.3910,6.2049,wholesale gas,,6.40070021,6.218496796,0.009671721,0.013584851
USA,industry,energy-use,refined liquids,3.0907,1.5791,refined liquids industrial,,3.09390701,1.58362348,0.003223907,0.004528284
Western Europe,industry,energy-use,biomass,0.3244,0.3918,delivered biomass,,0.597163284,0.661891212,0.272766365,0.270079282
Western Europe,industry,energy-use,coal,3.4497,2.0512,delivered coal,,3.6801972,2.279377656,0.230484399,0.228213846
Western Europe,industry,energy-use,electricity,3.4190,4.2977,elect_td_ind,,3.526526539,4.410328466,0.107558649,0.112605501
Western Europe,industry,energy-use,gas,3.3467,4.6390,wholesale gas,,3.354643096,4.646895462,0.007947738,0.007869443
Western Europe,industry,energy-use,refined liquids,2.5695,2.4616,refined liquids industrial,,2.853069712,2.742364516,0.283575289,0.280781725

,,,,,,,,,,,
,,,,,,,,,,,
