,,,,,,,,,,,
set CCS tech sharewts,,,,,,,,,,,
Region: USA,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
405,,,,,,,,,,,
,,,1975,1990,2005,2020,2035,2050,2065,2080,2095
supplysector,subsector,technology,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt
boilers pulp paper and wood,refined liquids,refined liquids cogen CCS,0,0,0,0,0,0,0,0,0
boilers pulp paper and wood,gas,gas cogen CCS,0,0,0,0,0,0,0,0,0
boilers pulp paper and wood,coal,coal cogen CCS,0,0,0,0,0,0,0,0,0
boilers pulp paper and wood,biomass,biomass cogen CCS,0,0,0,0,0,0,0,0,0
boilers general,refined liquids,refined liquids cogen CCS,0,0,0,0,0,0,0,0,0
boilers general,gas,gas cogen CCS,0,0,0,0,0,0,0,0,0
boilers general,coal,coal cogen CCS,0,0,0,0,0,0,0,0,0
boilers general,biomass,biomass cogen CCS,0,0,0,0,0,0,0,0,0
process heat primary metals,refined liquids,refined liquids cogen CCS,0,0,0,0,0,0,0,0,0
process heat primary metals,gas,gas cogen CCS,0,0,0,0,0,0,0,0,0
process heat primary metals,coal,coal cogen CCS,0,0,0,0,0,0,0,0,0
process heat primary metals,biomass,biomass cogen CCS,0,0,0,0,0,0,0,0,0
process heat general,refined liquids,refined liquids cogen CCS,0,0,0,0,0,0,0,0,0
process heat general,gas,gas cogen CCS,0,0,0,0,0,0,0,0,0
process heat general,coal,coal cogen CCS,0,0,0,0,0,0,0,0,0
process heat general,biomass,biomass cogen CCS,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
Region: USA,,,,,,,,,,,
Cogen,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
403,,,,,,,,,,,
,,,,,,minicam-non-energy-input,,,,,
supplysector,subsector,technology,period,minicam-energy-input,efficiency,input-cost,logitexp,secondary-output,output-ratio
boilers pulp paper and wood,refined liquids,refined liquids cogen CCS,1975,refined liquids industrial,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen CCS,1990,refined liquids industrial,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen CCS,2005,refined liquids industrial,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen CCS,2020,refined liquids industrial,0.61,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen CCS,2035,refined liquids industrial,0.62,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen CCS,2050,refined liquids industrial,0.63,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen CCS,2065,refined liquids industrial,0.64,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen CCS,2080,refined liquids industrial,0.65,2.5,-6,electricity,0.417
boilers pulp paper and wood,refined liquids,refined liquids cogen CCS,2095,refined liquids industrial,0.66,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen CCS,1975,wholesale gas,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen CCS,1990,wholesale gas,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen CCS,2005,wholesale gas,0.60,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen CCS,2020,wholesale gas,0.61,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen CCS,2035,wholesale gas,0.62,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen CCS,2050,wholesale gas,0.63,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen CCS,2065,wholesale gas,0.64,2.5,-6,electricity,0.417
boilers pulp paper and wood,gas,gas cogen CCS,2080,wholesale gas,0.65,2.5,-6,electricity,0.417
