# File: A54.globaltranTech_retire.csv
# Title: Transportation technology retirement parameters. Only applies to vintaged technologies
# Units: Lifetime and half.life in years; steepness is unitless
supplysector,tranSubsector,tranTechnology,year,lifetime,half.life,steepness
trn_freight_road,Truck,Liquids,final-calibration-year,40,25,0.124
trn_freight_road,Truck,NG,final-calibration-year,40,25,0.124
trn_freight_road,Truck (>12t),Liquids,final-calibration-year,40,25,0.124
trn_freight_road,Truck (>12t),NG,final-calibration-year,40,25,0.124
trn_freight_road,Truck (>14t),Liquids,final-calibration-year,40,25,0.124
trn_freight_road,Truck (>14t),NG,final-calibration-year,40,25,0.124
trn_freight_road,Truck (>15t),Liquids,final-calibration-year,40,25,0.124
trn_freight_road,Truck (>15t),NG,final-calibration-year,40,25,0.124
trn_freight_road,Truck (>32t),Liquids,final-calibration-year,40,25,0.124
trn_freight_road,Truck (>32t),NG,final-calibration-year,40,25,0.124
trn_freight_road,Truck (0-1t),Liquids,final-calibration-year,25,11,0.23
trn_freight_road,Truck (0-1t),NG,final-calibration-year,25,11,0.23
trn_freight_road,Truck (0-2.7t),Liquids,final-calibration-year,25,11,0.23
trn_freight_road,Truck (0-2.7t),NG,final-calibration-year,25,11,0.23
trn_freight_road,Truck (0-2t),Liquids,final-calibration-year,25,11,0.23
trn_freight_road,Truck (0-2t),NG,final-calibration-year,25,11,0.23
trn_freight_road,Truck (0-3.5t),Liquids,final-calibration-year,25,11,0.23
trn_freight_road,Truck (0-3.5t),NG,final-calibration-year,25,11,0.23
trn_freight_road,Truck (0-4.5t),Liquids,final-calibration-year,40,25,0.124
trn_freight_road,Truck (0-4.5t),NG,final-calibration-year,40,25,0.124
trn_freight_road,Truck (0-6t),Liquids,final-calibration-year,40,25,0.124
trn_freight_road,Truck (0-6t),NG,final-calibration-year,40,25,0.124
trn_freight_road,Truck (1-6t),Liquids,final-calibration-year,40,25,0.124
trn_freight_road,Truck (1-6t),NG,final-calibration-year,40,25,0.124
trn_freight_road,Truck (16-32t),Liquids,final-calibration-year,40,25,0.124
trn_freight_road,Truck (16-32t),NG,final-calibration-year,40,25,0.124
trn_freight_road,Truck (2-5t),Liquids,final-calibration-year,40,25,0.124
trn_freight_road,Truck (2-5t),NG,final-calibration-year,40,25,0.124
