# File: A54.tranSubsector_shrwt.csv
# Title: Transportation default subsector shareweights
# Units: Unitless
supplysector,tranSubsector,year.fillout,year,share.weight
trn_aviation_intl,International Aviation,start-year,,1
trn_freight,Domestic Ship,start-year,,1
trn_freight,Freight Rail,start-year,,1
trn_freight_road,3W Rural,start-year,,1
trn_freight_road,Truck,start-year,,1
trn_freight_road,Truck (>12t),start-year,,1
trn_freight_road,Truck (>14t),start-year,,1
trn_freight_road,Truck (>15t),start-year,,1
trn_freight_road,Truck (>32t),start-year,,1
trn_freight_road,Truck (0-1t),start-year,,1
trn_freight_road,Truck (0-2.7t),start-year,,1
trn_freight_road,Truck (0-2t),start-year,,1
trn_freight_road,Truck (0-3.5t),start-year,,1
trn_freight_road,Truck (0-4.5t),start-year,,1
trn_freight_road,Truck (0-6t),start-year,,1
trn_freight_road,Truck (1-6t),start-year,,1
trn_freight_road,Truck (16-32t),start-year,,1
trn_freight_road,Truck (2-5t),start-year,,1
trn_freight_road,Truck (2.7-4.5t),start-year,,1
trn_freight_road,Truck (3.5-16t),start-year,,1
trn_freight_road,Truck (4.5-12t),start-year,,1
trn_freight_road,Truck (4.5-15t),start-year,,1
trn_freight_road,Truck (5-9t),start-year,,1
trn_freight_road,Truck (6-14t),start-year,,1
trn_freight_road,Truck (6-15t),start-year,,1
trn_freight_road,Truck (6-30t),start-year,,1
trn_freight_road,Truck (9-16t),start-year,,1
trn_pass,Cycle,start-year,,1
trn_pass,Domestic Aviation,start-year,,1
trn_pass,HSR,,final-calibration-year,0
trn_pass,HSR,initial-future-year,,0.001
trn_pass,Passenger Rail,start-year,,1
trn_pass,Walk,start-year,,1
trn_pass_road,Bus,start-year,,1
trn_pass_road_bus,Heavy Bus,start-year,,1
trn_pass_road_bus,Light Bus,start-year,,1
trn_pass_road_LDV,Three-Wheeler,start-year,,1
trn_pass_road_LDV_2W,Moped,start-year,,1
trn_pass_road_LDV_2W,Motorcycle (>250cc),start-year,,1
trn_pass_road_LDV_2W,Motorcycle (50-250cc),start-year,,1
trn_pass_road_LDV_2W,Motorcycle (50-250cc),start-year,,1
trn_pass_road_LDV_2W,Scooter,start-year,,1
trn_pass_road_LDV_4W,Compact Car,start-year,,1
trn_pass_road_LDV_4W,Large Car,start-year,,1
trn_pass_road_LDV_4W,Large Car and SUV,start-year,,1
trn_pass_road_LDV_4W,Light Truck and SUV,start-year,,1
trn_pass_road_LDV_4W,Midsize Car,start-year,,1
trn_pass_road_LDV_4W,Mini Car,start-year,,1
trn_pass_road_LDV_4W,Multipurpose Vehicle,start-year,,1
trn_pass_road_LDV_4W,Subcompact Car,start-year,,1
trn_pass_road_LDV_4W,Van,start-year,,1
trn_shipping_intl,International Ship,start-year,,1
# Passthrough tranSubsectors are listed below,,,,
trn_pass,road,start-year,,1
trn_pass_road,LDV,start-year,,1
trn_pass_road,bus,start-year,,1
trn_pass_road_LDV,4W,start-year,,1
trn_pass_road_LDV,2W,start-year,,1
trn_freight,road,start-year,,1
