# File: A13.MSW_curves.csv
# Title: GCAM 3.0 MSW curves
# Units: ???
region_GCAM3,resource,subresource,maxSubResource,mid-price,curve-exponent,gdpSupplyElast
Africa,biomass,generic waste biomass,0.12288,0.9,15,0.588
Australia_NZ,biomass,generic waste biomass,0.0248025,0.9,15,0.588
Canada,biomass,generic waste biomass,0.01827,0.9,15,0.588
China,biomass,generic waste biomass,0.1015725,0.9,15,0.588
Eastern Europe,biomass,generic waste biomass,0.06504,0.9,15,0.588
Former Soviet Union,biomass,generic waste biomass,0.2273775,0.9,15,0.588
India,biomass,generic waste biomass,0.0393225,0.9,15,0.588
Japan,biomass,generic waste biomass,0.078375,0.9,15,0.588
Korea,biomass,generic waste biomass,0.015165,0.9,15,0.588
Latin America,biomass,generic waste biomass,0.149925,0.9,15,0.588
Middle East,biomass,generic waste biomass,0.0529425,0.9,15,0.588
Southeast Asia,biomass,generic waste biomass,0.0783825,0.9,15,0.588
USA,biomass,generic waste biomass,0.367965,0.9,15,0.588
Western Europe,biomass,generic waste biomass,0.25902,0.9,15,0.588
