# File: A44.subsector_logit.csv
# Title: Building default subsector logit exponents
# Units: Unitless
supplysector,subsector,logit.exponent,logit.type
resid heating,biomass,-6,
resid heating,coal,-6,
resid heating,electricity,-6,
resid heating,gas,-6,
resid heating,refined liquids,-6,
resid heating,traditional biomass,-6,
resid heating,district heat,-6,
resid cooling,electricity,-6,
resid cooling,gas,-6,
resid others,biomass,-6,
resid others,coal,-6,
resid others,electricity,-6,
resid others,gas,-6,
resid others,refined liquids,-6,
resid others,traditional biomass,-6,
resid others,district heat,-6,
comm heating,biomass,-6,
comm heating,coal,-6,
comm heating,electricity,-6,
comm heating,gas,-6,
comm heating,refined liquids,-6,
comm heating,district heat,-6,
comm cooling,electricity,-6,
comm cooling,gas,-6,
comm others,biomass,-6,
comm others,coal,-6,
comm others,electricity,-6,
comm others,gas,-6,
comm others,refined liquids,-6,
comm others,district heat,-6,
