# File: A18.hydro_output.csv
# Title: Hydropower by region in GCAM 3.0
# Units: EJ
# Source: GCAM 3.0
# Column types: cnnnnnn 
# ----------
region_GCAM3,2020,2035,2050,2065,2080,2095
Africa,0.3267648,0.65408832,0.98141184,1.30873536,1.63605888,1.9633824
Australia_NZ,0.1409616,0.162445752,0.183929904,0.205414056,0.226898208,0.24838236
Canada,1.394725886,1.473358094,1.551990302,1.63062251,1.709254718,1.787886926
China,2.661752057,2.974997244,3.288242432,3.601487619,3.914732806,4.227977993
Eastern Europe,0.2451996,0.288167904,0.331136208,0.374104512,0.417072816,0.46004112
Former Soviet Union,0.974310686,1.164156254,1.354001822,1.54384739,1.733692958,1.923538526
India,0.401715257,0.591560825,0.781406393,0.971251961,1.161097529,1.350943097
Japan,0.2815596,0.291051878,0.300544157,0.310036435,0.319528714,0.329020992
Korea,0.0132228,0.022715078,0.032207357,0.041699635,0.051191914,0.060684192
Latin America,2.610419143,2.992850887,3.375282631,3.757714375,4.140146119,4.522577863
Middle East,0.076302,0.171224784,0.266147568,0.361070352,0.455993136,0.55091592
Southeast Asia,0.3074832,0.449867376,0.592251552,0.734635728,0.877019904,1.01940408
USA,0.9808092,0.993914568,1.007019936,1.020125304,1.033230672,1.04633604
Western Europe,1.7148312,1.757799504,1.800767808,1.843736112,1.886704416,1.92967272
