# File: A26.subsector_interp.csv
# Title: Final energy delivery subsector shareweight interpolation
# Units: NA
# Description: form of interpolation function to calculate shareweights for future years for final energy delivery subsectors
# Source: NA
# Column types: ccccccc 
# ----------
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
delivered biomass,delivered biomass,share-weight,final-calibration-year,end-year,,linear
delivered coal,delivered coal,share-weight,final-calibration-year,end-year,,linear
electricity_net_ownuse,electricity_net_ownuse,share-weight,final-calibration-year,end-year,,linear
elect_td_bld,elect_td_bld,share-weight,final-calibration-year,end-year,,linear
elect_td_ind,elect_td_ind,share-weight,final-calibration-year,end-year,,linear
elect_td_trn,elect_td_trn,share-weight,final-calibration-year,end-year,,linear
gas pipeline,gas pipeline,share-weight,final-calibration-year,end-year,,linear
wholesale gas,wholesale gas,share-weight,final-calibration-year,end-year,,linear
delivered gas,delivered gas,share-weight,final-calibration-year,end-year,,linear
refined liquids enduse,refined liquids enduse,share-weight,final-calibration-year,end-year,,linear
refined liquids industrial,refined liquids industrial,share-weight,final-calibration-year,end-year,,linear
