# File: CDIAC_nation.csv
# Title: NA
# Units: NA
nation,iso,UN_code
AFGHANISTAN,afg,4
ALBANIA,alb,8
ALGERIA,dza,12
ANDORRA,and,20
ANGOLA,ago,24
ANGUILLA,aia,660
ANTARCTIC FISHERIES,aus,81
ANTIGUA & BARBUDA,atg,28
ARGENTINA,arg,32
ARMENIA,arm,51
ARUBA,abw,533
AUSTRALIA,aus,36
AUSTRIA,aut,40
AZERBAIJAN,aze,31
BAHAMAS,bhs,44
BAHRAIN,bhr,48
BANGLADESH,bgd,50
BARBADOS,brb,52
BELARUS,blr,112
BELGIUM,bel,56
BELIZE,blz,84
BENIN,ben,204
BERMUDA,bmu,60
BHUTAN,btn,64
BOSNIA & HERZEGOVINA,bih,70
BOTSWANA,bwa,72
BRAZIL,bra,76
BRITISH VIRGIN ISLANDS,vgb,92
BRUNEI (DARUSSALAM),brn,96
BULGARIA,bgr,100
BURKINA FASO,bfa,854
BURUNDI,bdi,108
CAMBODIA,khm,116
CANADA,can,124
CAPE VERDE,cpv,132
CAYMAN ISLANDS,cym,136
CENTRAL AFRICAN REPUBLIC,caf,140
CHAD,tcd,148
CHILE,chl,152
CHINA (MAINLAND),chn,156
CHRISTMAS ISLAND,cxr,162
COLOMBIA,col,170
COMOROS,com,174
CONGO,cog,178
COOK ISLANDS,cok,184
COSTA RICA,cri,188
COTE D IVOIRE,civ,384
CROATIA,hrv,191
CUBA,cub,192
CYPRUS,cyp,196
CZECH REPUBLIC,cze,203
CZECHOSLOVAKIA,cze,200
DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,prk,408
DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),cod,180
DEMOCRATIC REPUBLIC OF VIETNAM,vnm,866
DENMARK,dnk,208
DJIBOUTI,dji,262
DOMINICA,dma,212
DOMINICAN REPUBLIC,dom,214
EAST & WEST PAKISTAN,pak,588
ECUADOR,ecu,218
EGYPT,egy,818
EL SALVADOR,slv,222
EQUATORIAL GUINEA,gnq,226
ERITREA,eri,232
ESTONIA,est,233
ETHIOPIA,eth,230
ETHIOPIA,eth,231
FAEROE ISLANDS,fro,234
FALKLAND ISLANDS (MALVINAS),flk,238
FEDERAL REPUBLIC OF GERMANY,deu,280
FEDERATED STATES OF MICRONESIA,fsm,583
FEDERATION OF MALAYA-SINGAPORE,mys,455
FIJI,fji,242
FINLAND,fin,246
FORMER DEMOCRATIC YEMEN,yem,720
FORMER GERMAN DEMOCRATIC REPUBLIC,deu,278
FORMER PANAMA CANAL ZONE,pan,592
FORMER YEMEN,yem,886
FRANCE (INCLUDING MONACO),fra,251
FRENCH EQUATORIAL AFRICA,cog,263
FRENCH GUIANA,guf,254
FRENCH INDO-CHINA,vnm,265
FRENCH POLYNESIA,pyf,258
FRENCH WEST AFRICA,sen,267
GABON,gab,266
GAMBIA,gmb,270
GEORGIA,geo,268
GERMANY,deu,276
GHANA,gha,288
GIBRALTAR,gib,292
GREECE,grc,300
GREENLAND,grl,304
GRENADA,grd,308
GUADELOUPE,glp,312
GUATEMALA,gtm,320
GUINEA,gin,324
GUINEA BISSAU,gnb,624
GUYANA,guy,328
HAITI,hti,332
HONDURAS,hnd,340
HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,hkg,344
HUNGARY,hun,348
ICELAND,isl,352
INDIA,ind,356
INDONESIA,idn,360
IRAQ,irq,368
IRELAND,irl,372
ISLAMIC REPUBLIC OF IRAN,irn,364
ISRAEL,isr,376
ITALY (INCLUDING SAN MARINO),ita,382
JAMAICA,jam,388
JAPAN,jpn,392
JAPAN (EXCLUDING THE RUYUKU ISLANDS),jpn,393
JORDAN,jor,400
KAZAKHSTAN,kaz,398
KENYA,ken,404
KIRIBATI,kir,296
KUWAIT,kwt,414
KUWAITI OIL FIRES,,416
KYRGYZSTAN,kgz,417
LAO PEOPLE S DEMOCRATIC REPUBLIC,lao,418
LATVIA,lva,428
LEBANON,lbn,422
LEEWARD ISLANDS,vgb,423
LIBERIA,lbr,430
LIBYAN ARAB JAMAHIRIYAH,lby,434
LITHUANIA,ltu,440
LUXEMBOURG,lux,442
MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,mac,446
MACEDONIA,mkd,807
MADAGASCAR,mdg,450
MALAWI,mwi,454
MALAYSIA,mys,458
MALDIVES,mdv,462
MALI,mli,466
MALTA,mlt,470
MARSHALL ISLANDS,mhl,584
MARTINIQUE,mtq,474
MAURITANIA,mrt,478
MAURITIUS,mus,480
MEXICO,mex,484
