# File: IEA_ctry.csv
# Title: Mapping between iso codes and country names in IEA databases
# Units: NA
# Column types: ccc
# ----------
IEA_ctry,iso,IEA_Fert_reg
Albania,alb,Central European countries
Algeria,dza,Africa
Angola,ago,Africa
Argentina,arg,Latin America
Armenia,arm,CIS
Australia,aus,Oceania
Austria,aut,Western Europe
Azerbaijan,aze,CIS
Bahrain,bhr,Middle East
Bangladesh,bgd,Other Asia
Belarus,blr,CIS
Belgium,bel,Western Europe
Benin,ben,Africa
Plurinational State of Bolivia,bol,Latin America
Bosnia and Herzegovina,bih,Central European countries
Botswana,bwa,Africa
Brazil,bra,Latin America
Brunei Darussalam,brn,Other Asia
Bulgaria,bgr,Central European countries
Cambodia,khm,China
Cameroon,cmr,Africa
Canada,can,North America
Chile,chl,Latin America
Chinese Taipei,twn,Other Asia
Colombia,col,Latin America
Republic of the Congo,cog,Africa
Costa Rica,cri,Latin America
Cote dIvoire,civ,Africa
Croatia,hrv,Central European countries
Cuba,cub,Latin America
Cyprus,cyp,Western Europe
Czech Republic,cze,Central European countries
Dem. Peoples Rep. of Korea,prk,China
Democratic Republic of the Congo,cod,Africa
Denmark,dnk,Western Europe
Dominican Republic,dom,Latin America
Ecuador,ecu,Latin America
Egypt,egy,Africa
El Salvador,slv,Latin America
Eritrea,eri,Africa
Estonia,est,CIS
Ethiopia,eth,Africa
Finland,fin,Western Europe
Republic of North Macedonia,mkd,Central European countries
France,fra,Western Europe
Gabon,gab,Africa
Georgia,geo,CIS
Germany,deu,Western Europe
Ghana,gha,Africa
Gibraltar,gib,Western Europe
Greece,grc,Western Europe
Guatemala,gtm,Latin America
Haiti,hti,Latin America
Honduras,hnd,Latin America
Hong Kong (China),hkg,Other Asia
Hungary,hun,Central European countries
Iceland,isl,Western Europe
India,ind,India
Indonesia,idn,Other Asia
Iraq,irq,Middle East
Ireland,irl,Western Europe
Islamic Republic of Iran,irn,Middle East
Israel,isr,Middle East
Italy,ita,Western Europe
Jamaica,jam,Latin America
Japan,jpn,Other Asia
Jordan,jor,Middle East
Kazakhstan,kaz,CIS
Kenya,ken,Africa
Korea,kor,Other Asia
Kosovo,srb,Central European countries
Kuwait,kwt,Middle East
Kyrgyzstan,kgz,CIS
Latvia,lva,CIS
Lebanon,lbn,Middle East
Libya,lby,Africa
Lithuania,ltu,CIS
Luxembourg,lux,Western Europe
Malaysia,mys,Other Asia
Malta,mlt,Western Europe
Mauritius,mus,Africa
Mexico,mex,Latin America
Mongolia,mng,China
Montenegro,mne,Central European countries
Morocco,mar,Africa
Mozambique,moz,Africa
Myanmar,mmr,Other Asia
Namibia,nam,Africa
Nepal,npl,Other Asia
Netherlands,nld,Western Europe
New Zealand,nzl,Oceania
Nicaragua,nic,Latin America
Niger,ner,Africa
Nigeria,nga,Africa
Norway,nor,Western Europe
Oman,omn,Middle East
Pakistan,pak,Other Asia
Panama,pan,Latin America
Paraguay,pry,Latin America
Peoples Republic of China,chn,China
Peru,per,Latin America
Philippines,phl,Other Asia
Poland,pol,Central European countries
Portugal,prt,Western Europe
Qatar,qat,Middle East
Republic of Moldova,mda,CIS
Romania,rom,Central European countries
Russian Federation,rus,CIS
Saudi Arabia,sau,Middle East
Senegal,sen,Africa
Serbia,srb,Central European countries
Serbia and Montenegro,scg,Central European countries
Singapore,sgp,Other Asia
Slovak Republic,svk,Central European countries
Slovenia,svn,Central European countries
South Africa,zaf,Africa
South Sudan,ssd,Africa
Spain,esp,Western Europe
Sri Lanka,lka,Other Asia
Sudan,sdn,Africa
Suriname,sur,Latin America
Sweden,swe,Western Europe
Switzerland,che,Western Europe
Syrian Arab Republic,syr,Middle East
Tajikistan,tjk,CIS
Thailand,tha,Other Asia
Togo,tgo,Africa
Trinidad and Tobago,tto,Latin America
Tunisia,tun,Africa
Turkey,tur,Western Europe
Turkmenistan,tkm,CIS
Ukraine,ukr,CIS
United Arab Emirates,are,Middle East
United Kingdom,gbr,Western Europe
United Republic of Tanzania,tza,Africa
United States,usa,North America
Uruguay,ury,Latin America
Uzbekistan,uzb,CIS
Bolivarian Republic of Venezuela,ven,Latin America
Viet Nam,vnm,China
Yemen,yem,Middle East
Zambia,zmb,Africa
Zimbabwe,zwe,Africa
Former Soviet Union (If no detail),arm,CIS
Former Soviet Union (If no detail),aze,CIS
Former Soviet Union (If no detail),blr,CIS
Former Soviet Union (If no detail),est,CIS
