# File: comtrade_countrycode_ISO.csv
# Title: Comtrade country code to ISO mapping
# Source: UN Comtrade
# Comments:Nov 25th 2019: Note that as Taiwan is not recognized by the UN there is no TWN ISO specified in the comtrade_ISO mappings. According to COMTRADE code 490 is (in practice) only Taiwan, so it is listed as TWN here rather than NA, but when/if better data is available for Taiwan we may want to update
# Units: NA
# Notes: The current (Nov 15th 2019) ISO for Romania is rou, however GCAM has it listed as rom. This change has been manually implemented here.
# Column types: icc 
# ----------
Country_Code,Country_Name,ISO3_digit_Alpha
4,Afghanistan,AFG
472,"Africa CAMEU region, not elsewhere specified",N/A
8,Albania,ALB
12,Algeria,DZA
16,American Samoa,ASM
20,Andorra,AND
24,Angola,AGO
660,Anguilla,AIA
10,Antarctica,ATA
28,Antigua and Barbuda,ATA
899,"Areas, not elsewhere specified",N/A
32,Argentina,ARG
51,Armenia,ARM
533,Aruba,ABW
36,Australia,AUS
40,Austria,AUT
31,Azerbaijan,AZE
44,Bahamas,BHS
48,Bahrain,BHR
50,Bangladesh,BGD
52,Barbados,BRB
112,Belarus,BLR
56,Belgium,BEL
58,Belgium-Luxembourg,BEL
84,Belize,BLZ
204,Benin,BEN
60,Bermuda,BMU
64,Bhutan,BTN
68,Plurinational State of Bolivia,BOL
535,"Bonaire, Saint Eustatius and Saba",BES
70,Bosnia Herzegovina,BIH
72,Botswana,BWA
74,Ile Bouvet,N/A
80,British Antarctic Territories,N/A
86,British Indian Ocean Territories,IOT
92,British Virgin Islands,VGB
76,Brazil,BRA
96,Brunei Darussalam,BRN
100,Bulgaria,BGR
837,Bunkers,N/A
854,Burkina Faso,BFA
108,Burundi,BDI
132,Cabo Verde,CPV
471,"CACM, not elsewhere specified",N/A
116,Cambodia,KHM
120,Cameroon,CMR
124,Canada,CAN
129,"Caribbean, not elsewhere specified",N/A
136,Cayman Islands,CYM
140,Central African Republic,CAF
148,Chad,TCD
152,Chile,CHL
156,China,CHN
344,"China, Hong Kong Special Administrative Region",HKG
446,"China, Macao Special Administrative Region",MAC
162,Christmas Islands,CXR
166,Cocos Islands,CCK
170,Colombia,COL
174,Comoros,COM
178,Congo,COG
184,Cook Islands,COK
188,Costa Rica,CRI
384,Côte d'Ivoire,CIV
191,Croatia,HRV
192,Cuba,CUB
531,Curaçao,CUW
196,Cyprus,CYP
203,Czechia,CZE
200,Czechoslovakia,CSK
408,Democratic People's Republic of Korea,PRK
180,Democratic Republic of the Congo,COD
208,Denmark,DNK
262,Djibouti,DJI
212,Dominica,DMA
214,Dominican Republic,DOM
588,East and West Pakistan,PAK
221,"Eastern Europe, not elsewhere specified",N/A
218,Ecuador,ECU
818,Egypt,EGY
222,El Salvador,SLV
226,Equatorial Guinea,GNQ
232,Eritrea,ERI
233,Estonia,EST
231,Ethiopia,ETH
97,EU-28,EU2
697,"Europe EFTA, not elsewhere specified",N/A
492,"Europe EU, not elsewhere specified",N/A
234,Faeroe Islands,FRO
238,Falkland Islands (Malvinas),FLK
242,Fiji,FJI
246,Finland,FIN
886,Former Arab Republic of Yemen,YEM
278,Former Democratic Republic of Germany,DDR
866,Former Democratic Republic of Vietnam,VDR
720,Former Democratic Yemen,YMD
230,Former Ethiopia,ETH
280,Former Federal Republic of Germany,DEU
582,Former Pacific Islands,PCI
590,"Former Panama, excluding Canal Zone",PAN
592,Former Panama-Canal-Zone,PCZ
868,Former Republic of Vietnam,VNM
717,Former Rhodesia Nyas,N/A
736,Former Sudan,SDN
835,Former Tanganyika,N/A
810,Former USSR,SUN
890,Former Yugoslavia,YUG
836,Former Zanzibar and Pemba Island,N/A
260,French South Antarctic Territories,ATF
251,"France, Monaco",FRA
838,Free Zones,N/A
254,French Guiana,GUF
258,French Polynesia,PYF
583,Federated State of Micronesia,FSM
266,Gabon,GAB
270,Gambia,GMB
268,Georgia,GEO
276,Germany,DEU
288,Ghana,GHA
292,Gibraltar,GIB
300,Greece,GRC
304,Greenland,GRL
308,Grenada,GRD
312,Guadeloupe,GLP
316,Guam,GUM
320,Guatemala,GTM
324,Guinea,GIN
624,Guinea-Bissau,GNB
328,Guyana,GUY
