# File: IEA_flow_sector.csv
# Title: Mapping from flows in IEA energy balances to intermediate sector names. Includes unit conversion
# Units: NA
# Source: International Energy Agency, 2012, Energy Balances of OECD Countries 1960-2010 and Energy Balances of Non-OECD Countries 1971-2010
# Description: The conversion factors convert from the units in IEA Energy Balances (kilotonnes of oil equivalent, terajoules of heat, and gigawatt-hours of electricity) to exajoules, and all energy inputs are indicated as positive numbers. In the IEA Energy Balances, the standard adopted is that for energy production and transformation sectors, energy inputs are negative and energy outputs are positive, whereas for energy consumption sectors, energy inputs are positive. We don't use that convention in GCAM; all energy inputs (and outputs) are indicated as positive numbers.
# Column types: cccn 
# ----------
flow_code,flow_name,sector,conversion
INDPROD,Production,out_resources,0.00004186
IMPORTS,Imports,,
EXPORTS,Exports,,
MARBUNK,International Marine Bunkers,in_trn_international ship,-0.00004186
AVBUNK,International Aviation Bunkers,in_trn_international air,-0.00004186
STOCKCHA,Stock Changes,,
TPES,Total Primary Energy Supply,,
TRANSFER,Transfers,,
STATDIFF,Statistical Differences,,
TOTTRANF,Transformation Sector,,
MAINELEC,Main Activity Producer Electricity Plants,in_electricity generation,-0.00004186
AUTOELEC,Autoproducer Electricity Plants,in_electricity generation,-0.00004186
MAINCHP,Main Activity Producer CHP Plants,in_electricity generation,-0.00004186
AUTOCHP,Autoproducer CHP Plants,in_industry_chp,-0.00004186
MAINHEAT,Main Activity Producer Heat Plants,in_heat,-0.00004186
AUTOHEAT,Autoproducer Heat Plants,in_heat,-0.00004186
THEAT,Heat Pumps,net_industry_energy transformation,-0.00004186
TBOILER,Electric Boilers,net_industry_energy transformation,-0.00004186
TELE,Chemical heat for electricity production,,
TBLASTFUR,Blast Furnaces,net_industry_energy_iron and steel,-0.00004186
TGASWKS,Gas Works,net_gas works,-0.00004186
TCOKEOVS,Coke Ovens,net_industry_energy_iron and steel,-0.00004186
TPATFUEL,Patent Fuel Plants,net_industry_energy transformation,-0.00004186
TBKB,BKB Plants,net_industry_energy transformation,-0.00004186
TREFINER,Petroleum Refineries,net_industry_oil refining,-0.00004186
TPETCHEM,Petrochemical Industry,net_industry_energy transformation,-0.00004186
TCOALLIQ,Coal Liquefaction Plants,in_industry_ctl,-0.00004186
TGTL,Gas-to-Liquids (GTL) Plants,in_industry_gtl,-0.00004186
TBLENDGAS,For Blended Natural Gas,net_gas works,-0.00004186
TCHARCOAL,Charcoal Production Plants,net_industry_energy transformation,-0.00004186
TNONSPEC,Non-specified (Transformation),net_industry_energy transformation,-0.00004186
TOTENGY,Energy Sector,,
EMINES,Coal Mines,net_industry_energy transformation,-0.00004186
EOILGASEX,Oil and Gas Extraction,net_industry_energy transformation,-0.00004186
EBLASTFUR,Blast Furnaces,net_industry_energy_iron and steel,-0.00004186
EGASWKS,Gas Works,net_gas works,-0.00004186
EBIOGAS,Gasification Plants for Biogas,net_industry_energy transformation,-0.00004186
ECOKEOVS,Coke Ovens,net_industry_energy_iron and steel,-0.00004186
EPATFUEL,Patent Fuel Plants,net_industry_energy transformation,-0.00004186
EBKB,BKB Plants,net_industry_energy transformation,-0.00004186
EREFINER,Petroleum Refineries,net_industry_oil refining,-0.00004186
ECOALLIQ,Coal Liquefaction Plants,in_industry_ctl,-0.00004186
ELNG,Liquefaction (LNG) / Regasification Plants,net_industry_energy transformation,-0.00004186
EGTL,Gas-to-Liquids (GTL) Plants,in_industry_gtl,-0.00004186
EPOWERPLT,"Own Use in Electricity, CHP and Heat Plants",in_industry_ownuse,-0.00004186
EPUMPST,Used for Pumped Storage,in_industry_ownuse,-0.00004186
ENUC,Nuclear Industry,net_industry_energy transformation,-0.00004186
ECHARCOAL,Charcoal Production Plants,net_industry_energy transformation,-0.00004186
