# File: ILO_country_iso_mapping.csv
# Title: ILO countries to iso
# Units: NA
# Description: Maps ILO region to iso
# Source: https://ilostat.ilo.org/methods/concepts-and-definitions/classification-country-groupings/
# Last update: Aug 2025 (XZ)
# Column types: cccc
# ----------
ISO3 Code,Country,Is ILO member?,Included in ILO estimates?
AFG,Afghanistan,Yes,Yes
ALB,Albania,Yes,Yes
DZA,Algeria,Yes,Yes
ASM,American Samoa,No,No
AND,Andorra,No,No
AGO,Angola,Yes,Yes
AIA,Anguilla,No,No
ATG,Antigua and Barbuda,Yes,No
ARG,Argentina,Yes,Yes
ARM,Armenia,Yes,Yes
ABW,Aruba,No,No
AUS,Australia,Yes,Yes (*)
AUT,Austria,Yes,Yes (*)
AZE,Azerbaijan,Yes,Yes
BHS,Bahamas,Yes,Yes
BHR,Bahrain,Yes,Yes
BGD,Bangladesh,Yes,Yes
BRB,Barbados,Yes,Yes
BLR,Belarus,Yes,Yes
BEL,Belgium,Yes,Yes (*)
BLZ,Belize,Yes,Yes
BEN,Benin,Yes,Yes
BMU,Bermuda,No,No
BTN,Bhutan,No,Yes
BOL,Bolivia (Plurinational State of),Yes,Yes
BIH,Bosnia and Herzegovina,Yes,Yes
BWA,Botswana,Yes,Yes
BRA,Brazil,Yes,Yes
VGB,British Virgin Islands,No,No
BRN,Brunei Darussalam,No,Yes
BGR,Bulgaria,Yes,Yes (*)
BFA,Burkina Faso,Yes,Yes
BDI,Burundi,Yes,Yes
CPV,Cabo Verde,Yes,Yes
KHM,Cambodia,Yes,Yes
CMR,Cameroon,Yes,Yes
CAN,Canada,Yes,Yes (*)
CYM,Cayman Islands,No,No
CAF,Central African Republic,Yes,Yes
TCD,Chad,Yes,Yes
CHA,Channel Islands,No,Yes (*)
CHL,Chile,Yes,Yes
CHN,China,Yes,Yes
COL,Colombia,Yes,Yes
COM,Comoros,Yes,Yes
COG,Congo,Yes,Yes
COD,"Congo, Democratic Republic of the",Yes,Yes
COK,Cook Islands,No,No
CRI,Costa Rica,Yes,Yes
CIV,C te d Ivoire,Yes,Yes
HRV,Croatia,Yes,Yes (*)
CUB,Cuba,Yes,Yes
CUW,Cura ao,No,No
CYP,Cyprus,Yes,Yes (*)
CZE,Czechia,Yes,Yes (*)
DNK,Denmark,Yes,Yes (*)
DJI,Djibouti,Yes,Yes (*)
DMA,Dominica,Yes,No
DOM,Dominican Republic,Yes,Yes
ECU,Ecuador,Yes,Yes
EGY,Egypt,Yes,Yes
SLV,El Salvador,Yes,Yes
GNQ,Equatorial Guinea,Yes,Yes
ERI,Eritrea,Yes,Yes
EST,Estonia,Yes,Yes (*)
SWZ,Eswatini,Yes,Yes
ETH,Ethiopia,Yes,Yes
FLK,Falkland Islands (Malvinas),No,No
