# File: Water_footprint_m3.csv
# Title: Average annual water consumption
# Units: m3
# Author: moirai
# Description: crop average annual water volume consumed (m^3) for sage land cells in country X glu
# Original source: water footprint network; country raster; new glu raster
# Source: https://github.com/JGCRI/moirai
# Column types: ciccn 
# ----------
iso,glu_code,SAGE_crop,water_type,value
afg,52,Barley,blue,53789476
afg,52,Barley,green,47813776
afg,52,Barley,gray,1268998
afg,52,Barley,total,102872176
afg,52,Cotton,blue,48041016
afg,52,Cotton,green,601605
afg,52,Cotton,gray,689719
afg,52,Cotton,total,49332368
afg,52,Maize,blue,215249952
afg,52,Maize,green,28966388
afg,52,Maize,gray,2931931
afg,52,Maize,total,247148176
afg,52,Millet,green,11851844
afg,52,Millet,gray,218331
afg,52,Millet,total,12070175
afg,52,Olives,blue,1512913
afg,52,Olives,green,524245
afg,52,Olives,gray,18730
afg,52,Olives,total,2055888
afg,52,Potatoes,blue,5535831
afg,52,Potatoes,green,3539714
afg,52,Potatoes,gray,753201
afg,52,Potatoes,total,9828747
afg,52,Rice,blue,162109824
afg,52,Rice,green,20455144
afg,52,Rice,gray,3805427
afg,52,Rice,total,186370288
afg,52,Sugarcane,green,298575
afg,52,Sugarcane,gray,273747
afg,52,Sugarcane,total,572321
afg,52,Sunflower,blue,7520795
afg,52,Sunflower,green,839330
afg,52,Sunflower,gray,108665
afg,52,Sunflower,total,8468796
afg,52,Wheat,blue,152730816
afg,52,Wheat,green,1348519424
afg,52,Wheat,gray,4170853
afg,52,Wheat,total,1505420672
afg,58,Barley,blue,183342608
afg,58,Barley,green,116502624
afg,58,Barley,gray,2829492
afg,58,Barley,total,302674336
afg,58,Cotton,blue,166405488
afg,58,Cotton,green,7867558
afg,58,Cotton,gray,2559245
afg,58,Cotton,total,176832160
afg,58,Maize,blue,385066272
afg,58,Maize,green,80908880
afg,58,Maize,gray,6168074
afg,58,Maize,total,472143200
afg,58,Millet,green,16185569
afg,58,Millet,gray,296679
afg,58,Millet,total,16482219
afg,58,Olives,blue,4083112
afg,58,Olives,green,1924988
afg,58,Olives,gray,59163
afg,58,Olives,total,6067266
afg,58,Potatoes,blue,11317195
afg,58,Potatoes,green,12042467
afg,58,Potatoes,gray,2204226
afg,58,Potatoes,total,25563846
afg,58,Rice,blue,235622432
afg,58,Rice,green,35854996
afg,58,Rice,gray,5744865
afg,58,Rice,total,277222336
afg,58,Sugarcane,green,511498
afg,58,Sugarcane,gray,437576
afg,58,Sugarcane,total,949074
afg,58,Sunflower,blue,25863140
afg,58,Sunflower,green,4252468
afg,58,Sunflower,gray,403230
afg,58,Sunflower,total,30518836
afg,58,Wheat,blue,155310320
afg,58,Wheat,green,1837773568
afg,58,Wheat,gray,5852838
afg,58,Wheat,total,1998938368
afg,89,Barley,blue,49147428
afg,89,Barley,green,61487232
afg,89,Barley,gray,1106478
afg,89,Barley,total,111741184
afg,89,Cotton,blue,33856056
afg,89,Cotton,green,10799511
afg,89,Cotton,gray,951518
afg,89,Cotton,total,45607088
afg,89,Maize,blue,101484832
afg,89,Maize,green,63061468
afg,89,Maize,gray,2631171
afg,89,Maize,total,167177408
afg,89,Millet,green,7925999
afg,89,Millet,gray,101169
afg,89,Millet,total,8027165
afg,89,Olives,blue,918082
afg,89,Olives,green,1318699
afg,89,Olives,gray,26739
afg,89,Olives,total,2263522
afg,89,Potatoes,blue,3143349
afg,89,Potatoes,green,6549230
