# File: Ref_veg_carbon_Mg_per_ha.csv
# Title: Reference veg and soil C density for HYDE land cells
# Units: Mg/ha
# Author: moirai
# Description: ref veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type
# Original source: soil c for sage pot veg; veg c for sage pot veg; reference veg; country raster; new glu raster; hyde land area
# Source: https://github.com/JGCRI/moirai
# Column types: ciicnnnnnn
# ----------
iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
afg,52,901,soil_c (0-30 cms),21,20,20,30,20,20
afg,52,901,veg_c (below ground biomass),2,1,1,3,1,2
afg,52,902,soil_c (0-30 cms),9,20,20,30,20,20
afg,52,902,veg_c (below ground biomass),1,1,1,3,1,2
afg,52,1001,soil_c (0-30 cms),63,50,10,240,30,90
afg,52,1001,veg_c (below ground biomass),2,2,0,20,1,3
afg,52,1002,soil_c (0-30 cms),50,50,10,240,30,90
afg,52,1002,veg_c (above ground biomass),1,0,0,6,0,1
afg,52,1002,veg_c (below ground biomass),3,1,0,19,1,3
afg,52,1101,soil_c (0-30 cms),21,20,10,40,20,20
afg,52,1101,veg_c (above ground biomass),1,0,0,1,0,1
afg,52,1101,veg_c (below ground biomass),2,2,1,5,1,2
afg,52,1102,soil_c (0-30 cms),19,20,10,40,20,20
afg,52,1102,veg_c (above ground biomass),1,0,0,1,0,1
afg,52,1102,veg_c (below ground biomass),2,2,1,5,1,2
afg,52,1201,soil_c (0-30 cms),47,20,10,240,20,50
afg,52,1201,veg_c (above ground biomass),1,1,0,6,0,1
afg,52,1201,veg_c (below ground biomass),2,1,1,12,1,2
afg,52,1202,soil_c (0-30 cms),28,20,10,240,20,50
afg,52,1202,veg_c (above ground biomass),1,1,0,6,0,1
afg,52,1202,veg_c (below ground biomass),2,1,1,12,1,2
afg,52,1401,soil_c (0-30 cms),14,10,10,20,10,20
afg,52,1401,veg_c (below ground biomass),1,0,0,1,0,0
afg,52,1402,soil_c (0-30 cms),11,10,10,20,10,20
afg,52,1402,veg_c (below ground biomass),1,0,0,1,0,0
afg,58,401,soil_c (0-30 cms),47,50,30,80,30,70
afg,58,401,veg_c (above ground biomass),1,1,0,1,1,1
afg,58,401,veg_c (below ground biomass),3,3,0,6,2,3
afg,58,402,soil_c (0-30 cms),51,50,30,80,30,70
afg,58,402,veg_c (above ground biomass),1,1,0,2,1,1
afg,58,402,veg_c (below ground biomass),3,3,0,6,2,3
afg,58,405,soil_c (0-30 cms),58,50,30,80,30,70
afg,58,405,veg_c (above ground biomass),1,1,0,2,1,1
afg,58,405,veg_c (below ground biomass),3,3,0,5,2,3
afg,58,407,soil_c (0-30 cms),62,50,30,80,30,70
afg,58,407,veg_c (above ground biomass),1,1,0,2,1,1
afg,58,407,veg_c (below ground biomass),3,3,0,5,2,3
afg,58,901,soil_c (0-30 cms),63,50,40,200,40,100
afg,58,901,veg_c (above ground biomass),1,0,0,1,0,1
afg,58,901,veg_c (below ground biomass),3,1,1,5,1,3
afg,58,902,soil_c (0-30 cms),45,50,40,200,40,100
afg,58,902,veg_c (above ground biomass),1,0,0,2,0,1
afg,58,902,veg_c (below ground biomass),1,1,1,4,1,3
afg,58,1001,soil_c (0-30 cms),70,50,10,290,40,80
afg,58,1001,veg_c (above ground biomass),1,1,0,13,1,1
afg,58,1001,veg_c (below ground biomass),3,2,0,49,2,4
afg,58,1002,soil_c (0-30 cms),52,50,10,290,40,80
afg,58,1002,veg_c (above ground biomass),1,1,0,14,1,1
afg,58,1002,veg_c (below ground biomass),2,2,0,47,2,4
afg,58,1003,soil_c (0-30 cms),65,50,10,290,40,80
afg,58,1003,veg_c (above ground biomass),1,1,0,18,1,1
afg,58,1003,veg_c (below ground biomass),3,2,0,43,2,3
afg,58,1005,soil_c (0-30 cms),78,50,10,290,40,80
afg,58,1005,veg_c (above ground biomass),1,1,0,14,1,1
afg,58,1005,veg_c (below ground biomass),3,2,0,47,2,4
afg,58,1006,soil_c (0-30 cms),74,50,10,290,40,80
afg,58,1006,veg_c (above ground biomass),1,1,0,13,1,1
afg,58,1006,veg_c (below ground biomass),3,2,0,48,2,4
afg,58,1007,soil_c (0-30 cms),104,50,10,290,40,80
afg,58,1007,veg_c (above ground biomass),1,1,0,15,1,1
afg,58,1007,veg_c (below ground biomass),3,2,0,46,2,4
afg,58,1101,soil_c (0-30 cms),112,90,30,170,50,170
afg,58,1101,veg_c (above ground biomass),2,2,0,14,1,4
afg,58,1101,veg_c (below ground biomass),4,3,1,26,3,8
afg,58,1102,soil_c (0-30 cms),96,90,30,170,50,170
afg,58,1102,veg_c (above ground biomass),2,2,0,14,1,4
afg,58,1102,veg_c (below ground biomass),4,3,1,26,3,8
afg,58,1103,soil_c (0-30 cms),57,90,30,170,50,170
afg,58,1103,veg_c (above ground biomass),1,1,0,8,1,2
