PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,FKHTBTU8 ,FKCLBTU8 ,FKWTBTU8 ,FKCKBTU8 ,FKMSBTU8 ,DHHTBTU8 ,DHCLBTU8 ,DHWTBTU8 ,DHCKBTU8 ,DHMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1,3,5,14000,4,8,5,1,1,2,2,2,2,734.43,23,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
3,3,5,190000,7,4,2,1,2,1,2,2,2,80.65,23,1,0,0,0,0,69345,                  ,                  ,                  ,                  ,                  
5,4,9,25000,4,5,12,1,1,2,2,2,2,950.84,62,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
6,3,6,55000,6,4,2,1,2,2,2,1,2,274.46,29,2,                  ,                  ,                  ,                  ,                  ,1921342,0,38658,0,0
8,1,2,19000,4,4,14,1,2,1,2,2,2,446.21,7,1,1184955,0,60065,0,0,                  ,                  ,                  ,                  ,                  
9,4,8,110000,7,5,14,1,2,2,2,1,2,22.68,107,2,                  ,                  ,                  ,                  ,                  ,2748092,0,2285908,0,0
10,3,5,600000,9,1,16,1,1,1,2,1,2,18.98,25,2,0,0,0,0,2973618,0,0,414000,0,0
11,2,3,6300,3,4,18,1,1,2,2,2,2,352.05,13,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
12,3,5,18000,4,6,2,1,2,2,2,2,2,808.04,21,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
13,2,4,4800,2,5,15,1,1,2,2,2,2,1528.98,17,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
14,1,2,65000,6,5,2,1,1,2,2,2,2,221.72,8,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
15,4,8,14250,4,4,18,1,1,2,2,2,2,446.21,39,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
16,2,3,20000,4,5,23,1,1,2, ,2,2,864.37,12,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
17,1,1,164000,7,5,14,1,2,1,1,2,2,137.78,3,1,8578711,0,411976,0,523447,                  ,                  ,                  ,                  ,                  
18,4,8,2050,2,2,23,1,1,2, ,2,2,742.06,37,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
19,2,3,106000,7,7,5,1,1,2,2,2,2,38.21,12,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
20,1,2,148000,7,3,14,1,1,2,2,2,2,137.73,7,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
21,2,3,12500,4,6,12,1,2,2,2,2,2,2724.37,13,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
22,3,5,3350,2,8,26,1,2,2,1,2,2,2546.83,21,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
23,2,3,15250,4,8,23,1,1,2, ,2,2,192.92,13,1,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
24,2,4,12750,4,3,2,1,1,2,2,2,2,402.35,19,2,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  ,                  
