Global CO2 market name that has the constraint and wil be linked to,,,,,,,,,,,,,,,,,,
CO2_TOTAL,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Proportional tax rate,,,,,,,,,,,,,,,,,,
region,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
USA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Africa_Eastern,0,0,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,1,1,1,1,1,1,1,1,1,1
Africa_Northern,0,0,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,1,1,1,1,1,1,1,1,1,1
Africa_Southern,0,0,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,1,1,1,1,1,1,1,1,1,1
Africa_Western,0,0,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,1,1,1,1,1,1,1,1,1,1
Australia_NZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Canada,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Central America and Caribbean,0,0,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,1,1,1,1,1,1,1,1,1,1
Central Asia,0,0,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,1,1,1,1,1,1,1,1,1,1
China,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EU-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EU-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Europe_Eastern,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Europe_Non_EU,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
European Free Trade Association,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
India,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Indonesia,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Japan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mexico,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Middle East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,1,1,1,1,1,1,1,1,1,1
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South America_Northern,0,0,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,1,1,1,1,1,1,1,1,1,1
South America_Southern,0,0,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,1,1,1,1,1,1,1,1,1,1
South Asia,0,0,0.166666667,0.333333333,0.5,0.666666667,0.833333333,1,1,1,1,1,1,1,1,1,1,1
South Korea,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Southeast Asia,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Taiwan,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Argentina,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Colombia,0,0,0.333333333,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,
Input tables below linked to the tables above,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Linked Policies,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
region,gas,price-adjust,demand-adjust,market,linked-policy,price-unit,output-unit,,,,,,,,,,,
USA,CO2,0,1,USA,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Africa_Eastern,CO2,0,1,Africa_Eastern,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Africa_Northern,CO2,0,1,Africa_Northern,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Africa_Southern,CO2,0,1,Africa_Southern,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Africa_Western,CO2,0,1,Africa_Western,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Australia_NZ,CO2,0,1,Australia_NZ,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Brazil,CO2,0,1,Brazil,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Canada,CO2,0,1,Canada,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Central America and Caribbean,CO2,0,1,Central America and Caribbean,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Central Asia,CO2,0,1,Central Asia,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
China,CO2,0,1,China,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
EU-12,CO2,0,1,EU-12,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
EU-15,CO2,0,1,EU-15,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Europe_Eastern,CO2,0,1,Europe_Eastern,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Europe_Non_EU,CO2,0,1,Europe_Non_EU,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
European Free Trade Association,CO2,0,1,European Free Trade Association,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
India,CO2,0,1,India,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Indonesia,CO2,0,1,Indonesia,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Japan,CO2,0,1,Japan,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Mexico,CO2,0,1,Mexico,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Middle East,CO2,0,1,Middle East,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Pakistan,CO2,0,1,Pakistan,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Russia,CO2,0,1,Russia,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
South Africa,CO2,0,1,South Africa,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
South America_Northern,CO2,0,1,South America_Northern,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
South America_Southern,CO2,0,1,South America_Southern,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
South Asia,CO2,0,1,South Asia,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
South Korea,CO2,0,1,South Korea,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Southeast Asia,CO2,0,1,Southeast Asia,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Taiwan,CO2,0,1,Taiwan,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Argentina,CO2,0,1,Argentina,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
Colombia,CO2,0,1,Colombia,CO2_TOTAL,1990$/tC,MtC,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Proportional tax,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
region,gas,year;price-adjust,value;price-adjust,,,32,18,,,,,,,,,,,
USA,CO2,2015,1,,,1,1,,,,,,,,,,,
Africa_Eastern,CO2,2015,0,,,2,1,,,,,,,,,,,
Africa_Northern,CO2,2015,0,,,3,1,,,,,,,,,,,
Africa_Southern,CO2,2015,0,,,4,1,,,,,,,,,,,
Africa_Western,CO2,2015,0,,,5,1,,,,,,,,,,,
Australia_NZ,CO2,2015,1,,,6,1,,,,,,,,,,,
Brazil,CO2,2015,0,,,7,1,,,,,,,,,,,
Canada,CO2,2015,1,,,8,1,,,,,,,,,,,
Central America and Caribbean,CO2,2015,0,,,9,1,,,,,,,,,,,
Central Asia,CO2,2015,0,,,10,1,,,,,,,,,,,
China,CO2,2015,0,,,11,1,,,,,,,,,,,
EU-12,CO2,2015,1,,,12,1,,,,,,,,,,,
EU-15,CO2,2015,1,,,13,1,,,,,,,,,,,
Europe_Eastern,CO2,2015,0,,,14,1,,,,,,,,,,,
Europe_Non_EU,CO2,2015,0,,,15,1,,,,,,,,,,,
European Free Trade Association,CO2,2015,1,,,16,1,,,,,,,,,,,
India,CO2,2015,0,,,17,1,,,,,,,,,,,
Indonesia,CO2,2015,0,,,18,1,,,,,,,,,,,
Japan,CO2,2015,1,,,19,1,,,,,,,,,,,
Mexico,CO2,2015,0,,,20,1,,,,,,,,,,,
Middle East,CO2,2015,0,,,21,1,,,,,,,,,,,
Pakistan,CO2,2015,0,,,22,1,,,,,,,,,,,
Russia,CO2,2015,0,,,23,1,,,,,,,,,,,
South Africa,CO2,2015,0,,,24,1,,,,,,,,,,,
South America_Northern,CO2,2015,0,,,25,1,,,,,,,,,,,
South America_Southern,CO2,2015,0,,,26,1,,,,,,,,,,,
South Asia,CO2,2015,0,,,27,1,,,,,,,,,,,
South Korea,CO2,2015,1,,,28,1,,,,,,,,,,,
Southeast Asia,CO2,2015,0,,,29,1,,,,,,,,,,,
Taiwan,CO2,2015,0,,,30,1,,,,,,,,,,,
Argentina,CO2,2015,0,,,31,1,,,,,,,,,,,
Colombia,CO2,2015,0,,,32,1,,,,,,,,,,,
USA,CO2,2020,1,,,1,2,,,,,,,,,,,
Africa_Eastern,CO2,2020,0,,,2,2,,,,,,,,,,,
Africa_Northern,CO2,2020,0,,,3,2,,,,,,,,,,,
Africa_Southern,CO2,2020,0,,,4,2,,,,,,,,,,,
Africa_Western,CO2,2020,0,,,5,2,,,,,,,,,,,
Australia_NZ,CO2,2020,1,,,6,2,,,,,,,,,,,
Brazil,CO2,2020,0,,,7,2,,,,,,,,,,,
Canada,CO2,2020,1,,,8,2,,,,,,,,,,,
Central America and Caribbean,CO2,2020,0,,,9,2,,,,,,,,,,,
Central Asia,CO2,2020,0,,,10,2,,,,,,,,,,,
China,CO2,2020,0,,,11,2,,,,,,,,,,,
EU-12,CO2,2020,1,,,12,2,,,,,,,,,,,
EU-15,CO2,2020,1,,,13,2,,,,,,,,,,,
Europe_Eastern,CO2,2020,0,,,14,2,,,,,,,,,,,
Europe_Non_EU,CO2,2020,0,,,15,2,,,,,,,,,,,
European Free Trade Association,CO2,2020,1,,,16,2,,,,,,,,,,,
India,CO2,2020,0,,,17,2,,,,,,,,,,,
Indonesia,CO2,2020,0,,,18,2,,,,,,,,,,,
Japan,CO2,2020,1,,,19,2,,,,,,,,,,,
Mexico,CO2,2020,0,,,20,2,,,,,,,,,,,
Middle East,CO2,2020,0,,,21,2,,,,,,,,,,,
Pakistan,CO2,2020,0,,,22,2,,,,,,,,,,,
Russia,CO2,2020,0,,,23,2,,,,,,,,,,,
South Africa,CO2,2020,0,,,24,2,,,,,,,,,,,
South America_Northern,CO2,2020,0,,,25,2,,,,,,,,,,,
South America_Southern,CO2,2020,0,,,26,2,,,,,,,,,,,
South Asia,CO2,2020,0,,,27,2,,,,,,,,,,,
South Korea,CO2,2020,1,,,28,2,,,,,,,,,,,
Southeast Asia,CO2,2020,0,,,29,2,,,,,,,,,,,
Taiwan,CO2,2020,0,,,30,2,,,,,,,,,,,
Argentina,CO2,2020,0,,,31,2,,,,,,,,,,,
Colombia,CO2,2020,0,,,32,2,,,,,,,,,,,
USA,CO2,2025,1,,,1,3,,,,,,,,,,,
Africa_Eastern,CO2,2025,0.166666667,,,2,3,,,,,,,,,,,
Africa_Northern,CO2,2025,0.166666667,,,3,3,,,,,,,,,,,
Africa_Southern,CO2,2025,0.166666667,,,4,3,,,,,,,,,,,
Africa_Western,CO2,2025,0.166666667,,,5,3,,,,,,,,,,,
Australia_NZ,CO2,2025,1,,,6,3,,,,,,,,,,,
Brazil,CO2,2025,0.333333333,,,7,3,,,,,,,,,,,
Canada,CO2,2025,1,,,8,3,,,,,,,,,,,
Central America and Caribbean,CO2,2025,0.166666667,,,9,3,,,,,,,,,,,
Central Asia,CO2,2025,0.166666667,,,10,3,,,,,,,,,,,
China,CO2,2025,0.333333333,,,11,3,,,,,,,,,,,
EU-12,CO2,2025,1,,,12,3,,,,,,,,,,,
EU-15,CO2,2025,1,,,13,3,,,,,,,,,,,
Europe_Eastern,CO2,2025,0.333333333,,,14,3,,,,,,,,,,,
Europe_Non_EU,CO2,2025,0.333333333,,,15,3,,,,,,,,,,,
European Free Trade Association,CO2,2025,1,,,16,3,,,,,,,,,,,
India,CO2,2025,0.333333333,,,17,3,,,,,,,,,,,
Indonesia,CO2,2025,0.333333333,,,18,3,,,,,,,,,,,
Japan,CO2,2025,1,,,19,3,,,,,,,,,,,
Mexico,CO2,2025,0.333333333,,,20,3,,,,,,,,,,,
Middle East,CO2,2025,0,,,21,3,,,,,,,,,,,
Pakistan,CO2,2025,0.166666667,,,22,3,,,,,,,,,,,
Russia,CO2,2025,0,,,23,3,,,,,,,,,,,
South Africa,CO2,2025,0.333333333,,,24,3,,,,,,,,,,,
South America_Northern,CO2,2025,0.166666667,,,25,3,,,,,,,,,,,
South America_Southern,CO2,2025,0.166666667,,,26,3,,,,,,,,,,,
South Asia,CO2,2025,0.166666667,,,27,3,,,,,,,,,,,
South Korea,CO2,2025,1,,,28,3,,,,,,,,,,,
Southeast Asia,CO2,2025,0.333333333,,,29,3,,,,,,,,,,,
Taiwan,CO2,2025,0.333333333,,,30,3,,,,,,,,,,,
Argentina,CO2,2025,0.333333333,,,31,3,,,,,,,,,,,
Colombia,CO2,2025,0.333333333,,,32,3,,,,,,,,,,,
USA,CO2,2030,1,,,1,4,,,,,,,,,,,
Africa_Eastern,CO2,2030,0.333333333,,,2,4,,,,,,,,,,,
Africa_Northern,CO2,2030,0.333333333,,,3,4,,,,,,,,,,,
Africa_Southern,CO2,2030,0.333333333,,,4,4,,,,,,,,,,,
Africa_Western,CO2,2030,0.333333333,,,5,4,,,,,,,,,,,
Australia_NZ,CO2,2030,1,,,6,4,,,,,,,,,,,
Brazil,CO2,2030,0.666666667,,,7,4,,,,,,,,,,,
Canada,CO2,2030,1,,,8,4,,,,,,,,,,,
Central America and Caribbean,CO2,2030,0.333333333,,,9,4,,,,,,,,,,,
Central Asia,CO2,2030,0.333333333,,,10,4,,,,,,,,,,,
China,CO2,2030,0.666666667,,,11,4,,,,,,,,,,,
EU-12,CO2,2030,1,,,12,4,,,,,,,,,,,
EU-15,CO2,2030,1,,,13,4,,,,,,,,,,,
Europe_Eastern,CO2,2030,0.666666667,,,14,4,,,,,,,,,,,
Europe_Non_EU,CO2,2030,0.666666667,,,15,4,,,,,,,,,,,
European Free Trade Association,CO2,2030,1,,,16,4,,,,,,,,,,,
India,CO2,2030,0.666666667,,,17,4,,,,,,,,,,,
Indonesia,CO2,2030,0.666666667,,,18,4,,,,,,,,,,,
Japan,CO2,2030,1,,,19,4,,,,,,,,,,,
Mexico,CO2,2030,0.666666667,,,20,4,,,,,,,,,,,
Middle East,CO2,2030,0,,,21,4,,,,,,,,,,,
Pakistan,CO2,2030,0.333333333,,,22,4,,,,,,,,,,,
Russia,CO2,2030,0,,,23,4,,,,,,,,,,,
South Africa,CO2,2030,0.666666667,,,24,4,,,,,,,,,,,
South America_Northern,CO2,2030,0.333333333,,,25,4,,,,,,,,,,,
South America_Southern,CO2,2030,0.333333333,,,26,4,,,,,,,,,,,
South Asia,CO2,2030,0.333333333,,,27,4,,,,,,,,,,,
South Korea,CO2,2030,1,,,28,4,,,,,,,,,,,
Southeast Asia,CO2,2030,0.666666667,,,29,4,,,,,,,,,,,
Taiwan,CO2,2030,0.666666667,,,30,4,,,,,,,,,,,
Argentina,CO2,2030,0.666666667,,,31,4,,,,,,,,,,,
Colombia,CO2,2030,0.666666667,,,32,4,,,,,,,,,,,
USA,CO2,2035,1,,,1,5,,,,,,,,,,,
Africa_Eastern,CO2,2035,0.5,,,2,5,,,,,,,,,,,
Africa_Northern,CO2,2035,0.5,,,3,5,,,,,,,,,,,
Africa_Southern,CO2,2035,0.5,,,4,5,,,,,,,,,,,
Africa_Western,CO2,2035,0.5,,,5,5,,,,,,,,,,,
Australia_NZ,CO2,2035,1,,,6,5,,,,,,,,,,,
Brazil,CO2,2035,1,,,7,5,,,,,,,,,,,
Canada,CO2,2035,1,,,8,5,,,,,,,,,,,
Central America and Caribbean,CO2,2035,0.5,,,9,5,,,,,,,,,,,
Central Asia,CO2,2035,0.5,,,10,5,,,,,,,,,,,
China,CO2,2035,1,,,11,5,,,,,,,,,,,
EU-12,CO2,2035,1,,,12,5,,,,,,,,,,,
EU-15,CO2,2035,1,,,13,5,,,,,,,,,,,
Europe_Eastern,CO2,2035,1,,,14,5,,,,,,,,,,,
Europe_Non_EU,CO2,2035,1,,,15,5,,,,,,,,,,,
European Free Trade Association,CO2,2035,1,,,16,5,,,,,,,,,,,
India,CO2,2035,1,,,17,5,,,,,,,,,,,
Indonesia,CO2,2035,1,,,18,5,,,,,,,,,,,
Japan,CO2,2035,1,,,19,5,,,,,,,,,,,
Mexico,CO2,2035,1,,,20,5,,,,,,,,,,,
Middle East,CO2,2035,0,,,21,5,,,,,,,,,,,
Pakistan,CO2,2035,0.5,,,22,5,,,,,,,,,,,
