# Hydrogen subsector logit exponents,,,,
supplysector,subsector,year.fillout,year,share.weight
H2 central production,coal,start-year,,0
H2 central production,gas,start-year,,0
H2 central production,biomass,start-year,,0
H2 central production,nuclear,start-year,,0
H2 central production,electricity,start-year,,0
H2 central production,wind,start-year,,0
H2 central production,solar,start-year,,0
H2 forecourt production,gas,start-year,,0
H2 forecourt production,electricity,start-year,,0
H2 distribution,H2 distribution,start-year,,0
H2 enduse,H2 distribution,start-year,,0
H2 enduse,H2 forecourt production,start-year,,0
H2 central production,coal,2020,,1
H2 central production,gas,2020,,1
H2 central production,biomass,2020,,1
H2 central production,nuclear,2020,,1
H2 central production,electricity,2020,,1
H2 central production,wind,2020,,1
H2 central production,solar,2020,,1
H2 forecourt production,gas,2020,,1
H2 forecourt production,electricity,2020,,1
H2 distribution,H2 distribution,2020,,1
H2 enduse,H2 distribution,2020,,1
H2 enduse,H2 forecourt production,2020,,1
