# Electricity technology capital costs,,,,,,,,,,,,,,,
supplysector,subsector,technology,input-capital,fixed.charge.rate,capacity.factor,1971,1990,2005,2020,2035,2050,2065,2080,2095,2100
electricity,coal,coal (conv pul),capital,0.15,0.8,496,496,496,496,467,440,414,390,367,367
electricity,coal,coal (IGCC),capital,0.15,0.8,575,575,575,575,517,437,433,410,402,402
electricity,coal,coal (IGCC CCS),capital,0.15,0.8,758,758,758,758,666,558,550,522,512,512
electricity,gas,gas (steam/CT),capital,0.15,0.8,158,158,158,163,154,145,136,128,121,121
electricity,gas,gas (CC),capital,0.15,0.8,233,233,233,233,203,177,173,166,163,163
electricity,gas,gas (CC CCS),capital,0.15,0.8,362,362,362,362,313,273,265,254,250,250
electricity,refined liquids,refined liquids (steam/CT),capital,0.15,0.8,158,158,158,163,154,145,136,128,121,121
electricity,refined liquids,refined liquids (IGCC),capital,0.15,0.8,517,517,517,517,451,393,384,368,362,362
electricity,refined liquids,refined liquids (IGCC CCS),capital,0.15,0.8,741,741,741,741,641,558,543,521,513,513
electricity,biomass,biomass (conv),capital,0.15,0.8,511,511,511,511,481,453,427,402,378,378
electricity,biomass,biomass (IGCC),capital,0.15,0.8,592,592,592,592,533,450,446,423,415,415
electricity,biomass,biomass (IGCC CCS),capital,0.15,0.8,763,763,763,763,673,565,558,529,520,520
electricity,nuclear,Gen_II_LWR,capital,0.15,0.9,620,620,620,620,620,620,620,620,620,620
electricity,nuclear,Gen_III,capital,0.15,0.9,815,815,815,685.0955454,575.8968176,484.1034901,406.9412817,342.0781096,287.5536062,271.3834319
electricity,wind,wind,capital,0.125,0.45,642.2,494,380,336.9990889,298.8641736,265.0446163,235.0520901,208.4535269,184.8648649,177.6108207
electricity,wind,wind_storage,capital,0.125,0.45,1548.04,1190.8,916,812.3451723,720.4199552,638.8970225,566.5992488,502.4827122,445.6216216,428.1355573
electricity,solar,PV,capital,0.125,0.25,5097.04,3920.8,3016,1480.736039,1112.090103,835.2227298,627.2846118,471.1150334,353.8256328,321.6202623
electricity,solar,PV_storage,capital,0.125,0.25,6002.88,4617.6,3552,1743.890719,1309.729458,983.6575385,738.7649009,554.8410473,416.7071113,378.7782399
electricity,solar,CSP,capital,0.125,0.31,1813.37,1394.9,1073,946.1247251,834.2516268,735.606795,648.6260734,571.9302567,504.3032217,483.587017
electricity,solar,CSP_storage,capital,0.125,0.73,3626.74,2789.8,2146,1892.24945,1668.503254,1471.21359,1297.252147,1143.860513,1008.606443,967.1740339
electricity,geothermal,geothermal,capital,0.125,0.9,521,521,521,459.3951368,405.0746482,357.1772043,314.9433218,277.7033213,244.8667088,234.8078619
elect_td_bld,rooftop_pv,rooftop_pv,capital,0.1,0.25,4403,4403,4403,1857.014412,1486.423804,1189.789218,952.3517985,762.2980057,610.1718404,566.5365759
