# Information about resources in each region,,,,,,,,
# Prices from GCAM 3.1 model input. 2010 estimated.,,,,,,,,
resource,resource_type,market,output-unit,price-unit,1975,1990,2005,2010
coal,depresource,global,EJ,1975$/GJ,0.4,0.435,0.438,0.5
crude oil,depresource,global,EJ,1975$/GJ,1.84,1.37,1.639,3.278
natural gas,depresource,global,EJ,1975$/GJ,0.65,0.812,0.98,1.5
unconventional oil,depresource,regional,EJ,1975$/GJ,1.81,1.81,1.81,1.81
uranium,depresource,global,Mt,1975$/kg,20,25,35,35
biomass,renewresource,global,EJ,1975$/GJ,1,1,1.25,1.25
distributed_solar,renewresource,regional,EJ,1975$/GJ,6,6,6,6
geothermal,renewresource,regional,EJ,1975$/GJ,0.1,0.1,0.1,0.1
onshore wind resource,renewresource,regional,EJ,1975$/GJ,0.05,0.05,0.05,0.05
traditional biomass,renewresource,regional,EJ,1975$/GJ,1.5,1.5,1.5,1.5
global solar resource,unlimited-resource,global,EJ,1975$/GJ,0.001,0.001,0.001,0.001
