# GCAM 3.0 rooftop PV supply curves,,,,,
region_GCAM3,resource,subresource,maxSubResource,mid-price,curve-exponent
USA,distributed_solar,distributed_solar,4.718453352,25.97259139,4.240486051
Canada,distributed_solar,distributed_solar,0.374144475,32.01390237,4.240486051
Western Europe,distributed_solar,distributed_solar,5.302743618,31.1254337,4.240486051
Japan,distributed_solar,distributed_solar,1.126882043,27.95222231,4.240486051
Australia_NZ,distributed_solar,distributed_solar,0.3841428,22.31829102,4.240486051
Former Soviet Union,distributed_solar,distributed_solar,2.889066662,32.45345249,4.240486051
China,distributed_solar,distributed_solar,16.06862022,26.38350524,4.240486051
Middle East,distributed_solar,distributed_solar,1.912899244,19.5947064,4.240486051
Africa,distributed_solar,distributed_solar,9.101716856,19.41834309,4.240486051
Latin America,distributed_solar,distributed_solar,5.862118428,21.29008002,4.240486051
Southeast Asia,distributed_solar,distributed_solar,7.952781714,21.33423317,4.240486051
Eastern Europe,distributed_solar,distributed_solar,1.616168252,32.12154294,4.240486051
Korea,distributed_solar,distributed_solar,0.570043404,26.10839396,4.240486051
India,distributed_solar,distributed_solar,10.49707023,21.6194692,4.240486051
