# Primary energy transformation subsector logit exponents,,
supplysector,subsector,logit.exponent
delivered biomass,delivered biomass,-6
delivered coal,delivered coal,-6
electricity_net_ownuse,electricity_net_ownuse,-6
elect_td_bld,elect_td_bld,-6
elect_td_ind,elect_td_ind,-6
elect_td_trn,elect_td_trn,-6
gas pipeline,gas pipeline,-6
wholesale gas,wholesale gas,-6
delivered gas,delivered gas,-6
refined liquids enduse,refined liquids enduse,-6
refined liquids industrial,refined liquids industrial,-6
