#Region-specific nuclear electric subsector shareweights by GCAM3 region,,,,,,,
region_GCAM3,iso,supplysector,subsector,2020,2035,2050,2100
USA,,electricity,nuclear,0.4,0.8,0.8,0.8
Canada,,electricity,nuclear,1,1.25,1.25,1
Western Europe,,electricity,nuclear,0.7,0.7,0.8,0.8
Japan,,electricity,nuclear,1.5,1.5,1.5,1.5
Australia_NZ,,electricity,nuclear,0,0.05,0.2,0.2
Former Soviet Union,,electricity,nuclear,0.4,0.8,0.9,1
China,,electricity,nuclear,0.05,0.35,0.7,1
Middle East,,electricity,nuclear,0.01,0.2,0.3,0.6
Africa,,electricity,nuclear,0.01,0.2,0.2,0.4
Latin America,,electricity,nuclear,0.1,0.2,0.2,0.4
Southeast Asia,,electricity,nuclear,0.05,0.2,0.2,0.4
Eastern Europe,,electricity,nuclear,0.3,0.7,0.85,1
Korea,,electricity,nuclear,2.25,2.25,1.8,1.5
India,,electricity,nuclear,0.025,0.12,0.3,0.5
,col,electricity,nuclear,0,0,0,0
,bra,electricity,nuclear,0.01,0.2,0.2,0.4
