# File: A51.steepness.csv
# Title: Steepness of emissions reduction by supply sector, subsector, technology, and gas
# Units: Percentage
# Source: Internal
# Column types: cccnnnnnn 
# ----------
supplysector,subsector,stub.technology,SO2,NOx,CO,BC,OC,NMVOC
gas processing,natural gas,natural gas,,,,,,
H2 central production,biomass,biomass to H2,3.5,3.5,3.5,3.5,3.5,3.5
H2 central production,biomass,biomass to H2 CCS,3.5,3.5,3.5,3.5,3.5,3.5
H2 central production,coal,coal chemical,3.5,3.5,3.5,3.5,3.5,3.5
H2 central production,coal,coal chemical CCS,3.5,3.5,3.5,3.5,3.5,3.5
H2 central production,gas,natural gas steam reforming,3.5,3.5,3.5,3.5,3.5,
H2 central production,gas,natural gas steam reforming CCS,3.5,3.5,3.5,3.5,3.5,
H2 wholesale dispensing,forecourt production,natural gas steam reforming,3.5,3.5,3.5,3.5,3.5,
other industrial energy use,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
other industrial energy use,biomass,biomass cogen,,,,,,
other industrial energy use,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
other industrial energy use,coal,coal cogen,,,,,,
other industrial energy use,district heat,district heat,,,,,,
other industrial energy use,electricity,electricity,,,,,,
other industrial energy use,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
other industrial energy use,gas,gas cogen,,,,,,
other industrial energy use,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
other industrial energy use,refined liquids,refined liquids cogen,,,,,,
other industrial feedstocks,coal,coal,,,,,,
other industrial feedstocks,gas,gas,,,,,,
other industrial feedstocks,refined liquids,refined liquids,,,,,,
N fertilizer,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
N fertilizer,gas,gas,3.5,3.5,3.5,3.5,3.5,
N fertilizer,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
process heat cement,biomass,biomass,,,,,,
process heat cement,coal,coal,,,,,,
process heat cement,gas,gas,,,,,,
process heat cement,refined liquids,refined liquids,,,,,,
refining,biomass liquids,biodiesel,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,cellulosic ethanol,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,cellulosic ethanol CCS level 1,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,cellulosic ethanol CCS level 2,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,corn ethanol,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,FT biofuels,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,FT biofuels CCS level 1,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,FT biofuels CCS level 2,3.5,3.5,3.5,3.5,3.5,3.5
refining,biomass liquids,sugar cane ethanol,3.5,3.5,3.5,3.5,3.5,3.5
refining,coal to liquids,coal to liquids,3.5,3.5,3.5,3.5,3.5,3.5
refining,coal to liquids,coal to liquids CCS level 1,3.5,3.5,3.5,3.5,3.5,3.5
refining,coal to liquids,coal to liquids CCS level 2,3.5,3.5,3.5,3.5,3.5,3.5
refining,gas to liquids,gas to liquids,3.5,3.5,3.5,3.5,3.5,3.5
refining,oil refining,oil refining,3.5,3.5,3.5,3.5,3.5,3.5
unconventional oil production,unconventional oil production,unconventional oil production,,,,,,3.5
regional oil,crude oil,crude oil,3.5,3.5,3.5,,,3.5
resid heating,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
resid heating,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
resid heating,electricity,electricity,,,,,,
resid heating,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
resid heating,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
resid heating,traditional biomass,traditional biomass,3.5,3.5,3.5,3.5,3.5,
resid heating,district heat,district heat,,,,,,
resid cooling,electricity,electricity,,,,,,
resid cooling,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
resid others,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
resid others,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
resid others,electricity,electricity,,,,,,
resid others,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
resid others,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
resid others,traditional biomass,traditional biomass,3.5,3.5,3.5,3.5,3.5,
resid others,district heat,district heat,,,,,,
comm heating,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
comm heating,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
comm heating,electricity,electricity,,,,,,
comm heating,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
comm heating,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
comm heating,traditional biomass,traditional biomass,3.5,3.5,3.5,3.5,3.5,
comm heating,district heat,district heat,,,,,,
comm cooling,electricity,electricity,,,,,,
comm cooling,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
comm others,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
comm others,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
comm others,electricity,electricity,,,,,,
comm others,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
comm others,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
comm others,traditional biomass,traditional biomass,3.5,3.5,3.5,3.5,3.5,
comm others,district heat,district heat,,,,,,
trn_pass,Domestic Aviation,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_aviation_intl,International Aviation,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road,Bus,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road,Bus,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_2W,Motorcycle (50-250cc),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV,Three-Wheeler,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV,Three-Wheeler,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Mini Car,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Mini Car,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Subcompact Car,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Subcompact Car,Hybrid Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Subcompact Car,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Compact Car,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Compact Car,Hybrid Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Compact Car,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Multipurpose Vehicle,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Multipurpose Vehicle,Hybrid Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Multipurpose Vehicle,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight,Freight Rail,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight,Freight Rail,Adv-Liquid,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass,Passenger Rail,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass,Passenger Rail,Tech-Adv-Liquid,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight,Domestic Ship,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_shipping_intl,International Ship,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-2t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-2t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (2-5t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (2-5t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (5-9t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (5-9t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (9-16t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (9-16t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_2W,Motorcycle (>250cc),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Midsize Car,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Midsize Car,Hybrid Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Midsize Car,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Large Car,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Large Car,Hybrid Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Large Car,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Light Truck and SUV,Hybrid Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Light Truck and SUV,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-1t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-1t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (1-6t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (1-6t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (6-30t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (6-30t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_2W,Moped,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Large Car and SUV,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Large Car and SUV,Hybrid Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Large Car and SUV,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (6-15t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (6-15t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (>15t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (>15t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Van,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Van,Hybrid Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_4W,Van,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-4.5t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-4.5t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (4.5-15t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (4.5-15t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_bus,Light Bus,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_bus,Light Bus,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_bus,Heavy Bus,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_bus,Heavy Bus,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight,Freight Rail,Coal,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,3W Rural,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,3W Rural,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-6t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-6t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (6-14t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (6-14t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (>14t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (>14t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-3.5t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-3.5t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (3.5-16t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (3.5-16t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (16-32t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (16-32t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (>32t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (>32t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_pass_road_LDV_2W,Scooter,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck,Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck,NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-2.7t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (0-2.7t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (2.7-4.5t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (2.7-4.5t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (4.5-12t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (4.5-12t),NG,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (>12t),Liquids,3.5,3.5,3.5,3.5,3.5,3.5
trn_freight_road,Truck (>12t),NG,3.5,3.5,3.5,3.5,3.5,3.5
out_resources,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
out_resources,crude oil,crude oil,3.5,3.5,3.5,3.5,3.5,3.5
out_resources,natural gas,natural gas,3.5,3.5,3.5,3.5,3.5,3.5
chemical energy use,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
chemical energy use,biomass,biomass cogen,,,,,,
chemical energy use,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
chemical energy use,coal,coal cogen,,,,,,
chemical energy use,district heat,district heat,,,,,,
chemical energy use,electricity,electricity,,,,,,
chemical energy use,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
chemical energy use,gas,gas cogen,,,,,,
chemical energy use,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
chemical energy use,refined liquids,refined liquids cogen,,,,,,
agricultural energy use,stationary,biomass,3.5,3.5,3.5,3.5,3.5,3.5
agricultural energy use,stationary,biomass cogen,,,,,,
agricultural energy use,stationary,coal,3.5,3.5,3.5,3.5,3.5,3.5
agricultural energy use,stationary,coal cogen,,,,,,
agricultural energy use,stationary,district heat,,,,,,
agricultural energy use,stationary,electricity,,,,,,
agricultural energy use,stationary,gas,3.5,3.5,3.5,3.5,3.5,3.5
agricultural energy use,stationary,gas cogen,,,,,,
agricultural energy use,mobile,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
agricultural energy use,stationary,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
agricultural energy use,stationary,refined liquids cogen,,,,,,
mining energy use,stationary,biomass,3.5,3.5,3.5,3.5,3.5,3.5
mining energy use,stationary,biomass cogen,,,,,,
mining energy use,stationary,coal,3.5,3.5,3.5,3.5,3.5,3.5
mining energy use,stationary,coal cogen,,,,,,
mining energy use,stationary,district heat,,,,,,
mining energy use,stationary,electricity,,,,,,
mining energy use,stationary,gas,3.5,3.5,3.5,3.5,3.5,3.5
mining energy use,stationary,gas cogen,,,,,,
mining energy use,mobile,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
mining energy use,stationary,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
mining energy use,stationary,refined liquids cogen,,,,,,
construction energy use,stationary,biomass,3.5,3.5,3.5,3.5,3.5,3.5
construction energy use,stationary,biomass cogen,,,,,,
construction energy use,stationary,coal,3.5,3.5,3.5,3.5,3.5,3.5
construction energy use,stationary,coal cogen,,,,,,
construction energy use,stationary,district heat,,,,,,
construction energy use,stationary,electricity,,,,,,
construction energy use,stationary,gas,3.5,3.5,3.5,3.5,3.5,3.5
construction energy use,stationary,gas cogen,,,,,,
construction energy use,mobile,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
construction energy use,stationary,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
construction energy use,stationary,refined liquids cogen,,,,,,
alumina,biomass,biomass,3.5,3.5,3.5,3.5,3.5,3.5
alumina,biomass,biomass cogen,,,,,,
alumina,coal,coal,3.5,3.5,3.5,3.5,3.5,3.5
alumina,coal,coal cogen,,,,,,
alumina,district heat,district heat,,,,,,
alumina,electricity,electricity,,,,,,
alumina,gas,gas,3.5,3.5,3.5,3.5,3.5,3.5
alumina,gas,gas cogen,,,,,,
alumina,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
alumina,refined liquids,refined liquids cogen,,,,,,
chemical feedstocks,coal,coal,,,,,,
chemical feedstocks,gas,gas,,,,,,
chemical feedstocks,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
construction feedstocks,refined liquids,refined liquids,3.5,3.5,3.5,3.5,3.5,3.5
iron and steel,biomass,Biomass-based,3.5,3.5,3.5,3.5,3.5,3.5
iron and steel,coal,BLASTFUR,3.5,3.5,3.5,3.5,3.5,3.5
iron and steel,coal,EAF with DRI,3.5,3.5,3.5,3.5,3.5,3.5
iron and steel,gas,BLASTFUR,3.5,3.5,3.5,3.5,3.5,3.5
iron and steel,gas,EAF with DRI,3.5,3.5,3.5,3.5,3.5,3.5
iron and steel,refined liquids,BLASTFUR,3.5,3.5,3.5,3.5,3.5,3.5
iron and steel,refined liquids,EAF with DRI,3.5,3.5,3.5,3.5,3.5,3.5
iron and steel,refined liquids,EAF with scrap,3.5,3.5,3.5,3.5,3.5,3.5
