# File: RCP_BC_2000.csv
# Title: RCP BC Emissions
# Units: ktC
# Source: Unknown processing, evidently from gridded data.
# Lamarque, et al. (2010) Historical (1850-2000) gridded anthropogenic and biomass burning emissions of reactive gases and aerosols: methodology and application Atmospheric Chemistry and Physics 10 pp. 7017–7039. doi:10.5194/acp-10-7017-2010
# Column types: ccinnnnnninn 
# ----------
Country,iso,agr,awb,dom,ene,ind,lcf,sav,slv,tra,wst
Russia,rus,0,6851073.264,89478082.67,4923588.222,32220060.52,144677879,34655771.2,0,30989562.9,949234.9858
Canada,can,0,1657889.638,3930110.753,251018.7491,17188113.86,31194296.86,4912428.23,0,19220335.47,269327.9241
United States,usa,0,5963390.817,55549342.28,3287245.612,84810313,13429827.83,9076343.29,0,215993514.2,2711684.47
China,chn,0,43666783.41,537529159.7,11760989.53,664146842.5,8790749.731,3302454.036,0,64042685.57,7229015.816
Brazil,bra,0,2959365.849,30382005.24,925805.0123,52678725.36,215370765.8,69470162.31,0,91406002.77,1769657.65
Australia,aus,0,3888033.05,7311633.251,155502.6237,10743726.19,20057400.24,120718215.2,0,12154286.38,131424.7985
India,ind,0,4210745.106,318582415.7,4111916.068,106438787.1,13706864.01,5408623.35,0,73014808.11,2319309.27
Argentina,arg,0,6536866.159,5961119.455,169924.2582,12154203.53,3801996.275,14081588.76,0,25507267.22,394730.4472
Kazakhstan,kaz,0,1581513.302,6063818.84,206918.8227,6830110.663,181339.1095,24689609.74,0,941282.8867,84774.01897
Sudan,sdn,0,463285.0771,12746701.34,1003.243143,1936509.359,0,134280206.1,0,2035955.738,175755.5857
Algeria,dza,0,53739.63526,16412641.67,0,2028134.548,12477.93261,103801.4462,0,6357348.513,278838.7707
Congo DRC,cod,0,1255245.708,39904109.65,0,3765843.835,70214110.9,176245006.5,0,107498.4027,1360053.31
Indonesia,idn,0,11845504.98,72588894.16,587991.872,27275458.95,241333290.2,6647923.673,0,35209476.7,722084.6632
Mexico,mex,0,4657877.231,6372740.815,2812860.385,13605561.08,29888527.33,7552559.804,0,36725454.26,971245.8756
Saudi Arabia,sau,0,1450849.11,12038.91356,461592.0251,5855075.793,0,11.97047532,0,16391399.31,128490.3275
Libya,lby,0,13290.01642,382778.8968,79381.58709,5267.024995,0,980.0985069,0,5634357.634,87909.14032
Iran,irn,0,44291.28332,1524791.602,1370425.402,14768726.49,0,73606.38934,0,21458970.06,344801.9376
Mongolia,mng,0,70858.8575,1529493.89,43327.54532,469705.7898,287833.7171,1995259.75,0,94430.22877,7022.699498
Peru,per,0,809163.6447,7477722.294,296144.7233,1611096.142,1642020.929,789333.9354,0,6952161.188,234938.5658
Chad,tcd,0,183803.7639,2128573.924,0,178355.3393,0,23659609.92,0,150828.8674,29470.25487
Angola,ago,0,46835.85602,5932250.09,0,376557.241,3977599.015,148840031.1,0,713018.9539,75801.83147
Mali,mli,0,305569.8912,5699296.629,0,293908.3154,0,11681534.24,0,257854.2879,53297.27285
South Africa,zaf,0,1253142.914,16211024.12,1362654.527,9425591.439,16844.45757,15351805.26,0,13553057.47,383364.1508
