# File: GCAM_EPA_CH4N2O_energy_map.csv
# Title: Map of GCAM energy sectors to aggregated EPA sectors for scaling
# Description: Detailed and aggregate EPA global emissions projections sectors mapped to their gas sources
# This mapping file is suitable for both energy.TRAN_UCD_MODE
# Units: Unitless
# Column types: cccc
supplysector,subsector,stub.technology,EPA_sector
district heat,biomass,biomass,Combustion_Bio
district heat,coal,coal,Combustion_general
district heat,gas,gas,Combustion_general
district heat,refined liquids,refined liquids,Combustion_general
electricity,biomass,biomass (conv),Combustion_Bio
electricity,coal,coal (conv pul),Combustion_general
electricity,gas,gas (CC),Combustion_general
electricity,gas,gas (steam/CT),Combustion_general
electricity,refined liquids,refined liquids (steam/CT),Combustion_general
industrial energy use,biomass,biomass,Combustion_Bio
industrial energy use,coal,coal,Combustion_general
industrial energy use,gas,gas,Combustion_general
industrial energy use,refined liquids,refined liquids,Combustion_general
N fertilizer,coal,coal,Combustion_general
N fertilizer,gas,gas,Combustion_general
N fertilizer,refined liquids,refined liquids,Combustion_general
out_resources,coal,coal,Fugitive_coal
out_resources,crude oil,crude oil,Fugitive_oil
out_resources,natural gas,natural gas,Fugitive_gas
process heat cement,biomass,biomass,Combustion_Bio
process heat cement,coal,coal,Combustion_general
process heat cement,gas,gas,Combustion_general
process heat cement,refined liquids,refined liquids,Combustion_general
resid cooling,gas,gas,Combustion_general
resid heating,biomass,biomass,Combustion_Bio
resid heating,coal,coal,Combustion_general
resid heating,gas,gas,Combustion_general
resid heating,refined liquids,refined liquids,Combustion_general
resid others,biomass,biomass,Combustion_Bio
resid others,coal,coal,Combustion_general
resid others,gas,gas,Combustion_general
resid others,refined liquids,refined liquids,Combustion_general
trn_aviation_intl,International Aviation,Liquids,Combustion_general
trn_freight,Domestic Ship,Liquids,Combustion_general
trn_freight,Freight Rail,Coal,Combustion_general
trn_freight,Freight Rail,Liquids,Combustion_general
trn_freight_road,Truck (>12t),Liquids,Combustion_general
trn_freight_road,Truck (>12t),NG,Combustion_general
trn_freight_road,Truck (0-2.7t),Liquids,Combustion_general
trn_freight_road,Truck (0-2.7t),NG,Combustion_general
trn_freight_road,Truck (2.7-4.5t),Liquids,Combustion_general
trn_freight_road,Truck (2.7-4.5t),NG,Combustion_general
trn_freight_road,Truck (4.5-12t),Liquids,Combustion_general
trn_freight_road,Truck (4.5-12t),NG,Combustion_general
trn_pass,Domestic Aviation,Liquids,Combustion_general
trn_pass,Passenger Rail,Liquids,Combustion_general
trn_pass_road,Bus,Liquids,Combustion_general
trn_pass_road,Bus,NG,Combustion_general
trn_pass_road_LDV_2W,Motorcycle (>250cc),Liquids,Combustion_general
trn_pass_road_LDV_4W,Compact Car,Liquids,Combustion_general
trn_pass_road_LDV_4W,Compact Car,NG,Combustion_general
trn_pass_road_LDV_4W,Large Car,Liquids,Combustion_general
trn_pass_road_LDV_4W,Large Car,NG,Combustion_general
trn_pass_road_LDV_4W,Light Truck and SUV,Liquids,Combustion_general
trn_pass_road_LDV_4W,Light Truck and SUV,NG,Combustion_general
trn_pass_road_LDV_4W,Midsize Car,Liquids,Combustion_general
