# File: A51.max_reduction.csv
# Title: NA
# Units: NA
# Source: NA
# Description: NA
# Column types: ccciniiii
# ----------
supplysector,subsector,stub.technology,SO2,NOx,CO,BC,OC,NMVOC
cement,cement,cement,,,,,,
district heat,biomass,biomass,,,,,,
district heat,coal,coal,,,,,,
district heat,electricity,electricity,,,,,,
district heat,gas,gas,,,,,,
district heat,refined liquids,refined liquids,,,,,,
elect_td_bld,elect_td_bld,elect_td_bld,,,,,,
elect_td_ind,elect_td_ind,elect_td_ind,,,,,,
elect_td_trn,elect_td_trn,elect_td_trn,,,,,,
electricity,biomass,biomass (conv),50,82,80,50,50,60
electricity,biomass,biomass (IGCC CCS),0,10,0,0,0,0
electricity,biomass,biomass (IGCC),0,10,0,0,0,0
electricity,coal,coal (conv pul),98,95,80,50,50,60
electricity,coal,coal (IGCC CCS),0,40,0,0,0,0
electricity,coal,coal (IGCC),0,40,0,0,0,0
electricity,gas,gas (CC CCS),10,55,80,50,50,60
electricity,gas,gas (CC),10,55,80,50,50,60
electricity,gas,gas (steam/CT),50,82,80,50,50,60
electricity,geothermal,geothermal,,,,,,
electricity,hydro,hydro,,,,,,
electricity,nuclear,Gen_II_LWR,,,,,,
electricity,refined liquids,refined liquids (IGCC CCS),50,82,80,50,50,60
electricity,refined liquids,refined liquids (IGCC),100,10,100,100,100,100
electricity,refined liquids,refined liquids (steam/CT),100,10,100,100,100,100
electricity,solar,CSP,,,,,,
electricity,solar,PV,,,,,,
electricity,wind,wind,,,,,,
electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,,,,,,
gas pipeline,gas pipeline,gas pipeline,,,,,,
gas processing,biomass gasification,biomass gasification,,,,,,
gas processing,coal gasification,coal gasification,,,,,,
gas processing,natural gas,natural gas,,,,,,
H2 central production,biomass,biomass to H2,10,82,80,50,50,60
H2 central production,biomass,biomass to H2 CCS,10,82,80,50,50,60
H2 central production,coal,coal chemical,10,82,80,50,50,60
H2 central production,coal,coal chemical CCS,10,82,80,50,50,60
H2 central production,gas,natural gas steam reforming,,23.5,15,100,100,
