# File: EPA_FCCC_GHG_2005.csv
# Title: EPA USA GHG emissions inventory, 2005
# Units: Gg
# Source: USA National Inventory Submission - Common Reporting Format - Tables1.A(a)s1-4 - https://unfccc.int/files/national_reports/annex_i_ghg_inventories/national_inventories_submissions/application/x-zip-compressed/usa_2007_crf_11apr.zip
# Column types: ccnnn 
# ----------
GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Source_Category, CO2,CH4,N2O
1.A. Fuel Combustion,,5914480.32,454.79,168.35
Liquid Fuels,1.A. Fuel Combustion_Liquid Fuels,2607686.99,156.68,126.21
Solid Fuels,1.A. Fuel Combustion_Solid Fuels,2107979.22,37.94,31.13
Gaseous Fuels,1.A. Fuel Combustion_Gaseous Fuels,1177533.95,78.84,2.04
Biomass,1.A. Fuel Combustion_Biomass,,179.68,7.2
Other Fuels,1.A. Fuel Combustion_Other Fuels,21280.17,1.65,1.77
1.A.1. Energy Industries,,2381206.85,35,31.05
Liquid Fuels,1.A.1. Energy Industries_Liquid Fuels,102307.17,3.71,0.74
Solid Fuels,1.A.1. Energy Industries_Solid Fuels,1958415.09,20.79,29.1
Gaseous Fuels,1.A.1. Energy Industries_Gaseous Fuels,320116.39,5.73,0.57
Biomass,1.A.1. Energy Industries_Biomass,17284.41,4.77,0.64
Other Fuels,1.A.1. Energy Industries_Other Fuels,368.2,,
 a.  Public Electricity and Heat Production,,2381206.85,35,31.05
Liquid Fuels, a.  Public Electricity and Heat Production_Liquid Fuels,102307.17,3.71,0.74
Solid Fuels, a.  Public Electricity and Heat Production_Solid Fuels,1958415.09,20.79,29.1
Gaseous Fuels, a.  Public Electricity and Heat Production_Gaseous Fuels,320116.39,5.73,0.57
Biomass, a.  Public Electricity and Heat Production_Biomass,17284.41,4.77,0.64
Other Fuels, a.  Public Electricity and Heat Production_Other Fuels,368.2,,
b.  Petroleum Refining,,,,
Liquid Fuels,b.  Petroleum Refining_Liquid Fuels,,,
Solid Fuels,b.  Petroleum Refining_Solid Fuels,,,
Gaseous Fuels,b.  Petroleum Refining_Gaseous Fuels,,,
Biomass,b.  Petroleum Refining_Biomass,,,
Other Fuels,b.  Petroleum Refining_Other Fuels,,,
c.  Manufacture of Solid Fuels and Other Energy Industries,,,,
Liquid Fuels,c.  Manufacture of Solid Fuels and Other Energy Industries_Liquid Fuels,,,
Solid Fuels,c.  Manufacture of Solid Fuels and Other Energy Industries_Solid Fuels,,,
Gaseous Fuels,c.  Manufacture of Solid Fuels and Other Energy Industries_Gaseous Fuels,,,
Biomass,c.  Manufacture of Solid Fuels and Other Energy Industries_Biomass,,,
Other Fuels,c.  Manufacture of Solid Fuels and Other Energy Industries_Other Fuels,,,
1.A.2 Manufacturing Industries and Construction,,840110.83,103.78,13.83
Liquid Fuels,1.A.2 Manufacturing Industries and Construction_Liquid Fuels,330877.43,20.72,6.59
Solid Fuels,1.A.2 Manufacturing Industries and Construction_Solid Fuels,122205.53,13.15,1.84
Gaseous Fuels,1.A.2 Manufacturing Industries and Construction_Gaseous Fuels,387027.87,34.63,0.69
Biomass,1.A.2 Manufacturing Industries and Construction_Biomass,116237.52,35.28,4.7
Other Fuels,1.A.2 Manufacturing Industries and Construction_Other Fuels,,,
a.  Iron and Steel,,,,
Liquid Fuels,a.  Iron and Steel_Liquid Fuels,,,
Solid Fuels,a.  Iron and Steel_Solid Fuels,,,
Gaseous Fuels,a.  Iron and Steel_Gaseous Fuels,,,
Biomass,a.  Iron and Steel_Biomass,,,
Other Fuels,a.  Iron and Steel_Other Fuels,,,
b.  Non-Ferrous Metals,,,,
Liquid Fuels,b.  Non-Ferrous Metals_Liquid Fuels,,,
Solid Fuels,b.  Non-Ferrous Metals_Solid Fuels,,,
Gaseous Fuels,b.  Non-Ferrous Metals_Gaseous Fuels,,,
Biomass,b.  Non-Ferrous Metals_Biomass,,,
Other Fuels,b.  Non-Ferrous Metals_Other Fuels,,,
c.  Chemicals,,,,
Liquid Fuels,c.  Chemicals_Liquid Fuels,,,
Solid Fuels,c.  Chemicals_Solid Fuels,,,
Gaseous Fuels,c.  Chemicals_Gaseous Fuels,,,
