# Building default subsector shareweight interpolation,,,,,,
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
resid heating,biomass,share-weight,final-calibration-year,end-year,,fixed
resid heating,coal,share-weight,final-calibration-year,2020,0,linear
resid heating,coal,share-weight,2020,end-year,,fixed
resid heating,gas,share-weight,final-calibration-year,end-year,,fixed
resid heating,electricity,share-weight,final-calibration-year,end-year,,fixed
resid heating,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid cooling,electricity,share-weight,final-calibration-year,end-year,,fixed
resid hot water,gas,share-weight,final-calibration-year,end-year,,fixed
resid hot water,electricity,share-weight,final-calibration-year,end-year,,fixed
resid hot water,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid lighting,electricity,share-weight,final-calibration-year,end-year,,fixed
resid appliances,gas,share-weight,final-calibration-year,end-year,,fixed
resid appliances,electricity,share-weight,final-calibration-year,end-year,,fixed
resid appliances,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid other appliances,electricity,share-weight,final-calibration-year,end-year,,fixed
resid other,gas,share-weight,final-calibration-year,end-year,,fixed
resid other,electricity,share-weight,final-calibration-year,end-year,,fixed
resid other,refined liquids,share-weight,final-calibration-year,end-year,,fixed
comm heating,biomass,share-weight,final-calibration-year,end-year,,fixed
comm heating,coal,share-weight,final-calibration-year,2020,0,linear
comm heating,coal,share-weight,2020,end-year,,fixed
comm heating,gas,share-weight,final-calibration-year,end-year,,fixed
comm heating,electricity,share-weight,final-calibration-year,end-year,,fixed
comm heating,refined liquids,share-weight,final-calibration-year,end-year,,fixed
comm cooling,gas,share-weight,final-calibration-year,end-year,,fixed
comm cooling,electricity,share-weight,final-calibration-year,end-year,,fixed
comm hot water,gas,share-weight,final-calibration-year,end-year,,fixed
comm hot water,electricity,share-weight,final-calibration-year,end-year,,fixed
comm hot water,refined liquids,share-weight,final-calibration-year,end-year,,fixed
comm ventilation,electricity,share-weight,final-calibration-year,end-year,,fixed
comm cooking,gas,share-weight,final-calibration-year,end-year,,fixed
comm cooking,electricity,share-weight,final-calibration-year,end-year,,fixed
comm lighting,electricity,share-weight,final-calibration-year,end-year,,fixed
comm refrigeration,electricity,share-weight,final-calibration-year,end-year,,fixed
comm office,electricity,share-weight,final-calibration-year,end-year,,fixed
comm other,gas,share-weight,final-calibration-year,end-year,,fixed
comm other,electricity,share-weight,final-calibration-year,end-year,,fixed
comm other,refined liquids,share-weight,final-calibration-year,end-year,,fixed
comm non-building,electricity,share-weight,final-calibration-year,end-year,,fixed
