# File: FAO_ag_Exp_t_SUA.csv
# Title: FAO agricultural exports by country, item, year
# Units: tons
countries,country codes,item,item codes,element,element codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,3,Apples,2617,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,31,0,0,0,0,0,92,80,127,18,129,486,25,89,185,34,109
Albania,3,Bananas,2615,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060,112,1200,572
Albania,3,Barley,2513,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,45,0,0,0,0,0,0,0
Albania,3,Beans,2546,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,300,40,100,120,400,600,5486,1900,1000,235,175,243,477,568,400,593,505,565,457,419,227,235,44
Albania,3,Beer,2656,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,6,0,24,31,66,287,131,509,577,417,219
Albania,3,"Beverages, Alcoholic",2658,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,700,600,550,1000,0,0,0,0,0,31,4,37,5,26,6,29,62,31,77,108,70,87,159
Albania,3,Brans,2600,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,260,0,0,211,1950,23,230,0,0
Albania,3,"Cereals, Other",2520,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
Albania,3,"Citrus, Other",2614,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,970,309,0,0,0,220,0,5,32
Albania,3,Cocoa Beans,2633,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,13,22,18,3,21,10
Albania,3,Coconuts - Incl Copra,2560,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,20,0,0,0,0,125,0,0,0,0
Albania,3,Coffee,2630,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,17,41,52,109,337,227,444,721,517,485,433,262
Albania,3,Cotton Lint,2661,Export Quantity (tonnes),91,1100,1700,1100,1100,1100,1100,700,700,82,0,0,0,0,0,0,0,0,0,200,6771,0,0,650,500,3635,1476,504,183,30,0,20,90,30,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0
Albania,3,Cottonseed Cake,2594,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
Albania,3,Dates,2619,Export Quantity (tonnes),91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,22,18
