# File:bc.oc_iso_reg.csv,,,
# Description: Maps iso codes to BC/OC inventory regions (including composites as necessary),,,
iso,country_name,Smith_Region,RCP_Region
abw,Aruba,LAmerica,Central America
afg,Afghanistan,SandEAsia,South Asia (Rest of)
ago,Angola,Africa,Southern Africa (Rest of)
aia,Anguilla,LAmerica,Central America
alb,Albania,EEurope,Central Europe (Rest of)
and,Andorra,WEurope,Western Europe (Rest of)
ant,Netherlands Antilles,LAmerica,Central America
are,United Arab Emirates,MiddleEast,Middle East
arg,Argentina,Argentina,Argentina
arm,Armenia,FUSSR,Russia+
asm,American Samoa,SandEAsia,South Asia (Rest of)
atg,Antigua & Barbuda,LAmerica,Central America
aus,Australia,AustraliaAndNZ,Australia
aut,Austria,WEurope,Western Europe (Rest of)
aze,Azerbaijan,FUSSR,Russia+
bdi,Burundi,Africa,Eastern Africa
bel,Belgium,WEurope,Western Europe (Rest of)
ben,Benin,Africa,Western Africa
bfa,Burkina Faso,Africa,Western Africa
bgd,Bangladesh,SandEAsia,South Asia (Rest of)
bgr,Bulgaria,EEurope,Central Europe (Rest of)
bhr,Bahrain,MiddleEast,Middle East
bhs,Bahamas,LAmerica,Central America
bih,Bosnia and Herzegovina,EEurope,Central Europe (Rest of)
blr,Belarus,FUSSR,Ukraine+
blz,Belize,LAmerica,Central America
bmu,Bermuda,WEurope,Central America
bol,Bolivia,LAmerica,South America (Rest of)
bra,Brazil,Brazil,Brazil
brb,Barbados,LAmerica,Central America
brn,Brunei Darussalam,SandEAsia,Southeastern Asia (Rest of)
btn,Bhutan,SandEAsia,South Asia (Rest of)
bwa,Botswana,Africa,Southern Africa (Rest of)
caf,Central African Republic,Africa,Western Africa
can,Canada,Canada,Canada
cck,Cocos (Keeling) Islands,SandEAsia,Southeastern Asia (Rest of)
che,Switzerland,WEurope,Western Europe (Rest of)
chi,Channel Islands,WEurope,Western Europe (Rest of)
chl,Chile,LAmerica,South America (Rest of)
chn,China,China,China+ (Rest of)
civ,Cote dIvoire,Africa,Western Africa
cmr,Cameroon,Africa,Western Africa
cod,"Congo, the Democratic Republic of the",Africa,Western Africa
cog,Congo,Africa,Western Africa
cok,Cook Islands,AustraliaAndNZ,Southeastern Asia (Rest of)
col,Colombia,LAmerica,South America (Rest of)
com,Comoros,Africa,Eastern Africa
cpv,Cape Verde,Africa,Western Africa
cri,Costa Rica,LAmerica,Central America
cub,Cuba,LAmerica,Central America
cym,Cayman Islands,LAmerica,Central America
cyp,Cyprus,WEurope,Central Europe (Rest of)
cxr,Christmas Island,SandEAsia,Southeastern Asia (Rest of)
cze,Czech Republic,EEurope,Central Europe (Rest of)
deu,Germany,WEurope,Germany
dji,Djibouti,Africa,Eastern Africa
dma,Dominica,LAmerica,Central America
dnk,Denmark,WEurope,Western Europe (Rest of)
dom,Dominican Republic,LAmerica,Central America
dza,Algeria,Africa,Northern Africa
ecu,Ecuador,LAmerica,South America (Rest of)
egy,Egypt,Africa,Northern Africa
eri,Eritrea,Africa,Eastern Africa
esh,Western Sahara,Africa,Northern Africa
esp,Spain,WEurope,Western Europe (Rest of)
est,Estonia,FUSSR,"Baltic States (Estonia, Latvia,"
eth,Ethiopia,Africa,Eastern Africa
fin,Finland,WEurope,Western Europe (Rest of)
fji,Fiji,SandEAsia,Southeastern Asia (Rest of)
flk,Falkland Islands (Malvinas),LAmerica,Western Europe (Rest of)
fra,France,WEurope,France
fro,Faroe Islands,WEurope,Western Europe (Rest of)
fsm,"Micronesia, Federated States of",SandEAsia,Southeastern Asia (Rest of)
gab,Gabon,Africa,Western Africa
gbr,United Kingdom,WEurope,United Kingdom
geo,Georgia,FUSSR,Russia+
gha,Ghana,Africa,Western Africa
gib,Gibraltar,WEurope,Western Europe (Rest of)
gin,Guinea,Africa,Western Africa
glp,Guadeloupe,LAmerica,Central America
gmb,Gambia,Africa,Western Africa
gnb,Guinea-Bissau,Africa,Western Africa
gnq,Equatorial Guinea,Africa,Western Africa
grc,Greece,WEurope,Western Europe (Rest of)
grd,Grenada,LAmerica,Central America
grl,Greenland,WEurope,Western Europe (Rest of)
gtm,Guatemala,LAmerica,Central America
guf,French Guiana,LAmerica,South America (Rest of)
gum,Guam,SandEAsia,Southeastern Asia (Rest of)
guy,Guyana,LAmerica,South America (Rest of)
hkg,Hong Kong,SandEAsia,China+ (Rest of)
hnd,Honduras,LAmerica,Central America
hrv,Croatia,EEurope,Central Europe (Rest of)
hti,Haiti,LAmerica,Central America
hun,Hungary,EEurope,Central Europe (Rest of)
idn,Indonesia,SandEAsia,Indonesia+
imn,Isle of Man,WEurope,Western Europe (Rest of)
ind,India,India,India
irl,Ireland,WEurope,Western Europe (Rest of)
irn,"Iran, Islamic Republic of",MiddleEast,Middle East
irq,Iraq,MiddleEast,Middle East
isl,Iceland,WEurope,Western Europe (Rest of)
isr,Israel,MiddleEast,Middle East
ita,Italy,WEurope,Italy
jam,Jamaica,LAmerica,Central America
jor,Jordan,MiddleEast,Middle East
jpn,Japan,Japan,Japan
kaz,Kazakhstan,FUSSR,"Asia-""Stan"""
ken,Kenya,Africa,Eastern Africa
kgz,Kyrgyzstan,FUSSR,"Asia-""Stan"""
khm,Cambodia,China,Southeastern Asia (Rest of)
kir,Kiribati,SandEAsia,Southeastern Asia (Rest of)
kna,Saint Kitts and Nevis,LAmerica,Central America
kor,"Korea, Republic of",SKorea,South Korea (Republic of Korea)
kwt,Kuwait,MiddleEast,Middle East
lao,Lao Peoples Democratic Republic,SandEAsia,South Asia (Rest of)
lbn,Lebanon,MiddleEast,Middle East
lbr,Liberia,Africa,Western Africa
lby,Libyan Arab Jamahiriya,Africa,Northern Africa
lca,Saint Lucia,LAmerica,Central America
lie,Liechtenstein,WEurope,Western Europe (Rest of)
lka,Sri Lanka,SandEAsia,South Asia (Rest of)
lso,Lesotho,Africa,Southern Africa (Rest of)
ltu,Lithuania,FUSSR,"Baltic States (Estonia, Latvia,"
lux,Luxembourg,WEurope,Western Europe (Rest of)
lva,Latvia,FUSSR,"Baltic States (Estonia, Latvia,"
mac,Macau,SandEAsia,China+ (Rest of)
mar,Morocco,Africa,Northern Africa
mco,Monaco,WEurope,Western Europe (Rest of)
mda,"Moldova, Republic of",FUSSR,Ukraine+
mdg,Madagascar,Africa,Eastern Africa
mdv,Maldives,SandEAsia,South Asia (Rest of)
mex,Mexico,Mexico,Mexico
mhl,Marshall Islands,SandEAsia,Southeastern Asia (Rest of)
mkd,"Macedonia, the former Yugoslav Republic of",EEurope,Central Europe (Rest of)
mli,Mali,Africa,Western Africa
mlt,Malta,WEurope,Central Europe (Rest of)
mmr,Myanmar,SandEAsia,Southeastern Asia (Rest of)
mne,Montenegro,EEurope,Central Europe (Rest of)
mng,Mongolia,China,China+ (Rest of)
mnp,Northern Mariana Islands,SandEAsia,Southeastern Asia (Rest of)
moz,Mozambique,Africa,Southern Africa (Rest of)
mrt,Mauritania,Africa,Western Africa
msr,Montserrat,LAmerica,Central America
mtq,Martinique,WEurope,Central America
mus,Mauritius,Africa,Eastern Africa
mwi,Malawi,Africa,Southern Africa (Rest of)
mys,Malaysia,SandEAsia,Southeastern Asia (Rest of)
myt,Mayotte,Africa,Southeastern Asia (Rest of)
nam,Namibia,Africa,Southern Africa (Rest of)
ncl,New Caledonia,SandEAsia,Southeastern Asia (Rest of)
ner,Niger,Africa,Western Africa
nfk,Norfolk Island,AustraliaAndNZ,Southeastern Asia (Rest of)
nga,Nigeria,Africa,Western Africa
nic,Nicaragua,LAmerica,Central America
niu,Niue,AustraliaAndNZ,Southeastern Asia (Rest of)
nld,Netherlands,WEurope,Western Europe (Rest of)
nor,Norway,WEurope,Western Europe (Rest of)
