# File:iso_to_GCAM_region.csv,,,
# Description: Maps iso codes to GCAM regions (including composites as necessary),,,
# ----------,,Former GCAM regions,
iso,country_name,region_GCAM3,GCAM_region_ID
abw,Aruba,Latin America,10
afg,Afghanistan,Southeast Asia,11
ago,Angola,Africa,9
aia,Anguilla,Latin America,10
alb,Albania,Eastern Europe,12
and,Andorra,Western Europe,3
ant,Netherlands Antilles,Latin America,10
are,United Arab Emirates,Middle East,8
arg,Argentina,Latin America,10
arm,Armenia,Former Soviet Union,6
asm,American Samoa,Southeast Asia,11
atg,Antigua & Barbuda,Latin America,10
aus,Australia,Australia_NZ,5
aut,Austria,Western Europe,3
aze,Azerbaijan,Former Soviet Union,6
bdi,Burundi,Africa,9
bel,Belgium,Western Europe,3
ben,Benin,Africa,9
bfa,Burkina Faso,Africa,9
bgd,Bangladesh,Southeast Asia,11
bgr,Bulgaria,Eastern Europe,12
bhr,Bahrain,Middle East,8
bhs,Bahamas,Latin America,10
bih,Bosnia and Herzegovina,Eastern Europe,12
blr,Belarus,Former Soviet Union,6
blz,Belize,Latin America,10
bmu,Bermuda,Western Europe,3
bol,Bolivia,Latin America,10
bra,Brazil,Latin America,10
brb,Barbados,Latin America,10
brn,Brunei Darussalam,Southeast Asia,11
btn,Bhutan,Southeast Asia,11
bwa,Botswana,Africa,9
caf,Central African Republic,Africa,9
can,Canada,Canada,2
cck,Cocos (Keeling) Islands,Southeast Asia,11
che,Switzerland,Western Europe,3
chi,Channel Islands,Western Europe,3
chl,Chile,Latin America,10
chn,China,China,7
civ,Cote dIvoire,Africa,9
cmr,Cameroon,Africa,9
cod,"Congo, the Democratic Republic of the",Africa,9
cog,Congo,Africa,9
cok,Cook Islands,Australia_NZ,5
col,Colombia,Latin America,10
com,Comoros,Africa,9
cpv,Cape Verde,Africa,9
cri,Costa Rica,Latin America,10
cub,Cuba,Latin America,10
cym,Cayman Islands,Latin America,10
cyp,Cyprus,Western Europe,3
cxr,Christmas Island,Southeast Asia,11
cze,Czech Republic,Eastern Europe,12
deu,Germany,Western Europe,3
dji,Djibouti,Africa,9
dma,Dominica,Latin America,10
dnk,Denmark,Western Europe,3
dom,Dominican Republic,Latin America,10
dza,Algeria,Africa,9
ecu,Ecuador,Latin America,10
egy,Egypt,Africa,9
eri,Eritrea,Africa,9
esh,Western Sahara,Africa,9
esp,Spain,Western Europe,3
est,Estonia,Former Soviet Union,6
eth,Ethiopia,Africa,9
fin,Finland,Western Europe,3
fji,Fiji,Southeast Asia,11
flk,Falkland Islands (Malvinas),Latin America,10
fra,France,Western Europe,3
fro,Faroe Islands,Western Europe,3
fsm,"Micronesia, Federated States of",Southeast Asia,11
gab,Gabon,Africa,9
gbr,United Kingdom,Western Europe,3
geo,Georgia,Former Soviet Union,6
gha,Ghana,Africa,9
gib,Gibraltar,Western Europe,3
gin,Guinea,Africa,9
glp,Guadeloupe,Latin America,10
gmb,Gambia,Africa,9
gnb,Guinea-Bissau,Africa,9
gnq,Equatorial Guinea,Africa,9
grc,Greece,Western Europe,3
grd,Grenada,Latin America,10
grl,Greenland,Western Europe,3
gtm,Guatemala,Latin America,10
guf,French Guiana,Latin America,10
gum,Guam,Southeast Asia,11
guy,Guyana,Latin America,10
hkg,Hong Kong,Southeast Asia,11
hnd,Honduras,Latin America,10
hrv,Croatia,Eastern Europe,12
hti,Haiti,Latin America,10
hun,Hungary,Eastern Europe,12
idn,Indonesia,Southeast Asia,11
imn,Isle of Man,Western Europe,3
ind,India,India,14
irl,Ireland,Western Europe,3
irn,"Iran, Islamic Republic of",Middle East,8
irq,Iraq,Middle East,8
isl,Iceland,Western Europe,3
isr,Israel,Middle East,8
ita,Italy,Western Europe,3
jam,Jamaica,Latin America,10
jor,Jordan,Middle East,8
jpn,Japan,Japan,4
kaz,Kazakhstan,Former Soviet Union,6
ken,Kenya,Africa,9
kgz,Kyrgyzstan,Former Soviet Union,6
khm,Cambodia,China,7
kir,Kiribati,Southeast Asia,11
kna,Saint Kitts and Nevis,Latin America,10
kor,"Korea, Republic of",Korea,13
kwt,Kuwait,Middle East,8
lao,Lao Peoples Democratic Republic,Southeast Asia,11
lbn,Lebanon,Middle East,8
lbr,Liberia,Africa,9
lby,Libyan Arab Jamahiriya,Africa,9
lca,Saint Lucia,Latin America,10
lie,Liechtenstein,Western Europe,3
lka,Sri Lanka,Southeast Asia,11
lso,Lesotho,Africa,9
ltu,Lithuania,Former Soviet Union,6
lux,Luxembourg,Western Europe,3
lva,Latvia,Former Soviet Union,6
mac,Macau,Southeast Asia,11
mar,Morocco,Africa,9
mco,Monaco,Western Europe,3
mda,"Moldova, Republic of",Former Soviet Union,6
mdg,Madagascar,Africa,9
mdv,Maldives,Southeast Asia,11
mex,Mexico,Latin America,10
mhl,Marshall Islands,Southeast Asia,11
mkd,"Macedonia, the former Yugoslav Republic of",Eastern Europe,12
mli,Mali,Africa,9
mlt,Malta,Western Europe,3
mmr,Myanmar,Southeast Asia,11
mne,Montenegro,Eastern Europe,12
mng,Mongolia,China,7
mnp,Northern Mariana Islands,Southeast Asia,11
moz,Mozambique,Africa,9
mrt,Mauritania,Africa,9
msr,Montserrat,Latin America,10
mtq,Martinique,Western Europe,3
mus,Mauritius,Africa,9
mwi,Malawi,Africa,9
mys,Malaysia,Southeast Asia,11
myt,Mayotte,Africa,9
nam,Namibia,Africa,9
ncl,New Caledonia,Southeast Asia,11
ner,Niger,Africa,9
nfk,Norfolk Island,Australia_NZ,5
nga,Nigeria,Africa,9
nic,Nicaragua,Latin America,10
niu,Niue,Australia_NZ,5
nld,Netherlands,Western Europe,3
nor,Norway,Western Europe,3
npl,Nepal,Southeast Asia,11
nru,Nauru,Southeast Asia,11
nzl,New Zealand,Australia_NZ,5
omn,Oman,Middle East,8
pak,Pakistan,Southeast Asia,11
pan,Panama,Latin America,10
pci,Pacific Islands Trust Territory,Southeast Asia,11
pcn,Pitcairn Islands,Southeast Asia,11
per,Peru,Latin America,10
phl,Philippines,Southeast Asia,11
plw,Palau,Southeast Asia,11
png,Papua New Guinea,Southeast Asia,11
pol,Poland,Eastern Europe,12
pri,Puerto Rico,USA,1
prk,"Korea, Democratic Peoples Republic of",China,7
prt,Portugal,Western Europe,3
pry,Paraguay,Latin America,10
pse,"Palestinian Territory, Occupied",Middle East,8
pyf,French Polynesia,Southeast Asia,11
qat,Qatar,Middle East,8
reu,Reunion,Africa,9
rom,Romania,Eastern Europe,12
rus,Russian Federation,Former Soviet Union,6
rwa,Rwanda,Africa,9
sau,Saudi Arabia,Middle East,8
scg,Serbia and Montenegro,Eastern Europe,12
sdn,Sudan,Africa,9
sen,Senegal,Africa,9
sgp,Singapore,Southeast Asia,11
shn,Saint Helena,Africa,9
sjm,Svalbard and Jan Mayen Islands,Western Europe,3
slb,Solomon Islands,Southeast Asia,11
sle,Sierra Leone,Africa,9
slv,El Salvador,Latin America,10
smr,San Marino,Western Europe,3
som,Somalia,Africa,9
spm,Saint Pierre and Miquelon,Canada,2
srb,Serbia,Eastern Europe,12
stp,Sao Tome and Principe,Africa,9
sur,Suriname,Latin America,10
svk,Slovakia,Eastern Europe,12
svn,Slovenia,Eastern Europe,12
swe,Sweden,Western Europe,3
swz,Swaziland,Africa,9
syc,Seychelles,Africa,9
syr,Syrian Arab Republic,Middle East,8
tca,Turks and Caicos,Latin America,10
tcd,Chad,Africa,9
tgo,Togo,Africa,9
tha,Thailand,Southeast Asia,11
tjk,Tajikistan,Former Soviet Union,6
tkl,Tokelau,Australia_NZ,5
tkm,Turkmenistan,Former Soviet Union,6
tls,Timor Leste,Southeast Asia,11
ton,Tonga,Southeast Asia,11
tto,Trinidad and Tobago,Latin America,10
tun,Tunisia,Africa,9
tur,Turkey,Western Europe,3
tuv,Tuvalu,Southeast Asia,11
twn,Taiwan,Southeast Asia,11
tza,"Tanzania, United Republic of",Africa,9
uga,Uganda,Africa,9
ukr,Ukraine,Former Soviet Union,6
ury,Uruguay,Latin America,10
usa,United States of America,USA,1
uzb,Uzbekistan,Former Soviet Union,6
vat,Vatican,Western Europe,3
vct,Saint Vincent and the Grenadines,Latin America,10
ven,Venezuela,Latin America,10
vgb,"Virgin Islands, British",Latin America,10
vir,"Virgin Islands, U.S.",Latin America,10
vnm,Viet Nam,China,7
vut,Vanuatu,Southeast Asia,11
wlf,Wallis and Futuna,Australia_NZ,5
wsm,Samoa,Southeast Asia,11
yem,Yemen,Middle East,8
