ctry,country_name,GCAM_region_ID,GCAM_region_name
abw,Aruba,10,Latin America
afg,Afghanistan,11,Southeast Asia
ago,Angola,9,Africa
aia,Anguilla,10,Latin America
alb,Albania,12,Eastern Europe
and,Andorra,3,Western Europe
ant,Netherlands Antilles,10,Latin America
are,United Arab Emirates,8,Middle East
arg,Argentina,10,Latin America
arm,Armenia,6,Former Soviet Union
asm,American Samoa,11,Southeast Asia
atg,Antigua & Barbuda,10,Latin America
aus,Australia,5,Australia_NZ
aut,Austria,3,Western Europe
aze,Azerbaijan,6,Former Soviet Union
bdi,Burundi,9,Africa
bel,Belgium,3,Western Europe
ben,Benin,9,Africa
bfa,Burkina Faso,9,Africa
bgd,Bangladesh,11,Southeast Asia
bgr,Bulgaria,12,Eastern Europe
bhr,Bahrain,8,Middle East
bhs,Bahamas,10,Latin America
bih,Bosnia and Herzegovina,12,Eastern Europe
blr,Belarus,6,Former Soviet Union
blz,Belize,10,Latin America
bmu,Bermuda,3,Western Europe
bol,Bolivia,10,Latin America
bra,Brazil,10,Latin America
brb,Barbados,10,Latin America
brn,Brunei Darussalam,11,Southeast Asia
btn,Bhutan,11,Southeast Asia
bwa,Botswana,9,Africa
caf,Central African Republic,9,Africa
can,Canada,2,Canada
che,Switzerland,3,Western Europe
chl,Chile,10,Latin America
chn,China,7,China
civ,Cote dIvoire,9,Africa
cmr,Cameroon,9,Africa
cod,"Congo, the Democratic Republic of the",9,Africa
cog,Congo,9,Africa
cok,Cook Islands,5,Australia_NZ
col,Colombia,10,Latin America
com,Comoros,9,Africa
cpv,Cape Verde,9,Africa
cri,Costa Rica,10,Latin America
cub,Cuba,10,Latin America
cym,Cayman Islands,10,Latin America
cyp,Cyprus,3,Western Europe
cze,Czech Republic,12,Eastern Europe
deu,Germany,3,Western Europe
dji,Djibouti,9,Africa
dma,Dominica,10,Latin America
dnk,Denmark,3,Western Europe
dom,Dominican Republic,10,Latin America
dza,Algeria,9,Africa
ecu,Ecuador,10,Latin America
egy,Egypt,9,Africa
eri,Eritrea,9,Africa
esp,Spain,3,Western Europe
est,Estonia,6,Former Soviet Union
eth,Ethiopia,9,Africa
fin,Finland,3,Western Europe
fji,Fiji,11,Southeast Asia
flk,Falkland Islands (Malvinas),10,Latin America
fra,France,3,Western Europe
fro,Faroe Islands,3,Western Europe
fsm,"Micronesia, Federated States of",11,Southeast Asia
gab,Gabon,9,Africa
gbr,United Kingdom,3,Western Europe
geo,Georgia,6,Former Soviet Union
gha,Ghana,9,Africa
gib,Gibraltar,3,Western Europe
gin,Guinea,9,Africa
glp,Guadeloupe,10,Latin America
gmb,Gambia,9,Africa
gnb,Guinea-Bissau,9,Africa
gnq,Equatorial Guinea,9,Africa
grc,Greece,3,Western Europe
grd,Grenada,10,Latin America
grl,Greenland,3,Western Europe
gtm,Guatemala,10,Latin America
guf,French Guiana,10,Latin America
gum,Guam,11,Southeast Asia
guy,Guyana,10,Latin America
hkg,Hong Kong,11,Southeast Asia
hnd,Honduras,10,Latin America
hrv,Croatia,12,Eastern Europe
hti,Haiti,10,Latin America
hun,Hungary,12,Eastern Europe
idn,Indonesia,11,Southeast Asia
ind,India,14,India
irl,Ireland,3,Western Europe
irn,"Iran, Islamic Republic of",8,Middle East
irq,Iraq,8,Middle East
isl,Iceland,3,Western Europe
isr,Israel,8,Middle East
ita,Italy,3,Western Europe
jam,Jamaica,10,Latin America
jor,Jordan,8,Middle East
jpn,Japan,4,Japan
kaz,Kazakhstan,6,Former Soviet Union
ken,Kenya,9,Africa
kgz,Kyrgyzstan,6,Former Soviet Union
khm,Cambodia,7,China
kir,Kiribati,11,Southeast Asia
kna,Saint Kitts and Nevis,10,Latin America
kor,"Korea, Republic of",13,Korea
kwt,Kuwait,8,Middle East
lao,Lao People’s Democratic Republic,11,Southeast Asia
lbn,Lebanon,8,Middle East
lbr,Liberia,9,Africa
lby,Libyan Arab Jamahiriya,9,Africa
lca,Saint Lucia,10,Latin America
lie,Liechtenstein,3,Western Europe
lka,Sri Lanka,11,Southeast Asia
lso,Lesotho,9,Africa
