# aggregate buildings sector income elasticity as a function of per-capita gdp,
pcgdp_90thousUSD,inc_elas
0,1.25
2.5,1
5,0.85
10,0.7
15,0.6
20,0.5
25,0.4
30,0.33
35,0.27
40,0.2
45,0.15
50,0.1
55,0.05
60,0
