# File: EPA_CO.csv
# Title: EPA carbon monoxide emissions
# Units: thousand short tons (?)
# Source: EPA National Emissions Trends
# Description: These EPA data files come from the old GCAM3 system (they were in nonco2/Input Data/EPA National Inventories). The documentation there is limited. For example, the CO file says: "National Emissions Trends -- updated 7/18/2005. Carbon Monoxide Emissions (thousand short tons)."
Source_Category_Raw,Source_Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
TOTAL ALL SOURCES,TOTAL ALL SOURCES,204043.00,202373.00,197552.00,194598.00,193317.00,188398.00,189804.00,187474.00,186287.00,186027.00,185407.00,182159.00,177731.00,179180.00,176630.00,176844.00,173670.00,172966.00,174418.00,160520.00,154186.00,147128.00,140896.00,135901.00,133559.00,126777.00,128858.00,117910.00,115380.00,114541.00,114467.00,106295.00,112049.00
FUEL COMBUSTION TOTAL (Tier 0 - 01),FUEL COMBUSTION TOTAL (Tier 0 - 01),4632.00,4781.00,4630.00,4397.00,4475.00,4480.00,4958.00,5423.00,6014.00,6752.00,7302.00,7362.00,7822.00,7717.00,7808.00,8485.00,7548.00,6961.00,7374.00,7443.00,5510.00,5856.00,6155.00,5586.00,5519.00,5934.00,4336.00,4327.00,4329.00,5538.00,4784.00,4825.00,4432.00
FUEL COMB. ELEC. UTIL. (Tier 1 - 01),FUEL COMB. ELEC. UTIL. (Tier 1 - 01),237.00,252.00,277.00,292.00,288.00,276.00,291.00,317.00,315.00,320.00,322.00,322.00,300.00,301.00,316.00,291.00,291.00,301.00,314.00,321.00,363.00,349.00,350.00,363.00,370.00,372.00,408.00,423.00,451.00,496.00,484.00,485.00,499.00
Coal,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Coal,106.00,108.00,116.00,128.00,129.00,134.00,148.00,158.00,159.00,174.00,188.00,197.00,196.00,207.00,220.00,207.00,208.00,218.00,230.00,233.00,234.00,234.00,236.00,246.00,247.00,250.00,251.00,257.00,242.00,266.00,255.00,257.00,256.00
Oil,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Oil,41.00,51.00,69.00,80.00,79.00,69.00,72.00,86.00,82.00,65.00,48.00,40.00,29.00,27.00,25.00,18.00,24.00,20.00,25.00,26.00,20.00,19.00,15.00,16.00,15.00,10.00,12.00,14.00,19.00,47.00,28.00,29.00,14.00
Gas,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Gas,90.00,93.00,92.00,84.00,80.00,73.00,71.00,74.00,74.00,81.00,85.00,84.00,75.00,68.00,72.00,56.00,48.00,53.00,48.00,51.00,51.00,51.00,51.00,49.00,53.00,55.00,79.00,84.00,97.00,95.00,109.00,105.00,88.00
Other,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Other, , , , , , , , , , , , , , , , , , , , ,0.00, , , , , ,9.00,9.00,33.00,34.00,36.00,37.00,27.00
Internal Combustion,FUEL COMB. ELEC. UTIL. (Tier 1 - 01)_Inter0l Combustion, , , , , , , , , , , , , , , ,10.00,11.00,10.00,11.00,11.00,57.00,45.00,47.00,51.00,55.00,58.00,56.00,59.00,60.00,55.00,56.00,57.00,113.00
FUEL COMB. INDUSTRIAL (Tier 1 - 02),FUEL COMB. INDUSTRIAL (Tier 1 - 02),770.00,821.00,845.00,857.00,827.00,763.00,831.00,842.00,858.00,835.00,750.00,736.00,725.00,696.00,732.00,670.00,650.00,649.00,669.00,672.00,879.00,920.00,955.00,1043.00,1041.00,1056.00,1188.00,1162.00,1151.00,1213.00,1219.00,1253.00,1436.00
Coal,FUEL COMB. INDUSTRIAL (Tier 1 - 02)_Coal,100.00,83.00,80.00,74.00,69.00,67.00,63.00,60.00,61.00,66.00,58.00,66.00,65.00,67.00,74.00,86.00,87.00,85.00,87.00,87.00,105.00,101.00,102.00,101.00,100.00,98.00,110.00,109.00,106.00,117.00,113.00,120.00,125.00
