# File: EIA_860_generators_retired_2018.csv
# Title: EIA 2018 Form EIA-860 Data - Schedule 3; 'Generator Data' (Retired & Canceled Units Only)
# Unit: MW
# Comments: Selected columns from original form
# Source: https://www.eia.gov/electricity/data/eia860/
# Column types: cicccccinni
# ----------
State,Plant.Code,Generator.ID,Status,Technology,Prime.Mover,Energy.Source.1,Operating.Year,Nameplate.Capacity..MW.,Summer.Capacity..MW.,Retirement.Year
AL,3,3,RE,Conventional Steam Coal,ST,BIT,1959,272,249,2015
AL,8,6,RE,Conventional Steam Coal,ST,BIT,1951,125,103,2015
AL,8,7,RE,Conventional Steam Coal,ST,BIT,1952,125,104,2015
AL,47,1,RE,Conventional Steam Coal,ST,BIT,1955,200,178,2016
AL,47,2,RE,Conventional Steam Coal,ST,BIT,1955,200,178,2016
AL,47,3,RE,Conventional Steam Coal,ST,BIT,1955,200,178,2016
AL,47,4,RE,Conventional Steam Coal,ST,BIT,1955,200,178,2016
AL,47,5,RE,Conventional Steam Coal,ST,BIT,1965,550,472,2016
AL,50,1,RE,Conventional Steam Coal,ST,BIT,1952,140.6,111,2014
AL,50,2,RE,Conventional Steam Coal,ST,BIT,1952,140.6,111,2014
AL,50,3,RE,Conventional Steam Coal,ST,BIT,1952,140.6,111,2013
AL,50,4,RE,Conventional Steam Coal,ST,BIT,1953,140.6,111,2014
AL,50,5,RE,Conventional Steam Coal,ST,BIT,1954,140.6,111,2013
AL,50,6,RE,Conventional Steam Coal,ST,BIT,1954,140.6,111,2014
AL,50,7,RE,Conventional Steam Coal,ST,BIT,1961,575,473,2015
AL,50,8,RE,Conventional Steam Coal,ST,BIT,1965,550,465,2015
KY,54,GT11,IP,Natural Gas Fired Combustion Turbine,GT,NG, ,98,74, 
KY,54,GT12,IP,Natural Gas Fired Combustion Turbine,GT,NG, ,98,74, 
KY,54,GT8,IP,Natural Gas Fired Combustion Turbine,GT,NG, ,83,74, 
KY,54,ST1,CN,Conventional Steam Coal,ST,BIT, ,329.4,278, 
AK,69,9,RE,Petroleum Liquids,IC,DFO,1989,1.1,1.1,2004
AK,75,1,RE,Natural Gas Fired Combustion Turbine,GT,NG,1962,12.5,14,2016
AK,75,2,RE,Natural Gas Fired Combustion Turbine,GT,NG,1962,12.5,14,2016
AK,75,3,RE,Natural Gas Fired Combustion Turbine,GT,NG,1968,16.3,17.7,2004
AK,75,D1,RE,Petroleum Liquids,IC,DFO,1956,1.1,1.2,2010
AK,75,D2,RE,Petroleum Liquids,IC,DFO,1947,1.1,1.4,2010
AK,79,3,RE,Conventional Steam Coal,ST,SUB,1952,1.5,1.5,2009
AK,79,7,IP,Conventional Steam Coal,ST,SUB, ,2.3,2.3, 
AK,90,11,RE,Petroleum Liquids,IC,DFO,1988,1.5,1.5,2011
AK,90,5,RE,Petroleum Liquids,IC,DFO,1974,1.2,1.2,2001
AK,90,6,RE,Petroleum Liquids,IC,DFO,1972,1,1,2008
