# File: trnUCD_EIA_mapping.csv
# Title: Mapping EIA sector and fuel codes to UCD mode and fuel
# Units: NA
mode,fuel,EIA_sector,EIA_fuel
Air Domestic,refined liquids,AC,JF
Air International,refined liquids,AC,JF
Bus,gas,VH,NG
Bus,refined liquids,AC,DF
HSR,electricity,AC,ES
LDV_2W,electricity,AC,ES
LDV_2W,refined liquids,AC,MG
LDV_4W,electricity,AC,ES
LDV_4W,gas,AC,MG
LDV_4W,hydrogen,AC,MG
LDV_4W,refined liquids,AC,MG
Rail,coal,AC,DF
Rail,electricity,AC,ES
Rail,refined liquids,AC,DF
Ship Domestic,refined liquids,AC,RF
Ship International,refined liquids,AC,RF
Truck,refined liquids,AC,DF
Truck,gas,AC,DF
