# File: NREL_Res_PV_supply_curve.csv
# Title: PV supply curve for residential buildings
# Units: Relative_Cost - Unitless
# Source: Denholm, P. & Margolis, R. Supply Curves for Rooftop Solar PV-Generated Electricity for the United States. National Renewable Energy Laboratory, Technical Report NREL / TP-6A0-44073 (2008) - www.nrel.gov
State,TMY_Site,Pitch,MW,MWh,Relative_Cost
California,CA Daggett,Pitch S,354.3598128,790641.3208,1
Arizona,AZ Tucson,Pitch S,396.3010806,867634.3898,1.01911582
New Mexico,AZ Tucson,Pitch S,1.827581832,4001.182247,1.01911582
Arizona,AZ Phoenix,Pitch S,1186.060842,2584777.919,1.023808609
New Mexico,TX El Paso,Pitch S,139.3262385,303315.5171,1.024880731
Texas,TX El Paso,Pitch S,266.3437208,579834.6691,1.024880731
Arizona,NV Las Vegas,Pitch S,50.90310148,110597.7094,1.026911828
Nevada,NV Las Vegas,Pitch S,568.8961716,1236046.757,1.026911828
California,CA Daggett,Pitch SE,354.3598128,767881.9566,1.029639144
California,CA Daggett,10 S,338.3489071,727143.3317,1.038197064
Arizona,NM Albuquerque,Pitch S,2.786666139,5968.602064,1.041711264
New Mexico,NM Albuquerque,Pitch S,489.7304997,1048925.966,1.041711264
California,CA Daggett,Pitch SW,354.3598128,758827.5189,1.041924945
Arizona,AZ Tucson,Pitch SE,396.3010806,847016.6934,1.043922675
New Mexico,AZ Tucson,Pitch SE,1.827581832,3906.10169,1.043922675
New Mexico,TX El Paso,Pitch SE,139.3262385,296254.8381,1.049306843
Texas,TX El Paso,Pitch SE,266.3437208,566337.0859,1.049306843
Arizona,AZ Phoenix,Pitch SE,1186.060842,2512873.892,1.053104135
Arizona,AZ Tucson,10 S,348.7243975,737282.3222,1.05531851
New Mexico,AZ Tucson,10 S,1.811901312,3830.769561,1.05531851
Arizona,NV Las Vegas,Pitch SE,50.90310148,107532.9932,1.056179063
Nevada,NV Las Vegas,Pitch SE,568.8961716,1201795.301,1.056179063
Arizona,AZ Phoenix,10 S,1043.672028,2204115.511,1.056488411
New Mexico,TX El Paso,10 S,138.1308294,290999.9158,1.059089837
Texas,TX El Paso,10 S,253.4579085,533959.2206,1.059089837
Arizona,AZ Phoenix,Pitch SW,1186.060842,2498290.953,1.059251279
Arizona,AZ Tucson,Pitch SW,396.3010806,834008.5394,1.060204891
New Mexico,AZ Tucson,Pitch SW,1.827581832,3846.113295,1.060204891
New Mexico,TX El Paso,Pitch SW,139.3262385,292307.9343,1.063475166
Texas,TX El Paso,Pitch SW,266.3437208,558791.9668,1.063475166
Arizona,NM Albuquerque,Pitch SE,2.786666139,5836.054448,1.065370457
New Mexico,NM Albuquerque,Pitch SE,489.7304997,1025631.962,1.065370457
Arizona,NV Las Vegas,10 S,44.7920893,93566.31484,1.068112112
Nevada,NV Las Vegas,10 S,563.6433152,1177396.025,1.068112112
Arizona,NV Las Vegas,Pitch SW,50.90310148,105894.2944,1.07252328
Nevada,NV Las Vegas,Pitch SW,568.8961716,1183481.103,1.07252328
Arizona,NM Albuquerque,10 S,2.452121677,5042.400418,1.085024965
New Mexico,NM Albuquerque,10 S,485.5286474,998412.8754,1.085024965
Colorado,CO Alamosa,Pitch S,36.69979699,75278.90072,1.087740847
New Mexico,CO Alamosa,Pitch S,22.47618497,46103.32034,1.087740847
Arizona,AZ Prescott,Pitch S,65.15225434,133410.3041,1.089620129
Arizona,NM Albuquerque,Pitch SW,2.786666139,5699.649178,1.09086714
New Mexico,NM Albuquerque,Pitch SW,489.7304997,1001660.013,1.09086714
Nevada,NV Tonopah,Pitch S,3.339819928,6717.142052,1.109362709
Colorado,CO Alamosa,Pitch SE,36.69979699,73625.8276,1.112163189
New Mexico,CO Alamosa,Pitch SE,22.47618497,45090.92299,1.112163189
Arizona,AZ Prescott,Pitch SE,65.15225434,130271.7314,1.11587181
New Mexico,TX Midland/Odessa,Pitch S,37.334886,74613.55865,1.116431599
Texas,TX Midland/Odessa,Pitch S,150.7029387,301178.9711,1.116431599
California,CA Daggett,Flat,338.3489071,675499.0784,1.11757084
New Mexico,NM Tucumcari,Pitch S,63.48927138,126493.2912,1.119870732
Arizona,AZ Phoenix,Flat,1043.672028,2061988.389,1.129309217
New Mexico,TX El Paso,Flat,138.1308294,272561.2058,1.130737049
Texas,TX El Paso,Flat,253.4579085,500125.8114,1.130737049
Arizona,AZ Tucson,Flat,348.7243975,687780.266,1.131273636
New Mexico,AZ Tucson,Flat,1.811901312,3573.566907,1.131273636
Arizona,AZ Prescott,10 S,57.33060481,112859.0657,1.133404981
Nevada,NV Tonopah,Pitch SE,3.339819928,6543.934557,1.138725768
Arizona,AZ Prescott,Pitch SW,65.15225434,127627.906,1.138987212
Arizona,AZ Flagstaff,Pitch S,107.5467352,210059.2651,1.142326978
Colorado,CO Alamosa,10 S,35.44535437,69171.87314,1.143312181
New Mexico,CO Alamosa,10 S,22.28334093,43486.10584,1.143312181
California,CA Santa Maria,Pitch S,211.6149328,412492.828,1.144629549
Arizona,UT Cedar City,Pitch S,3.39973269,6614.958456,1.146707609
Nevada,UT Cedar City,Pitch S,0.988975804,1924.278893,1.146707609
Utah,UT Cedar City,Pitch S,54.61031983,106256.8825,1.146707609
New Mexico,TX Midland/Odessa,10 S,37.01455538,71843.65431,1.149526974
Texas,TX Midland/Odessa,10 S,143.4118721,278356.2537,1.149526974
New Mexico,NM Tucumcari,Pitch SE,63.48927138,123204.7482,1.149761976
New Mexico,TX Midland/Odessa,Pitch SE,37.334886,72423.40993,1.150193489
Texas,TX Midland/Odessa,Pitch SE,150.7029387,292338.3964,1.150193489
Colorado,CO Alamosa,Pitch SW,36.69979699,71150.38068,1.150857303
New Mexico,CO Alamosa,Pitch SW,22.47618497,43574.87637,1.150857303
Arizona,NV Las Vegas,Flat,44.7920893,86813.40733,1.15119677
Nevada,NV Las Vegas,Flat,563.6433152,1092420.503,1.15119677
Colorado,CO Pueblo,Pitch S,85.58500335,165746.0174,1.152098509
New Mexico,CO Pueblo,Pitch S,3.171392003,6141.795565,1.152098509
California,NV Reno,Pitch S,43.73737942,84702.40044,1.15210506
Nevada,NV Reno,Pitch S,202.269871,391718.5674,1.15210506
New Mexico,TX Midland/Odessa,Pitch SW,37.334886,72298.2677,1.152184377
Texas,TX Midland/Odessa,Pitch SW,150.7029387,291833.2576,1.152184377
California,CA Bakersfield,Pitch S,241.0995841,465952.7265,1.154488598
California,CA Fresno,Pitch S,503.9590584,972307.2156,1.156449816
Nevada,NV Ely,Pitch S,4.377433886,8445.026293,1.156521295
Nevada,NV Tonopah,10 S,3.308981973,6368.341943,1.159319313
New Mexico,TX Lubbock,Pitch S,0.921469831,1770.734976,1.161081217
Texas,TX Lubbock,Pitch S,150.1400141,288515.332,1.161081217
Oklahoma,TX Amarillo,Pitch S,9.692011955,18594.18335,1.16297901
Texas,TX Amarillo,Pitch S,147.4862271,282953.2155,1.16297901
New Mexico,NM Tucumcari,10 S,62.94453802,120616.3289,1.164359225
Nevada,NV Tonopah,Pitch SW,3.339819928,6397.4122,1.164806436
Arizona,AZ Flagstaff,Pitch SE,107.5467352,205361.4525,1.16845865
Arizona,NM Albuquerque,Flat,2.452121677,4682.217237,1.168491349
New Mexico,NM Albuquerque,Flat,485.5286474,927095.3489,1.168491349
New Mexico,NM Tucumcari,Pitch SW,63.48927138,121161.5256,1.169151131
Colorado,CO Grand Junction,Pitch S,105.0744799,200446.2764,1.169591761
New Mexico,CO Grand Junction,Pitch S,9.621680823,18354.88594,1.169591761
Utah,CO Grand Junction,Pitch S,8.888864032,16956.9214,1.169591761
Texas,TX Abilene,Pitch S,119.4204183,227038.442,1.173584147
Arizona,UT Cedar City,Pitch SE,3.39973269,6451.295485,1.175798445
Nevada,UT Cedar City,Pitch SE,0.988975804,1876.669644,1.175798445
Utah,UT Cedar City,Pitch SE,54.61031983,103627.9443,1.175798445
Arizona,CA San Diego,Pitch S,44.32656939,83909.05307,1.178664885
California,CA San Diego,Pitch S,1055.245878,1997553.242,1.178664885
California,CA Santa Maria,Pitch SW,211.6149328,400543.117,1.178778163
California,CA Santa Maria,10 S,202.0536151,381997.7452,1.180159944
Colorado,CO Pueblo,Pitch SE,85.58500335,161611.6059,1.181571944
New Mexico,CO Pueblo,Pitch SE,3.171392003,5988.593032,1.181571944
California,CA Bakersfield,10 S,230.2060725,434172.2735,1.183013591
Nevada,NV Ely,Pitch SE,4.377433886,8253.953309,1.183293917
California,NV Reno,Pitch SE,43.73737942,82462.56729,1.183398327
Nevada,NV Reno,Pitch SE,202.269871,381360.1333,1.183398327
California,CA Bakersfield,Pitch SW,241.0995841,453894.4102,1.185159142
California,CA Fresno,10 S,481.1888664,905693.178,1.185412542
California,CA Bakersfield,Pitch SE,241.0995841,453404.3526,1.18644011
