# File: UCS_Database.csv
# Title: UCS EW3 Energy Water Database
# Units: Specified in column headers
# Source: http://www.ucsusa.org/clean-energy/energy-water-use/ucs-power-plant-database#.WdeR91tSyCg
# Comments: Includes general plant characteristics, locational information, electricity production, water use data.
Plant Code,Plant Name,State,Plant-Generator Code,Parent Company,Technology Code,Requires cooling?,Cooling Technology,Fuel,Latitude,Longitude,Water Basin (8-digit HUC),Water Resource Region,First Year of Operation,Nameplate Capacity (MW),Estimated Generation (MWh),Estimated Capacity Factor,Reported Water Source (Name),Reported Water Source (Type),Reported  Withdrawal (million gallons/yr),Reported  Consumption (million gallons/yr),Calculated Withdrawal (million gallons/yr),Calculated Withdrawal MIN (million gallons/yr),Calculated Withdrawal MAX (million gallons/yr),Calculated Consumption (million gallons/yr),Calculated Consumption MIN (million gallons/yr),Calculated Consumption MAX (million gallons/yr)
2,Bankhead Dam,AL,2-1,Southern Company,HY-NA-HY,No,None,Hydropower,33.2189,-87.5797,3160112,South Atlantic Gulf,1963,45,88157,22%,Black Warrior River,Surface Water,0,0,0,0,0,0,0,0
3,Barry,AL,3-1,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,31.0042,-88.0139,3160204,South Atlantic Gulf,1954,153.1,873997,65%,Mobile River,Surface Water,"44,658",0,"31,770","17,480","43,700",218,87,277
3,Barry,AL,3-A1CT,Southern Company,NG-RC-CC,Yes,Recirculating,Natural Gas,31.0042,-88.0139,3160204,South Atlantic Gulf,2000,170.1,952732,64%,Mobile River,Surface Water,0,0,241,143,270,189,124,286
3,Barry,AL,3-A1ST,Southern Company,NG-RC-CC,Yes,Recirculating,Natural Gas,31.0042,-88.0139,3160204,South Atlantic Gulf,2000,195.2,830095,49%,Mobile River,Surface Water,0,0,210,125,235,164,108,249
3,Barry,AL,3-A2C1,Southern Company,NG-RC-CC,Yes,Recirculating,Natural Gas,31.0042,-88.0139,3160204,South Atlantic Gulf,2000,170.1,952732,64%,Mobile River,Surface Water,0,0,241,143,270,189,124,286
3,Barry,AL,3-A2C2,Southern Company,NG-RC-CC,Yes,Recirculating,Natural Gas,31.0042,-88.0139,3160204,South Atlantic Gulf,2000,170.1,952732,64%,Mobile River,Surface Water,0,0,241,143,270,189,124,286
3,Barry,AL,3-A2ST,Southern Company,NG-RC-CC,Yes,Recirculating,Natural Gas,31.0042,-88.0139,3160204,South Atlantic Gulf,2000,195.2,778938,46%,Mobile River,Surface Water,0,802,197,117,220,154,101,234
3,Barry,AL,3-2,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,31.0042,-88.0139,3160204,South Atlantic Gulf,1954,153.1,813505,61%,Mobile River,Surface Water,"41,567",0,"29,571","16,270","40,675",203,81,258
3,Barry,AL,3-3,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,31.0042,-88.0139,3160204,South Atlantic Gulf,1959,272,1458889,61%,Mobile River,Surface Water,"74,544",0,"53,031","29,178","72,944",365,146,462
3,Barry,AL,3-4,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,31.0042,-88.0139,3160204,South Atlantic Gulf,1969,403.7,2445624,69%,Mobile River,Surface Water,"74,202",0,"88,898","48,912","122,281",611,245,775
