# File: USGS_industry_water_demand_km3.csv
# Title: Industry water demand by USA state
# Units: km3
# Source: USGS industry water withdrawal and consumption
state,sector,water_type,1985,1990,1995,2000,2005,2010
AK,industry,water withdrawals,0.1566852,0.1538424,0.0755826,0.0112056,0.0112608,0.0107364
AL,industry,water withdrawals,1.1570472,1.0818648,1.0117332,1.1496642,0.759,0.79212
AR,industry,water withdrawals,0.2373048,0.244743,0.258681,0.1846854,0.24564,0.37398
AZ,industry,water withdrawals,0.0619344,0.2249538,0.0541788,0.0272688,0.030912,0.017802
CA,industry,water withdrawals,0.5948904,0.177813,0.7427022,0.259854,0.099636,0.552
CO,industry,water withdrawals,0.166083,0.1623846,0.1704024,0.1656414,0.19596,0.1794
CT,industry,water withdrawals,0.1065084,0.1105932,0.013317,0.0148212,0.093288,0.09177
DC,industry,water withdrawals,0,0.00069,0.00069,0,0,0
DE,industry,water withdrawals,0.0260958,0.0896586,0.0836694,0.082041,0.057132,0.13248
FL,industry,water withdrawals,0.5441064,0.5558088,0.4765692,0.4015386,0.33534,0.29394
GA,industry,water withdrawals,0.8361144,0.9063702,0.8730708,0.8587188,0.73416,0.67206
HI,industry,water withdrawals,0.0282072,0.0594228,0.0265926,0.02001,0.040296,0.0063894
IA,industry,water withdrawals,0.272136,0.3024822,0.355557,0.327405,0.2622,0.1725
ID,industry,water withdrawals,0.2743026,0.2701764,0.0651912,0.0766038,0.087216,0.068586
IL,industry,water withdrawals,0.7385208,0.6406512,0.6238014,0.5393868,0.50232,0.5382
IN,industry,water withdrawals,3.6688266,3.425988,3.1393344,3.3166644,3.036,3.0498
KS,industry,water withdrawals,0.1118766,0.0737886,0.0735954,0.073554,0.057822,0.055614
KY,industry,water withdrawals,0.332649,0.432561,0.4786254,0.437736,0.25668,0.31464
LA,industry,water withdrawals,2.8820058,3.2562618,3.563505,3.7015464,4.2918,2.8428
MA,industry,water withdrawals,0.1785306,0.1199082,0.1170378,0.0508392,0.15456,0.022494
MD,industry,water withdrawals,0.1024788,0.0967518,0.0890238,0.0908178,0.082386,0.069
ME,industry,water withdrawals,0.2972244,0.3498438,0.0145176,0.3412188,0.2346,0.26496
MI,industry,water withdrawals,1.8259332,2.3244168,2.5533726,0.9632814,0.86802,0.84456
MN,industry,water withdrawals,0.254334,0.211968,0.1938486,0.2126304,0.19182,0.18492
MO,industry,water withdrawals,0.1221162,0.1171068,0.0534888,0.0864984,0.111642,0.094392
MS,industry,water withdrawals,0.3132462,0.371427,0.4006554,0.3336426,0.27186,0.28014
MT,industry,water withdrawals,0.076935,0.0780942,0.0827862,0.0845526,0.09246,0.091632
NC,industry,water withdrawals,0.5714028,0.5388762,0.5092752,0.4044228,0.54372,0.37398
ND,industry,water withdrawals,0.0123096,0.012075,0.0157596,0.024288,0.020286,0.025806
NE,industry,water withdrawals,0.066792,0.0564696,0.0419796,0.0525228,0.015594,0.042918
