# File: NREL_Com_PV_supply_curve.csv
# Title: PV supply curve for commercial buildings
# Units: Rel_Cost - Unitless
# Source: www.nrel.gov
State,angle,MW,GWH,Rel_Cost
Alabama,Flat,884.6,966.2,1.48
Alaska,Flat,133.2,81.8,2.63
Arizona,Flat,960.6,1318.0,1.18
Arkansas,Flat,476.1,520.0,1.48
California,Flat,5995.4,7554.6,1.28
Colorado,Flat,930.7,1161.2,1.29
Connecticut,Flat,721.6,697.5,1.67
Delaware,Flat,146.7,146.4,1.62
District of Columbia,Flat,243.6,245.1,1.60
Florida,Flat,3157.2,3754.4,1.36
Georgia,Flat,1826.5,2006.0,1.47
Hawaii,Flat,256.0,360.5,1.15
Idaho,Flat,227.7,253.9,1.45
Illinois,Flat,2557.1,2594.9,1.59
Indiana,Flat,1449.9,1461.5,1.60
Iowa,Flat,626.8,642.9,1.57
Kansas,Flat,577.2,648.0,1.44
Kentucky,Flat,836.6,858.2,1.57
Louisiana,Flat,819.7,932.8,1.42
Maine,Flat,219.3,210.2,1.68
Maryland,Flat,1017.0,1016.7,1.61
Massachusetts,Flat,1278.4,1239.3,1.66
Michigan,Flat,2019.5,1965.7,1.66
Minnesota,Flat,1051.9,1014.8,1.67
Mississippi,Flat,500.0,554.8,1.45
Missouri,Flat,1097.6,1182.6,1.50
Montana,Flat,141.5,142.3,1.60
Nebraska,Flat,367.9,399.7,1.49
Nevada,Flat,481.2,641.8,1.21
New Hampshire,Flat,234.5,225.4,1.68
New Jersey,Flat,1655.0,1628.2,1.64
New Mexico,Flat,307.6,429.1,1.16
New York,Flat,2851.4,2783.3,1.65
North Carolina,Flat,1752.0,1871.2,1.51
North Dakota,Flat,139.5,132.6,1.70
Ohio,Flat,2732.2,2668.8,1.65
Oklahoma,Flat,660.5,755.9,1.41
Oregon,Flat,648.2,619.8,1.69
Pennsylvania,Flat,2331.6,2248.2,1.67
Rhode Island,Flat,186.3,182.5,1.65
South Carolina,Flat,869.0,952.7,1.47
South Dakota,Flat,140.9,148.2,1.53
Tennessee,Flat,1280.9,1349.7,1.53
Texas,Flat,4299.9,4957.8,1.40
Utah,Flat,473.6,557.1,1.37
Vermont,Flat,109.7,104.1,1.70
Virginia,Flat,1432.9,1477.9,1.56
Washington,Flat,1114.2,1012.0,1.78
West Virginia,Flat,283.3,272.4,1.68
Wisconsin,Flat,1193.7,1179.7,1.63
Wyoming,Flat,93.2,108.3,1.39
Alabama,180 10,2319.6,2721.4,1.38
Alaska,180 10,349.3,241.7,2.33
Arizona,180 10,2518.9,3735.7,1.09
Arkansas,180 10,1248.6,1468.8,1.37
California,180 10,15721.2,21235.4,1.19
Colorado,180 10,2440.5,3364.1,1.17
Connecticut,180 10,1892.1,1998.7,1.53
Delaware,180 10,384.6,419.8,1.48
District of Columbia,180 10,638.8,704.2,1.46
Florida,180 10,8278.8,10456.3,1.28
Georgia,180 10,4789.4,5664.9,1.36
Hawaii,180 10,671.3,982.1,1.10
Idaho,180 10,597.2,730.2,1.32
Illinois,180 10,6705.2,7425.2,1.46
Indiana,180 10,3802.0,4150.9,1.48
Iowa,180 10,1643.6,1849.0,1.43
Kansas,180 10,1513.7,1859.7,1.31
Kentucky,180 10,2193.9,2429.8,1.46
Louisiana,180 10,2149.3,2606.7,1.33
Maine,180 10,575.0,610.6,1.52
Maryland,180 10,2666.9,2917.2,1.48
Massachusetts,180 10,3352.3,3569.8,1.52
Michigan,180 10,5295.6,5605.1,1.52
Minnesota,180 10,2758.4,2953.7,1.51
Mississippi,180 10,1311.0,1558.2,1.36
Missouri,180 10,2878.1,3380.2,1.37
Montana,180 10,371.1,416.4,1.44
Nebraska,180 10,964.8,1153.3,1.35
Nevada,180 10,1261.8,1834.3,1.11
New Hampshire,180 10,614.8,651.8,1.52
New Jersey,180 10,4339.9,4670.4,1.50
New Mexico,180 10,806.7,1222.3,1.06
New York,180 10,7477.1,7961.1,1.52
North Carolina,180 10,4594.1,5312.8,1.40
North Dakota,180 10,365.9,386.6,1.53
Ohio,180 10,7164.5,7560.3,1.53
Oklahoma,180 10,1732.0,2151.0,1.30
Oregon,180 10,1699.9,1765.8,1.55
Pennsylvania,180 10,6113.9,6422.3,1.54
Rhode Island,180 10,488.6,525.5,1.50
South Carolina,180 10,2278.7,2698.5,1.36
South Dakota,180 10,369.3,430.9,1.38
Tennessee,180 10,3358.9,3811.3,1.42
Texas,180 10,11275.2,13866.6,1.31
Utah,180 10,1241.8,1590.6,1.26
Vermont,180 10,287.6,300.0,1.55
Virginia,180 10,3757.3,4225.4,1.43
Washington,180 10,2921.7,2890.1,1.63
West Virginia,180 10,742.9,772.6,1.55
Wisconsin,180 10,3130.3,3399.8,1.49
Wyoming,180 10,244.3,315.7,1.25
Alabama,180 25,1939.5,2391.1,1.31
Alaska,180 25,292.1,226.4,2.08
Arizona,180 25,2106.2,3307.8,1.03
Arkansas,180 25,1044.0,1295.7,1.30
California,180 25,13145.4,18630.1,1.14
Colorado,180 25,2040.7,3054.7,1.08
Connecticut,180 25,1582.1,1794.2,1.42
Delaware,180 25,321.6,376.7,1.38
District of Columbia,180 25,534.1,633.4,1.36
Florida,180 25,6922.4,9062.0,1.23
Georgia,180 25,4004.7,4992.7,1.29
Hawaii,180 25,561.3,826.8,1.10
Idaho,180 25,499.4,659.4,1.22
Illinois,180 25,5606.6,6655.6,1.36
Indiana,180 25,3179.1,3690.2,1.39
Iowa,180 25,1374.3,1666.8,1.33
Kansas,180 25,1265.7,1671.4,1.22
Kentucky,180 25,1834.4,2150.4,1.38
Louisiana,180 25,1797.2,2268.8,1.28
Maine,180 25,480.8,556.6,1.39
Maryland,180 25,2230.0,2620.4,1.37
Massachusetts,180 25,2803.1,3225.6,1.40
Michigan,180 25,4428.0,5004.2,1.43
Minnesota,180 25,2306.5,2699.0,1.38
Mississippi,180 25,1096.2,1364.0,1.30
Missouri,180 25,2406.6,3023.6,1.28
Montana,180 25,310.3,383.1,1.31
Nebraska,180 25,806.7,1044.1,1.25
Nevada,180 25,1055.0,1641.6,1.04
New Hampshire,180 25,514.1,591.7,1.40
New Jersey,180 25,3628.8,4192.0,1.40
New Mexico,180 25,674.5,1088.3,1.00
New York,180 25,6252.0,7127.6,1.42
North Carolina,180 25,3841.4,4716.2,1.31
North Dakota,180 25,305.9,354.0,1.39
Ohio,180 25,5990.6,6700.2,1.44
Oklahoma,180 25,1448.2,1913.7,1.22
Oregon,180 25,1421.3,1574.8,1.46
Pennsylvania,180 25,5112.2,5742.0,1.44
Rhode Island,180 25,408.5,474.5,1.39
South Carolina,180 25,1905.4,2386.8,1.29
South Dakota,180 25,308.8,393.3,1.27
Tennessee,180 25,2808.6,3360.2,1.35
Texas,180 25,9427.9,12087.5,1.26
Utah,180 25,1038.4,1421.3,1.18
Vermont,180 25,240.5,271.7,1.43
Virginia,180 25,3141.7,3780.4,1.34
Washington,180 25,2443.0,2586.6,1.52
West Virginia,180 25,621.2,685.8,1.46
Wisconsin,180 25,2617.4,3073.2,1.37
Wyoming,180 25,204.3,288.9,1.14
Alabama,210 10,188.7,219.3,1.39
Alaska,210 10,28.4,19.4,2.37
Arizona,210 10,204.9,300.2,1.10
Arkansas,210 10,101.6,118.3,1.39
California,210 10,1279.0,1715.4,1.20
Colorado,210 10,198.6,268.3,1.19
Connecticut,210 10,153.9,160.9,1.54
Delaware,210 10,31.3,33.8,1.50
District of Columbia,210 10,52.0,56.5,1.48
Florida,210 10,673.5,840.8,1.29
Georgia,210 10,389.6,456.5,1.38
Hawaii,210 10,54.6,79.3,1.11
Idaho,210 10,48.6,58.6,1.34
Illinois,210 10,545.5,596.5,1.48
Indiana,210 10,309.3,333.8,1.50
Iowa,210 10,133.7,148.5,1.45
Kansas,210 10,123.1,149.5,1.33
Kentucky,210 10,178.5,195.5,1.47
Louisiana,210 10,174.9,210.0,1.34
Maine,210 10,46.8,49.0,1.54
Maryland,210 10,217.0,234.3,1.49
Massachusetts,210 10,272.7,287.2,1.53
Michigan,210 10,430.8,449.9,1.55
Minnesota,210 10,224.4,236.9,1.53
Mississippi,210 10,106.7,125.5,1.37
Missouri,210 10,234.2,271.6,1.39
Montana,210 10,30.2,33.4,1.46
Nebraska,210 10,78.5,92.7,1.37
Nevada,210 10,102.7,147.2,1.13
New Hampshire,210 10,50.0,52.4,1.54
New Jersey,210 10,353.1,375.4,1.52
New Mexico,210 10,65.6,98.2,1.08
New York,210 10,608.3,640.4,1.53
North Carolina,210 10,373.8,427.5,1.41
North Dakota,210 10,29.8,31.2,1.54
Ohio,210 10,582.9,608.1,1.55
Oklahoma,210 10,140.9,173.2,1.31
Oregon,210 10,138.3,142.4,1.57
Pennsylvania,210 10,497.4,516.4,1.55
Rhode Island,210 10,39.7,42.3,1.52
South Carolina,210 10,185.4,217.0,1.38
South Dakota,210 10,30.0,34.6,1.40
Tennessee,210 10,273.3,307.0,1.44
Texas,210 10,917.3,1120.6,1.32
Utah,210 10,101.0,127.6,1.28
Vermont,210 10,23.4,24.1,1.57
Virginia,210 10,305.7,339.5,1.45
Washington,210 10,237.7,233.1,1.65
West Virginia,210 10,60.4,62.2,1.57
Wisconsin,210 10,254.7,273.0,1.51
Wyoming,210 10,19.9,25.2,1.27
Alabama,210 25,408.9,494.0,1.34
