# File: L111.RsrcCurves_EJ_R_Ffos.csv
# Title: Fossil resource supply curves
# Units: available: EJ; extractioncost: 1975$/GJ
# Downscale GCAM3.0 supply curves to the country level (on the basis of resource
# production) and aggregate by the new GCAM regions.
# Use crude oil production shares as a proxy for unconventional oil resources.
GCAM_region_ID,resource,subresource,grade,available,extractioncost
1,coal,coal,grade 1,284,0.34
1,coal,coal,grade 2,6851,0.37
1,coal,coal,grade 3,9469,1.2
1,coal,coal,grade 4,13456,1.7
1,coal,coal,grade 5,18440,2
1,coal,coal,grade 6,18440,2.3
1,coal,coal,grade 7,0,2.6
1,crude oil,crude oil,grade 1,297,0.5
1,crude oil,crude oil,grade 2,262,0.55
1,crude oil,crude oil,grade 3,504.5,0.92
1,crude oil,crude oil,grade 4,374.5,1.3
1,crude oil,crude oil,grade 5,236,2.1
1,crude oil,crude oil,grade 6,343,2.7
1,crude oil,crude oil,grade 7,0,3.5
1,natural gas,natural gas,grade 1,207,0.62
1,natural gas,natural gas,grade 2,778,0.68
1,natural gas,natural gas,grade 3,575,1.1
1,natural gas,natural gas,grade 4,1431,1.7
1,natural gas,natural gas,grade 5,716,3.1
1,natural gas,natural gas,grade 6,1339,3.7
1,natural gas,natural gas,grade 7,48254,6.5
1,natural gas,natural gas,grade 8,0,6.6
1,unconventional oil,unconventional oil,grade 1,4397,1.8
1,unconventional oil,unconventional oil,grade 2,8594,2.1
1,unconventional oil,unconventional oil,grade 3,2338.38,3.6
1,unconventional oil,unconventional oil,grade 4,0,4.7
2,coal,coal,grade 1,0.06240703288875288,0.34
2,coal,coal,grade 2,1.1801615683783804,0.37
2,coal,coal,grade 3,0.805719371045863,1.2
2,coal,coal,grade 4,1.1433859954260794,1.7
2,coal,coal,grade 5,1.566862290028331,2
2,coal,coal,grade 6,1.566862290028331,2.3
2,coal,coal,grade 7,0,2.6
2,crude oil,crude oil,grade 1,3.988247311568338,0.5
2,crude oil,crude oil,grade 2,4.242816288902487,0.55
2,crude oil,crude oil,grade 3,7.276429935467766,0.92
2,crude oil,crude oil,grade 4,8.3583480891379,1.3
2,crude oil,crude oil,grade 5,8.337134007693388,2.1
2,crude oil,crude oil,grade 6,27.535877714977143,2.7
2,crude oil,crude oil,grade 7,0,3.5
2,natural gas,natural gas,grade 1,0.10226495285107548,0.62
2,natural gas,natural gas,grade 2,0.6613133617702881,0.68
2,natural gas,natural gas,grade 3,1.141958640170343,1.1
2,natural gas,natural gas,grade 4,2.5191266718981593,1.7
2,natural gas,natural gas,grade 5,2.440723541379002,3.1
2,natural gas,natural gas,grade 6,4.5644257289196695,3.7
2,natural gas,natural gas,grade 7,14.610252930656983,6.5
2,natural gas,natural gas,grade 8,0,6.6
2,unconventional oil,unconventional oil,grade 1,10.670682966589757,1.8
2,unconventional oil,unconventional oil,grade 2,20.853442059955725,2.1
2,unconventional oil,unconventional oil,grade 3,5.6743425047781875,3.6
2,unconventional oil,unconventional oil,grade 4,0,4.7
3,coal,coal,grade 1,0.15959967960515917,0.34
3,coal,coal,grade 2,3.0181439411047064,0.37
3,coal,coal,grade 3,2.0605458634737515,1.2
3,coal,coal,grade 4,2.9240941299088092,1.7
3,coal,coal,grade 5,4.007091955800961,2
3,coal,coal,grade 6,4.007091955800961,2.3
3,coal,coal,grade 7,0,2.6
3,crude oil,crude oil,grade 1,97.10815118330027,0.5
3,crude oil,crude oil,grade 2,103.30654381202156,0.55
3,crude oil,crude oil,grade 3,177.17072263761696,0.92
3,crude oil,crude oil,grade 4,203.51389130968246,1.3
3,crude oil,crude oil,grade 5,202.99735859062235,2.1
3,crude oil,crude oil,grade 6,670.45946934002,2.7
3,crude oil,crude oil,grade 7,0,3.5
3,natural gas,natural gas,grade 1,25.807732133010994,0.62
3,natural gas,natural gas,grade 2,166.8900011268044,0.68
3,natural gas,natural gas,grade 3,288.1863421519561,1.1
3,natural gas,natural gas,grade 4,635.7304682098376,1.7
3,natural gas,natural gas,grade 5,615.9445402411957,3.1
3,natural gas,natural gas,grade 6,1151.8851108700574,3.7
3,natural gas,natural gas,grade 7,3687.064664069504,6.5
3,natural gas,natural gas,grade 8,0,6.6
3,unconventional oil,unconventional oil,grade 1,259.81595768723423,1.8
3,unconventional oil,unconventional oil,grade 2,507.7516628360859,2.1
3,unconventional oil,unconventional oil,grade 3,138.16217169419764,3.6
3,unconventional oil,unconventional oil,grade 4,0,4.7
4,coal,coal,grade 1,1.6852142623122452,0.34
4,coal,coal,grade 2,31.86860542479764,0.37
4,coal,coal,grade 3,21.757319850924166,1.2
4,coal,coal,grade 4,30.875532734506496,1.7
4,coal,coal,grade 5,42.31091522876816,2
4,coal,coal,grade 6,42.31091522876816,2.3
4,coal,coal,grade 7,0,2.6
4,crude oil,crude oil,grade 1,16.77440345280949,0.5
4,crude oil,crude oil,grade 2,17.845110056180307,0.55
4,crude oil,crude oil,grade 3,30.60436374634923,0.92
4,crude oil,crude oil,grade 4,35.1548668106752,1.3
4,crude oil,crude oil,grade 5,35.0656412603943,2.1
4,crude oil,crude oil,grade 6,115.81476426461019,2.7
4,crude oil,crude oil,grade 7,0,3.5
4,natural gas,natural gas,grade 1,0.3480190058900442,0.62
4,natural gas,natural gas,grade 2,2.250522904755619,0.68
4,natural gas,natural gas,grade 3,3.8862122324388264,1.1
4,natural gas,natural gas,grade 4,8.572868178424754,1.7
4,natural gas,natural gas,grade 5,8.306053607242388,3.1
4,natural gas,natural gas,grade 6,15.533248296225638,3.7
4,natural gas,natural gas,grade 7,49.72031530815764,6.5
4,natural gas,natural gas,grade 8,0,6.6
4,unconventional oil,unconventional oil,grade 1,44.880451791293474,1.8
4,unconventional oil,unconventional oil,grade 2,87.70871592612622,2.1
4,unconventional oil,unconventional oil,grade 3,23.866050189135542,3.6
4,unconventional oil,unconventional oil,grade 4,0,4.7
5,coal,coal,grade 1,0.13643852071327287,0.34
5,coal,coal,grade 2,2.5801498827742138,0.37
5,coal,coal,grade 3,1.7615187584945764,1.2
5,coal,coal,grade 4,2.4997486116396064,1.7
5,coal,coal,grade 5,3.4255814307653867,2
5,coal,coal,grade 6,3.4255814307653867,2.3
5,coal,coal,grade 7,0,2.6
5,crude oil,crude oil,grade 1,69.97416256009542,0.5
5,crude oil,crude oil,grade 2,74.44059846818662,0.55
5,crude oil,crude oil,grade 3,127.66562637294007,0.92
5,crude oil,crude oil,grade 4,146.64797898232766,1.3
5,crude oil,crude oil,grade 5,146.27577598998673,2.1
5,crude oil,crude oil,grade 6,483.1194840585312,2.7
5,crude oil,crude oil,grade 7,0,3.5
5,natural gas,natural gas,grade 1,3.420144113746304,0.62
5,natural gas,natural gas,grade 2,22.116931935559432,0.68
5,natural gas,natural gas,grade 3,38.19160927016706,1.1
5,natural gas,natural gas,grade 4,84.24955000195062,1.7
5,natural gas,natural gas,grade 5,81.62743951474512,3.1
5,natural gas,natural gas,grade 6,152.6524322768767,3.7
5,natural gas,natural gas,grade 7,488.6245890505553,6.5
5,natural gas,natural gas,grade 8,0,6.6
5,unconventional oil,unconventional oil,grade 1,187.21810514748938,1.8
5,unconventional oil,unconventional oil,grade 2,365.87554147113724,2.1
5,unconventional oil,unconventional oil,grade 3,99.5568563913528,3.6
5,unconventional oil,unconventional oil,grade 4,0,4.7
6,coal,coal,grade 1,57,0.34
6,coal,coal,grade 2,1186,0.37
6,coal,coal,grade 3,1753,1.2
6,coal,coal,grade 4,2491,1.7
6,coal,coal,grade 5,3414,2
6,coal,coal,grade 6,3414,2.3
6,coal,coal,grade 7,0,2.6
6,crude oil,crude oil,grade 1,18,0.5
6,crude oil,crude oil,grade 2,5,0.55
6,crude oil,crude oil,grade 3,14.999999999999998,0.92
6,crude oil,crude oil,grade 4,16,1.3
6,crude oil,crude oil,grade 5,9,2.1
6,crude oil,crude oil,grade 6,12,2.7
6,crude oil,crude oil,grade 7,0,3.5
6,natural gas,natural gas,grade 1,10,0.62
6,natural gas,natural gas,grade 2,67,0.68
6,natural gas,natural gas,grade 3,46,1.1
6,natural gas,natural gas,grade 4,99,1.7
6,natural gas,natural gas,grade 5,478,3.1
6,natural gas,natural gas,grade 6,893.0000000000001,3.7
6,natural gas,natural gas,grade 7,11508,6.5
6,natural gas,natural gas,grade 8,0,6.6
6,unconventional oil,unconventional oil,grade 1,1320,1.8
6,unconventional oil,unconventional oil,grade 2,2578,2.1
6,unconventional oil,unconventional oil,grade 3,701.64,3.6
6,unconventional oil,unconventional oil,grade 4,0,4.7
7,coal,coal,grade 1,0.949946864724359,0.34
7,coal,coal,grade 2,10.017621482547785,0.37
7,coal,coal,grade 3,12.4356680473007,1.2
7,coal,coal,grade 4,17.70355520622669,1.7
7,coal,coal,grade 5,24.18046564752914,2
7,coal,coal,grade 6,24.18046564752914,2.3
7,coal,coal,grade 7,0,2.6
7,crude oil,crude oil,grade 1,22.080977266419776,0.5
7,crude oil,crude oil,grade 2,27.94934509848629,0.55
7,crude oil,crude oil,grade 3,22.87668815890337,0.92
7,crude oil,crude oil,grade 4,45.65391245624629,1.3
7,crude oil,crude oil,grade 5,34.4144960999155,2.1
7,crude oil,crude oil,grade 6,47.245334241213484,2.7
7,crude oil,crude oil,grade 7,0,3.5
7,natural gas,natural gas,grade 1,1.7455829631758149,0.62
7,natural gas,natural gas,grade 2,11.133988629986279,0.68
7,natural gas,natural gas,grade 3,17.55018546760549,1.1
7,natural gas,natural gas,grade 4,36.94030973423414,1.7
7,natural gas,natural gas,grade 5,33.779389233348205,3.1
7,natural gas,natural gas,grade 6,63.171232099795034,3.7
7,natural gas,natural gas,grade 7,2413.1033238778314,6.5
7,natural gas,natural gas,grade 8,0,6.6
7,unconventional oil,unconventional oil,grade 1,298.7894401275901,1.8
7,unconventional oil,unconventional oil,grade 2,584.1512589445196,2.1
7,unconventional oil,unconventional oil,grade 3,158.9293258329797,3.6
7,unconventional oil,unconventional oil,grade 4,0,4.7
8,coal,coal,grade 1,20,0.34
8,coal,coal,grade 2,293,0.37
8,coal,coal,grade 3,293,1.2
8,coal,coal,grade 4,415,1.7
8,coal,coal,grade 5,569,2
8,coal,coal,grade 6,569,2.3
8,coal,coal,grade 7,0,2.6
8,crude oil,crude oil,grade 1,55,0.5
8,crude oil,crude oil,grade 2,115,0.55
8,crude oil,crude oil,grade 3,226.5,0.92
8,crude oil,crude oil,grade 4,235.5,1.3
8,crude oil,crude oil,grade 5,216,2.1
8,crude oil,crude oil,grade 6,314,2.7
8,crude oil,crude oil,grade 7,0,3.5
8,natural gas,natural gas,grade 1,44,0.62
8,natural gas,natural gas,grade 2,279,0.68
8,natural gas,natural gas,grade 3,119,1.1
8,natural gas,natural gas,grade 4,279,1.7
8,natural gas,natural gas,grade 5,478,3.1
8,natural gas,natural gas,grade 6,893,3.7
8,natural gas,natural gas,grade 7,20005,6.5
8,natural gas,natural gas,grade 8,0,6.6
8,unconventional oil,unconventional oil,grade 1,803,1.8
8,unconventional oil,unconventional oil,grade 2,1570,2.1
8,unconventional oil,unconventional oil,grade 3,427.14,3.6
8,unconventional oil,unconventional oil,grade 4,0,4.7
9,coal,coal,grade 1,0,0.34
9,coal,coal,grade 2,0,0.37
9,coal,coal,grade 3,0,1.2
9,coal,coal,grade 4,0,1.7
9,coal,coal,grade 5,0,2
9,coal,coal,grade 6,0,2.3
9,coal,coal,grade 7,0,2.6
9,crude oil,crude oil,grade 1,5.612488919851501,0.5
9,crude oil,crude oil,grade 2,7.103727177181326,0.55
9,crude oil,crude oil,grade 3,5.816121424884999,0.92
9,crude oil,crude oil,grade 4,11.603006649044412,1.3
9,crude oil,crude oil,grade 5,8.746321195781187,2.1
9,crude oil,crude oil,grade 6,12.00748525221482,2.7
9,crude oil,crude oil,grade 7,0,3.5
9,natural gas,natural gas,grade 1,4.367327202745105,0.62
9,natural gas,natural gas,grade 2,27.856462792313547,0.68
9,natural gas,natural gas,grade 3,43.908471157658376,1.1
9,natural gas,natural gas,grade 4,92.42035640014996,1.7
9,natural gas,natural gas,grade 5,84.51173975640386,3.1
9,natural gas,natural gas,grade 6,158.0463953372993,3.7
9,natural gas,natural gas,grade 7,6037.245615709497,6.5
9,natural gas,natural gas,grade 8,0,6.6
9,unconventional oil,unconventional oil,grade 1,75.94955297382455,1.8
9,unconventional oil,unconventional oil,grade 2,148.4859632860509,2.1
9,unconventional oil,unconventional oil,grade 3,40.398392926777575,3.6
9,unconventional oil,unconventional oil,grade 4,0,4.7
10,coal,coal,grade 1,27.24689065923865,0.34
10,coal,coal,grade 2,1475.7045584236487,0.37
10,coal,coal,grade 3,2580.3505686457665,1.2
10,coal,coal,grade 4,3666.829989469812,1.7
10,coal,coal,grade 5,5024.851565597917,2
10,coal,coal,grade 6,5024.851565597917,2.3
10,coal,coal,grade 7,0,2.6
10,crude oil,crude oil,grade 1,40.617426900288315,0.5
10,crude oil,crude oil,grade 2,47.588932153089445,0.55
10,crude oil,crude oil,grade 3,96.57324720294464,0.92
10,crude oil,crude oil,grade 4,94.16825391103107,1.3
10,crude oil,crude oil,grade 5,76.67339180356485,2.1
