# File: ctry_AGLU.csv,,,,,,,,,
# Description: Maps countries in all AGLU databases to iso codes,,,,,,,,,
# ----------,,,,,,,,,
FAO_country,iso,GTAP_region,CROSIT_ctry,CROSIT_country_ID,IFA2002_country,IFA_region,IMAGE_region_ID,IMAGE_region_name,FAO2050_reg
Afghanistan,afg,xsa,AFGH,65,,Rest of world,18,South Asia,South Asia
Albania,alb,alb,OEEU,197,ALBANIA,Rest of world,12,Central Europe,Transition countries
Algeria,dza,xnf,ALGE,1,ALGERIA,Rest of world,7,Northern Africa,sub-Saharan Africa
American Samoa,asm,xoc,,,,Rest of world,24,Oceania,South Asia
Andorra,and,xer,,,,Rest of world,11,Western Europe,Industrial countries
Angola,ago,xsd,ANGO,18,,Rest of world,10,Southern Africa,sub-Saharan Africa
Anguilla,aia,xcb,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Antigua and Barbuda,atg,xfa,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Argentina,arg,arg,ARGE,50,ARGENTINA,Argentina,6,Rest South America,Latin America and Caribbean
Armenia,arm,xsu,ARME,178,,Rest of world,16,Russia plus,Transition countries
Aruba,abw,xcb,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Australia,aus,aus,ALIA,112,AUSTRALIA,Australia,24,Oceania,Industrial countries
Austria,aut,aut,EU15,195,AUSTRIA,EU-27,11,Western Europe,Industrial countries
Azerbaijan,aze,xsu,CEAS,198,AZERBAIJAN,Rest of world,16,Russia plus,Transition countries
Bahamas,bhs,xfa,BAHA,136,,Rest of world,4,Rest Central America,Latin America and Caribbean
Bahrain,bhr,xme,,,,Rest of world,17,Middle East,Near East / North Africa
Bangladesh,bgd,bgd,BANG,76,BANGLADESH,Bangladesh,18,South Asia,South Asia
Barbados,brb,xfa,BARB,137,,Rest of world,4,Rest Central America,Latin America and Caribbean
Belarus,blr,xsu,OEEU,197,BELARUS,Rest of world,14,Ukraine plus,Transition countries
Belgium,bel,bel,EU15,195,BELGIUM,EU-27,11,Western Europe,Industrial countries
Belgium-Luxembourg,bel,bel,EU15,195,BELGIUM,EU-27,11,Western Europe,Industrial countries
Belize,blz,xca,BELI,138,,Rest of world,4,Rest Central America,Latin America and Caribbean
Benin,ben,xss,BENI,4,,Rest of world,8,Western Africa,sub-Saharan Africa
Bermuda,bmu,xna,BERM,153,,Rest of world,4,Rest Central America,Industrial countries
Bhutan,btn,xsa,,,,Rest of world,18,South Asia,South Asia
Bolivia (Plurinational State of),bol,xap,BOLI,51,BOLIVIA,Rest of world,6,Rest South America,Latin America and Caribbean
Bosnia and Herzegovina,bih,xer,OEEU,197,,Rest of world,12,Central Europe,Transition countries
Botswana,bwa,bwa,BOTS,126,,Rest of world,10,Southern Africa,sub-Saharan Africa
Brazil,bra,bra,BRAZ,52,BRAZIL,Brazil,5,Brazil,Latin America and Caribbean
British Virgin Islands,vgb,xcb,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Brunei Darussalam,brn,xse,BRUN,148,,Rest of world,21,Southeastern Asia,South Asia
Brunei Darussalam,brn,xse,BRUN,148,,Rest of world,21,Southeastern Asia,South Asia
Bulgaria,bgr,bgr,EUN9,196,BULGARIA,EU-27,12,Central Europe,Transition countries
Burkina Faso,bfa,xss,BURK,17,,Rest of world,8,Western Africa,sub-Saharan Africa
Burundi,bdi,xss,BURU,25,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Cambodia,khm,xse,CAMB,88,CAMBODIA,Rest of world,21,Southeastern Asia,East Asia
Cameroon,cmr,xss,CAME,19,,Rest of world,8,Western Africa,sub-Saharan Africa
Canada,can,can,CANA,91,CANADA,Canada,1,Canada,Industrial countries
Cape Verde,cpv,xss,CAPE,127,,Rest of world,8,Western Africa,sub-Saharan Africa
Cayman Islands,cym,xcb,,,,Rest of world,4,Rest Central America,Latin America and Caribbean
Central African Republic,caf,xss,CAR,20,,Rest of world,8,Western Africa,sub-Saharan Africa
Chad,tcd,xss,CHAD,21,,Rest of world,8,Western Africa,sub-Saharan Africa
Channel Islands,chi,,,,,,11,Western Europe,Industrial countries
Chile,chl,chl,CHIL,53,CHILE,Chile,6,Rest South America,Latin America and Caribbean
China,chn,chn,CHIN,117,CHINA,China,20,China plus,East Asia
"China, Hong Kong SAR",hkg,hkg,CHIN,117,,China,20,China plus,South Asia
"China, Macao SAR",mac,xea,MACA,150,,China,20,China plus,South Asia
Christmas Island,cxr,,,,,,24,Oceania,South Asia
Cocos (Keeling) Islands,cck,,,,,,24,Oceania,South Asia
Colombia,col,col,COLO,54,COLOMBIA,Rest of world,6,Rest South America,Latin America and Caribbean
Comoros,com,xss,COMO,128,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Congo,cog,xss,CONG,22,,Rest of world,8,Western Africa,sub-Saharan Africa
Cook Islands,cok,xoc,,,,Rest of world,24,Oceania,Industrial countries
Costa Rica,cri,xca,COST,38,COSTA RICA,Rest of world,4,Rest Central America,Latin America and Caribbean
Cote dIvoire,civ,xss,CDIV,8,,Rest of world,8,Western Africa,sub-Saharan Africa
Croatia,hrv,hrv,OEEU,197,CROATIA,Rest of world,12,Central Europe,Transition countries
Cuba,cub,xcb,CUBA,45,CUBA,Rest of world,4,Rest Central America,Latin America and Caribbean
Cyprus,cyp,cyp,EUN9,196,,EU-27,12,Central Europe,Industrial countries
Czech Republic,cze,cze,EUN9,196,CZECH REPUBLIC,EU-27,12,Central Europe,Transition countries
Czechoslovakia,cze,cze,EUN9,196,CZECH REPUBLIC,EU-27,12,Central Europe,Transition countries
Czechoslovakia,svk,svk,EUN9,196,SLOVAKIA,EU-27,12,Central Europe,Transition countries
Democratic Peoples Republic of Korea,prk,xea,KDPR,89,,Rest of world,19,Korea,East Asia
Democratic Republic of the Congo,cod,xsd,CODR,24,,Rest of world,8,Western Africa,sub-Saharan Africa
Democratic Republic of the Congo,cod,xsd,CODR,24,,Rest of world,8,Western Africa,sub-Saharan Africa
Denmark,dnk,dnk,EU15,195,DENMARK,EU-27,11,Western Europe,Industrial countries
Djibouti,dji,xss,DJIB,168,,Rest of world,9,Eastern Africa,sub-Saharan Africa
Dominica,dma,xfa,DOMA,139,,Rest of world,4,Rest Central America,Latin America and Caribbean
Dominican Republic,dom,xfa,DOMI,46,DOMINICAN REPUBLIC,Rest of world,4,Rest Central America,Latin America and Caribbean
Ecuador,ecu,xap,ECUA,55,ECUADOR,Rest of world,6,Rest South America,Latin America and Caribbean
